Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Albania,224.7,225.1,232.6,237.8,240.5,238.6 p,253.1 p,267.8 p,278.1 p,276.0 p,294.3 p,299.3 p
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Austria,9063.6,9363.0,9508.1,9727.7,9870.1,10013.2,10259.8,10450.0,10732.8,10930.9,11122.6,11274.0
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Bosnia and Herzegovina,210.7,216.1,245.0,249.0,260.1,274.3,263.7,267.1,269.2,261.1,254.4,254.4
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Belgium,11190.4,11436.5,11887.5,12319.8,13025.6,13160.6 p,13324.2 p,13376.2 p,13641.2 p,13882.3 p,14022.4 p,14124.8 p
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Bulgaria,1482.8,1478.1,1543.8,1476.6,1733.0,1800.1,1774.1,1689.7,1913.5,1804.1 p,1778.5 p,1783.7 p
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Switzerland,12272.3,12517.6,12757.5,13506.5,13408.1,13316.7,13631.7,14008.4,14250.8,14606.9,14462.8,15055.3
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Cyprus,618.2,641.8,663.0,677.7,686.4,692.2,701.0,712.9,727.2,741.7,756.8,768.4
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Czechia,7530.8,7951.0,8073.4,8323.8,8645.6,8932.7,9042.7,8937.1,9040.1,8683.0,8781.9,8898.4
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Germany,85972.0 p,85278.0 p,84624.0 p,87555.0 p,89389.0 p,91635.0 p,92911.0 p,95195.0 p,94940.0 p,96678.0 p,96493.0 p,97289.0 p
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Denmark,7898.1,7969.5,8089.5,8180.1,8286.9,8317.0,8310.5,8346.4,8334.5,8596.0,8472.6,8437.6
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",323775.2,322596.6,329622.7,336031.3,347806.0,357313.5,368190.8,372264.0,379618.1,382638.6,387799.6,386724.8
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Euro area - 19 countries  (2015-2022),323775.2,322596.6,329622.7,336031.3,347806.0,356178.0,366886.4,370562.5,377901.1,381317.0,386295.1,384960.2
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Euro area – 20 countries (from 2023),325027.5,323561.5,330742.6,337402.7,349413.0,357313.5,368190.8,372264.0,379618.1,382638.6,387799.6,386724.8
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Estonia,837.0,877.5,959.6,939.4,989.1,894.1,948.7,971.7,925.0,811.2,979.5,960.5
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Greece,7259.9,7260.8 p,7286.9 p,7348.4 p,7579.3 p,7848.2 p,7986.2 p,8212.9 p,8338.5 p,8178.4 p,8368.9 p,8633.9 p
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Spain,35088.0,34814.0 p,37128.0 p,36439.0 p,37229.0 p,37926.0 p,40049.0 p,38191.0 p,40565.0 p,42179.0 p,44379.0 p,42788.0 p
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),European Union - 27 countries (from 2020),368549.6,366368.0,376690.5,384022.0,396415.0,404152.4,418588.1,421821.4,429905.1,432616.5,441293.5,441043.9
Quarterly,"Value added, gross",Real estate activities,Million euro (NSA),Finland,7274.0,6999.0,7267.0,7225.0,7401.0,7346.0,7586.0,7622.0,7785.0,7563.0,7783.0,7831.0
