Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Number,Females,Total,Andorra,:,:,:,:,:,157.0,:,:,:,:
Annual,Number,Females,Total,Albania,9452.0,9545.0,10581.0,10105.0,10622.0,10137.0,10156.0,12101.0,13624.0,11077.0
Annual,Number,Females,Total,Armenia,:,13495.0,13576.0,13690.0,13316.0,12730.0,12802.0,16139.0,:,12909.0
Annual,Number,Females,Total,Austria,41568.0,40828.0,43213.0,41647.0,43368.0,43124.0,42612.0,46227.0,45952.0,46885.0
Annual,Number,Females,Total,Azerbaijan,25287.0,25993.0,25567.0,26724.0,26680.0,26607.0,25990.0,33566.0,36617.0,27653.0
Annual,Number,Females,Total,Belgium,55426.0,53176.0,56910.0,54771.0,55841.0,56601.0,55569.0,64688.0,55593.0,59528.0
Annual,Number,Females,Total,Bulgaria,49518.0,52322.0,53077.0,51458.0,53010.0,52159.0,51965.0,58785.0,71696.0,57158.0
Annual,Number,Females,Total,Belarus,62314.0,60268.0,60284.0,60064.0,60045.0,60223.0,:,:,:,:
Annual,Number,Females,Total,Switzerland,33704.0,32988.0,34960.0,33681.0,34565.0,34692.0,35025.0,38570.0,36085.0,37986.0
Annual,Number,Females,Total,Cyprus,2343.0,2585.0,2802.0,2545.0,2838.0,2735.0,2946.0,3038.0,3381.0,3503.0
Annual,Number,Females,Total,Czechia,54062.0,51925.0,55239.0,52870.0,55001.0,55647.0,55023.0,62690.0,66369.0,58815.0
Annual,Number,Females,Total,Germany,464180.0,446131.0,475688.0,462597.0,474511.0,484842.0,473635.0,492775.0,508128.0,534008.0
Annual,Number,Females,Total,Germany including former GDR,464180.0,446131.0,475688.0,462597.0,474511.0,484842.0,473635.0,492775.0,508128.0,534008.0
Annual,Number,Females,Total,Denmark,26359.0,25646.0,26272.0,26408.0,26391.0,27240.0,26503.0,26650.0,27983.0,29066.0
Annual,Number,Females,Total,Euro area - 19 countries  (2015-2022),1648181.0,1623156.0,1739437.0,1694099.0,1751218.0,1755940.0,1739112.0,1910831.0,1888162.0,1944092.0
Annual,Number,Females,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,1919737.0,1973156.0
Annual,Number,Females,Total,Estonia,8012.0,8033.0,8026.0,8057.0,8218.0,8350.0,8173.0,8374.0,9802.0,9117.0
Annual,Number,Females,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2512708.0,2478526.0,2636546.0,2570700.0,2651329.0,2664294.0,:,:,:,:
Annual,Number,Females,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2538106.0,2504400.0,2664337.0,2596898.0,2678945.0,2691036.0,:,:,:,:
Annual,Number,Females,Total,European Free Trade Association,56128.0,54810.0,57180.0,55965.0,56926.0,56908.0,56982.0,60431.0,58798.0,62354.0
Annual,Number,Females,Total,Greece,54164.0,55194.0,59405.0,58250.0,61333.0,58910.0,61877.0,64862.0,70503.0,69696.0
Annual,Number,Females,Total,Spain,190047.0,193620.0,208561.0,200885.0,209511.0,210482.0,205209.0,243715.0,218872.0,229273.0
Annual,Number,Females,Total,European Union - 27 countries (2007-2013),2490284.0,2456704.0,2614326.0,2548416.0,2629005.0,2642078.0,:,:,:,:
Annual,Number,Females,Total,European Union - 27 countries (from 2020),2218999.0,2191257.0,2332620.0,2271031.0,2348872.0,2357845.0,2332589.0,2576469.0,2621482.0,2583835.0
Annual,Number,Females,Total,European Union - 28 countries (2013-2020),2515682.0,2482578.0,2642117.0,2574614.0,2656621.0,2668820.0,:,:,:,:
Annual,Number,Females,Total,Finland,25841.0,26438.0,26500.0,27001.0,26827.0,27343.0,26867.0,27523.0,28502.0,31489.0
Annual,Number,Females,Total,France,281955.0,277054.0,296779.0,296985.0,305390.0,306010.0,308448.0,333969.0,328101.0,338793.0
Annual,Number,Females,Total,Georgia,23684.0,24236.0,23923.0,24673.0,23399.0,22688.0,22640.0,24326.0,29750.0,23752.0
Annual,Number,Females,Total,Croatia,25398.0,25874.0,27791.0,26198.0,27616.0,26742.0,26442.0,28930.0,31575.0,29064.0
Annual,Number,Females,Total,Hungary,64857.0,64296.0,68100.0,64425.0,67706.0,67108.0,66874.0,72468.0,78730.0,69870.0
Annual,Number,Females,Total,Ireland,14546.0,14355.0,14899.0,15047.0,14892.0,15095.0,14837.0,15639.0,16356.0,16998.0
Annual,Number,Females,Total,Iceland,1063.0,999.0,1114.0,1112.0,1114.0,1115.0,1118.0,1138.0,1156.0,1328.0
Annual,Number,Females,Total,Italy,310390.0,309184.0,339607.0,319486.0,339556.0,330638.0,330765.0,380899.0,361136.0,372771.0
Annual,Number,Females,Total,Liechtenstein,123.0,147.0,130.0,129.0,122.0,131.0,134.0,155.0,133.0,148.0
Annual,Number,Females,Total,Lithuania,20722.0,20142.0,21247.0,20778.0,20856.0,20550.0,19788.0,22230.0,24857.0,22427.0
Annual,Number,Females,Total,Luxembourg,1958.0,1821.0,2017.0,1927.0,2132.0,2123.0,2099.0,2234.0,2195.0,2202.0
Annual,Number,Females,Total,Latvia,15173.0,14743.0,15145.0,15058.0,15168.0,15274.0,14741.0,15384.0,18413.0,16192.0
Annual,Number,Females,Total,Moldova,18184.0,18870.0,:,18074.0,17535.0,17489.0,17111.0,19267.0,22026.0,16871 p
Annual,Number,Females,Total,Montenegro,2837.0,2882.0,3120.0,3079.0,3088.0,3151.0,3109.0,3377.0,4261.0,:
Annual,Number,Females,Total,North Macedonia,9072.0,9508.0,9899.0,9673.0,9764.0,9388.0,9830.0,11828.0,13361.0,:
Annual,Number,Females,Total,Malta,1600.0,1615.0,1710.0,1698.0,1756.0,1812.0,1819.0,1969.0,2077.0,2051.0
Annual,Number,Females,Total,Netherlands,72885.0,72102.0,76105.0,76817.0,77553.0,78841.0,77453.0,84361.0,85203.0,86363.0
Annual,Number,Females,Total,Norway,21238.0,20676.0,20976.0,21043.0,21125.0,20970.0,20705.0,20568.0,21424.0,22892.0
Annual,Number,Females,Total,Poland,185616.0,180676.0,190452.0,185859.0,195181.0,200553.0,198286.0,227611.0,250859.0,218702.0
Annual,Number,Females,Total,Portugal,52369.0,51610.0,54364.0,54947.0,54670.0,56322.0,55969.0,61988.0,62113.0,62621.0
Annual,Number,Females,Total,Romania,118266.0,121768.0,125830.0,123153.0,125596.0,125687.0,123644.0,139229.0,160629.0,129827.0
Annual,Number,Females,Total,Serbia,49390.0,50237.0,51533.0,50126.0,51966.0,50665.0,50149.0,56400.0,66714.0,54255.0
Annual,Number,Females,Total,Russia,917419.0,919364.0,:,:,:,:,:,:,:,:
Annual,Number,Females,Total,Sweden,46742.0,45594.0,46422.0,46561.0,47116.0,46769.0,44740.0,48743.0,45474.0,47235.0
Annual,Number,Females,Total,Slovenia,9779.0,9678.0,10095.0,10016.0,10373.0,10372.0,10476.0,12283.0,11420.0,11356.0
Annual,Number,Females,Total,Slovakia,25223.0,24847.0,26364.0,25587.0,26425.0,26516.0,25829.0,28661.0,35563.0,28825.0
Annual,Number,Females,Total,San Marino,:,:,:,:,153.0,:,:,:,:,:
Annual,Number,Females,Total,Türkiye,167066.0,176890.0,183272.0,190935.0,192668.0,193307.0,197897.0,223888.0,257163.0,229308.0
Annual,Number,Females,Total,Ukraine,337671.0,321625.0,303235.0,297735.0,292339.0,297132.0,293601.0,:,370147.0,:
