Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Hour,Austria,2.5,4.3,4.4,3.8
Annual,From 10 to 49 persons employed,Hour,Belgium,4.4,6.9,8.6,4.7
Annual,From 10 to 49 persons employed,Hour,Bulgaria,1.2,1.4,2.4,1.5
Annual,From 10 to 49 persons employed,Hour,Cyprus,2.5,2.7,2.6,1.9
Annual,From 10 to 49 persons employed,Hour,Czechia,4.6,3.3,5.0 b,4.2
Annual,From 10 to 49 persons employed,Hour,Germany,4.0,3.1,3.6,3.3
Annual,From 10 to 49 persons employed,Hour,Denmark,8.3,15.4,1.7,2.5
Annual,From 10 to 49 persons employed,Hour,Estonia,2.8,2.6,3.3,3.2
Annual,From 10 to 49 persons employed,Hour,Greece,0.7,0.9,0.8,0.8
Annual,From 10 to 49 persons employed,Hour,Spain,2.7,3.7,4.3,1.7
Annual,From 10 to 49 persons employed,Hour,European Union - 27 countries (from 2020),3.2,3.6,3.8,3.5
Annual,From 10 to 49 persons employed,Hour,European Union - 28 countries (2013-2020),3.1,3.6,4.4,:
Annual,From 10 to 49 persons employed,Hour,Finland,4.7,4.2,4.4,2.3
Annual,From 10 to 49 persons employed,Hour,France,4.8,4.5,4.6,5.2
Annual,From 10 to 49 persons employed,Hour,Croatia,:,3.3,2.8,1.9
Annual,From 10 to 49 persons employed,Hour,Hungary,1.5,1.2,1.1,3.3 b
Annual,From 10 to 49 persons employed,Hour,Ireland,3.2,:,13.1,5.2
Annual,From 10 to 49 persons employed,Hour,Italy,1.8,2.5,3.4,6.6
Annual,From 10 to 49 persons employed,Hour,Lithuania,1.3,2.6,1.8,1.7
Annual,From 10 to 49 persons employed,Hour,Luxembourg,5.5,7.5,7.5,9.1
Annual,From 10 to 49 persons employed,Hour,Latvia,1.4,1.2,1.6,1.6
Annual,From 10 to 49 persons employed,Hour,North Macedonia,:,:,2.5,1.3
Annual,From 10 to 49 persons employed,Hour,Malta,3.5,2.9,3.1,1.7
Annual,From 10 to 49 persons employed,Hour,Netherlands,5.2,6.7,6.4,5.8
Annual,From 10 to 49 persons employed,Hour,Norway,5.5,7.1,8.0,7.5
Annual,From 10 to 49 persons employed,Hour,Poland,1.1,0.9,1.3,1.2
Annual,From 10 to 49 persons employed,Hour,Portugal,2.5,6.1,5.0,3.6
Annual,From 10 to 49 persons employed,Hour,Romania,1.3,0.8,1.3,0.4
Annual,From 10 to 49 persons employed,Hour,Serbia,:,:,:,1.4
Annual,From 10 to 49 persons employed,Hour,Sweden,5.7,8.0,5.5 b,4.8 b
Annual,From 10 to 49 persons employed,Hour,Slovenia,5.9,5.6,5.6,4.2
Annual,From 10 to 49 persons employed,Hour,Slovakia,3.1,3.9,4.2,3.1
Annual,From 10 to 49 persons employed,Hour,United Kingdom,3.0,3.6,7.5,:
Annual,From 50 to 249 persons employed,Hour,Austria,4.7,7.3,6.8,4.7
Annual,From 50 to 249 persons employed,Hour,Belgium,6.5,11.8,15.6,6.4
Annual,From 50 to 249 persons employed,Hour,Bulgaria,2.7,3.2,3.9,2.1
Annual,From 50 to 249 persons employed,Hour,Cyprus,3.7,4.8,4.0,2.6
Annual,From 50 to 249 persons employed,Hour,Czechia,7.4,4.7,6.7 b,4.7
Annual,From 50 to 249 persons employed,Hour,Germany,5.0,4.6,4.9,4.2
Annual,From 50 to 249 persons employed,Hour,Denmark,9.5,10.4,5.8,1.4
Annual,From 50 to 249 persons employed,Hour,Estonia,4.1,4.3,9.3,5.4
Annual,From 50 to 249 persons employed,Hour,Greece,1.6,1.0,1.7,1.5
Annual,From 50 to 249 persons employed,Hour,Spain,4.0,5.1,6.3,1.9
Annual,From 50 to 249 persons employed,Hour,European Union - 27 countries (from 2020),4.6,5.0,5.4,4.2
Annual,From 50 to 249 persons employed,Hour,European Union - 28 countries (2013-2020),4.3,5.0,5.7,:
Annual,From 50 to 249 persons employed,Hour,Finland,5.0,4.6,4.5,3.3
Annual,From 50 to 249 persons employed,Hour,France,6.0,6.0,6.9,6.3
Annual,From 50 to 249 persons employed,Hour,Croatia,:,2.6,3.8,3.4
Annual,From 50 to 249 persons employed,Hour,Hungary,2.1,1.9,1.4,1.4 b
Annual,From 50 to 249 persons employed,Hour,Ireland,6.3,:,9.5,8.3
Annual,From 50 to 249 persons employed,Hour,Italy,3.6,4.1,5.3,7.2
Annual,From 50 to 249 persons employed,Hour,Lithuania,2.2,4.9,2.8,3.8
Annual,From 50 to 249 persons employed,Hour,Luxembourg,6.4,9.3,11.6,9.4
Annual,From 50 to 249 persons employed,Hour,Latvia,1.9,1.9,2.9,2.2
Annual,From 50 to 249 persons employed,Hour,North Macedonia,:,:,2.4,1.3
Annual,From 50 to 249 persons employed,Hour,Malta,3.9,4.8,6.3,3.9
Annual,From 50 to 249 persons employed,Hour,Netherlands,6.7,8.4,7.7,7.7
Annual,From 50 to 249 persons employed,Hour,Norway,6.9,12.3,7.0,7.8
Annual,From 50 to 249 persons employed,Hour,Poland,2.4,2.2,2.3,2.0
Annual,From 50 to 249 persons employed,Hour,Portugal,4.3,11.1,6.9,6.1
Annual,From 50 to 249 persons employed,Hour,Romania,1.7,1.8,3.0,1.7
Annual,From 50 to 249 persons employed,Hour,Serbia,:,:,:,1.7
Annual,From 50 to 249 persons employed,Hour,Sweden,7.6,6.6,6.8 b,5.5 b
Annual,From 50 to 249 persons employed,Hour,Slovenia,6.3,10.1,6.4,6.0
Annual,From 50 to 249 persons employed,Hour,Slovakia,4.2,7.7,5.6,4.1
Annual,From 50 to 249 persons employed,Hour,United Kingdom,3.2,4.8,7.2,:
Annual,250 persons employed or more,Hour,Austria,7.2,6.9,7.9,4.6
Annual,250 persons employed or more,Hour,Belgium,12.3,16.1,14.3,8.2
Annual,250 persons employed or more,Hour,Bulgaria,3.9,5.2,6.8,5.0
Annual,250 persons employed or more,Hour,Cyprus,6.2,9.2,6.0,7.1
Annual,250 persons employed or more,Hour,Czechia,10.5,6.6,8.0 b,6.3
Annual,250 persons employed or more,Hour,Germany,6.7,6.9,6.3,12.3
Annual,250 persons employed or more,Hour,Denmark,9.3,8.9,10.0,3.2
