Time frequency,Sector,Seasonal adjustment,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Austria,16.19,17.07,20.84,8.19,13.48,17.9,22.14,5.11,13.26,19.46,25.68,9.28
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Belgium,11.36,9.78,22.78,7.72,8.9,12.57 p,23.31 p,8.49 p,10.50 p,10.78 p,23.58 p,7.17 p
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Czechia,19.79,19.07,15.1,18.18,20.33,21.13,18.0,17.99,20.42,19.01,:,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Germany,18.78 p,21.44 p,18.37 p,17.69 p,18.39 p,21.06 p,19.14 p,18.32 p,18.69 p,22.17 p,19.77 p,19.36 p
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Denmark,-0.68,19.93,7.94,5.15,4.65,20.14,7.98,7.14,1.81,14.82,13.32,8.12
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Euro area – 20 countries (from 2023),14.72,13.04,17.32,10.53,13.35,12.51,18.21,11.4,14.14,14.24,19.53,12.59
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Greece,-9.74 p,-4.70 p,-10.57 p,7.73 p,-10.60 p,-2.22 p,-9.13 p,6.12 p,-8.87 p,-8.07 p,:,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Spain,16.67,1.39,15.89,-0.15,16.35,2.49,19.6,5.45,17.92,6.43,21.42,7.13
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,European Union - 27 countries (from 2020),13.21,12.37,16.24,9.79,12.05,11.76,17.21,10.79,12.74,13.37,18.61,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Finland,3.94,12.8,14.05,10.61,1.55,10.82,13.23,12.09,3.92,11.64,14.01,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,France,11.51,15.36,24.27,13.39,12.08,15.05,25.07,13.21,11.75,15.61,26.0,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Hungary,16.94,19.36,20.99,11.3,14.04,17.85 p,22.07 p,15.07 p,20.29 p,22.90 p,25.60 p,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Ireland,11.79,18.25,19.22,17.75,5.22,18.63,15.91,16.27,3.62,18.54,15.07,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Italy,16.89,11.81,13.3,8.85,12.41,9.58,11.5,7.62,13.85,11.17,14.21,9.18
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Netherlands,16.14,11.04 p,22.34 p,9.24 p,13.61 p,9.16 p,23.41 p,9.94 p,14.03 p,11.98 p,24.11 p,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Norway,19.76,15.56,16.6,10.31,3.03,12.39,13.68,:,:,:,:,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Poland,11.19,-8.18,-3.29,-0.46,7.14,-5.01,2.99,1.37,10.96,-0.85,:,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Portugal,13.12,0.63,11.5,3.34,11.96,-2.65 p,13.15 p,7.32 p,12.11 p,3.58 p,15.93 p,10.09 p
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross household saving rate (B8G/(B6G+D8Net)*100),Percentage,Sweden,10.89,19.98,20.07,8.17,9.65,19.61,22.64,11.33,10.38,20.47,24.97,12.43
