Time frequency,Unit of measure,Protected or protective area,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Square kilometre,Marine protected area,Austria,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Square kilometre,Marine protected area,Belgium,:,1273.0,:,:,:,1274.0,:,:,1274.0,:,1322.0,:
Annual,Square kilometre,Marine protected area,Bulgaria,:,995.0,:,:,:,2834.0,:,:,2834.0,:,2856.0,:
Annual,Square kilometre,Marine protected area,Cyprus,:,131.0,:,:,:,131.0,:,:,8463.0,:,8463.0,:
Annual,Square kilometre,Marine protected area,Czechia,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Square kilometre,Marine protected area,Germany,:,25641.0,:,:,:,25684.0,:,:,25688.0,:,25637.0,:
Annual,Square kilometre,Marine protected area,Denmark,:,19087.0,:,:,:,19122.0,:,:,19675.0,:,19681.0,:
Annual,Square kilometre,Marine protected area,Estonia,:,6759.0,:,:,:,6757.0,:,:,6813.0,:,6813.0,:
Annual,Square kilometre,Marine protected area,Greece,:,7414.0,:,:,:,7430.0,:,:,22550.0,:,22746.0,:
Annual,Square kilometre,Marine protected area,Spain,:,11489.0,:,:,:,84387.0,:,:,128476.0,:,132818.0,:
Annual,Square kilometre,Marine protected area,European Union - 27 countries (from 2020),:,216972.0,:,:,:,386069.0,:,:,552008.0,:,612094.0,:
Annual,Square kilometre,Marine protected area,Finland,:,8153.0,:,:,:,8240.0,:,:,9052.0,:,9058.0,:
Annual,Square kilometre,Marine protected area,France,:,47110.0,:,:,:,55621.0,:,:,139724.0,:,168367.0,:
Annual,Square kilometre,Marine protected area,Croatia,:,666.0,:,:,:,5025.0,:,:,5279.0,:,5278.0,:
Annual,Square kilometre,Marine protected area,Hungary,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Square kilometre,Marine protected area,Ireland,:,6816.0,:,:,:,10264.0,:,:,10257.0,:,10261.0,:
Annual,Square kilometre,Marine protected area,Italy,:,30367.0,:,:,:,30487.0,:,:,31987.0,:,56771.0,:
Annual,Square kilometre,Marine protected area,Lithuania,:,674.0,:,:,:,1555.0,:,:,1554.0,:,1551.0,:
Annual,Square kilometre,Marine protected area,Luxembourg,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Square kilometre,Marine protected area,Latvia,:,4383.0,:,:,:,4470.0,:,:,4469.0,:,4470.0,:
Annual,Square kilometre,Marine protected area,Malta,:,193.0,:,:,:,3489.0,:,:,4142.0,:,4142.0,:
Annual,Square kilometre,Marine protected area,Netherlands,:,11829.0,:,:,:,15085.0,:,:,15082.0,:,16451.0,:
Annual,Square kilometre,Marine protected area,Poland,:,7235.0,:,:,:,7238.0,:,:,7238.0,:,7247.0,:
Annual,Square kilometre,Marine protected area,Portugal,:,14196.0,:,:,:,66445.0,:,:,77006.0,:,76960.0,:
Annual,Square kilometre,Marine protected area,Romania,:,1888.0,:,:,:,6322.0,:,:,6358.0,:,6354.0,:
Annual,Square kilometre,Marine protected area,Sweden,:,10442.0,:,:,:,23802.0,:,:,24076.0,:,24837.0,:
Annual,Square kilometre,Marine protected area,Slovenia,:,230.0,:,:,:,408.0,:,:,11.0,:,11.0,:
Annual,Square kilometre,Marine protected area,Slovakia,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Square kilometre,Terrestrial protected area,Austria,:,:,:,:,:,:,:,:,:,:,24510.0,24603.0
Annual,Square kilometre,Terrestrial protected area,Belgium,:,:,:,:,:,:,:,:,:,:,4505.0,4524.0
Annual,Square kilometre,Terrestrial protected area,Bulgaria,:,:,:,:,:,:,:,:,:,:,45460.0,45465.0
Annual,Square kilometre,Terrestrial protected area,Cyprus,:,:,:,:,:,:,:,:,:,:,3491.0,3502.0
Annual,Square kilometre,Terrestrial protected area,Czechia,:,:,:,:,:,:,:,:,:,:,17259.0,17257.0
Annual,Square kilometre,Terrestrial protected area,Germany,:,:,:,:,:,:,:,:,:,:,133708.0,137704.0
Annual,Square kilometre,Terrestrial protected area,Denmark,:,:,:,:,:,:,:,:,:,:,6435.0,6506.0
Annual,Square kilometre,Terrestrial protected area,Estonia,:,:,:,:,:,:,:,:,:,:,9481.0,9522.0
Annual,Square kilometre,Terrestrial protected area,Greece,:,:,:,:,:,:,:,:,:,:,46063.0,45721.0
Annual,Square kilometre,Terrestrial protected area,Spain,:,:,:,:,:,:,:,:,:,:,141623.0,142152.0
Annual,Square kilometre,Terrestrial protected area,European Union - 27 countries (from 2020),1003558.0,1020306.0,1027027.0,1032320.0,1037902.0,1042645.0,1054661.0,1064348.0,1073237.0,1076628.0,1075959.0,1079412.0
Annual,Square kilometre,Terrestrial protected area,Finland,:,:,:,:,:,:,:,:,:,:,44777.0,45053.0
Annual,Square kilometre,Terrestrial protected area,France,:,:,:,:,:,:,:,:,:,:,153906.0,154571.0
Annual,Square kilometre,Terrestrial protected area,Croatia,:,:,:,:,:,:,:,:,:,:,21523.0,21530.0
Annual,Square kilometre,Terrestrial protected area,Hungary,:,:,:,:,:,:,:,:,:,:,20688.0,20688.0
Annual,Square kilometre,Terrestrial protected area,Ireland,:,:,:,:,:,:,:,:,:,:,9711.0,9757.0
Annual,Square kilometre,Terrestrial protected area,Italy,:,:,:,:,:,:,:,:,:,:,64429.0,64413.0
Annual,Square kilometre,Terrestrial protected area,Lithuania,:,:,:,:,:,:,:,:,:,:,11130.0,11534.0
Annual,Square kilometre,Terrestrial protected area,Luxembourg,:,:,:,:,:,:,:,:,:,:,1448.0,984.0
Annual,Square kilometre,Terrestrial protected area,Latvia,:,:,:,:,:,:,:,:,:,:,11725.0,11723.0
Annual,Square kilometre,Terrestrial protected area,Malta,:,:,:,:,:,:,:,:,:,:,92.0,91.0
Annual,Square kilometre,Terrestrial protected area,Netherlands,:,:,:,:,:,:,:,:,:,:,9915.0,8501.0
Annual,Square kilometre,Terrestrial protected area,Poland,:,:,:,:,:,:,:,:,:,:,123545.0,123491.0
Annual,Square kilometre,Terrestrial protected area,Portugal,:,:,:,:,:,:,:,:,:,:,20547.0,20561.0
Annual,Square kilometre,Terrestrial protected area,Romania,:,:,:,:,:,:,:,:,:,:,55890.0,55901.0
Annual,Square kilometre,Terrestrial protected area,Sweden,:,:,:,:,:,:,:,:,:,:,67521.0,67126.0
Annual,Square kilometre,Terrestrial protected area,Slovenia,:,:,:,:,:,:,:,:,:,:,8210.0,8212.0
Annual,Square kilometre,Terrestrial protected area,Slovakia,:,:,:,:,:,:,:,:,:,:,18351.0,18321.0
Annual,Percentage,Marine protected area,Austria,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Percentage,Marine protected area,Belgium,:,36.8,:,:,:,36.8,:,:,36.8,:,37.8,:
Annual,Percentage,Marine protected area,Bulgaria,:,2.8,:,:,:,8.1,:,:,8.1,:,8.0,:
Annual,Percentage,Marine protected area,Cyprus,:,0.1,:,:,:,0.1,:,:,8.6,:,8.6,:
Annual,Percentage,Marine protected area,Czechia,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Percentage,Marine protected area,Germany,:,45.8,:,:,:,45.9,:,:,45.9,:,45.4,:
Annual,Percentage,Marine protected area,Denmark,:,18.1,:,:,:,18.2,:,:,18.7,:,18.7,:
Annual,Percentage,Marine protected area,Estonia,:,18.5,:,:,:,18.5,:,:,18.6,:,18.7,:
Annual,Percentage,Marine protected area,Greece,:,6.5,:,:,:,6.5,:,:,19.7,:,19.8,:
Annual,Percentage,Marine protected area,Spain,:,1.1,:,:,:,7.9,:,:,12.0,:,12.4,:
Annual,Percentage,Marine protected area,European Union - 27 countries (from 2020),:,4.2,:,:,:,7.4,:,:,10.9,:,12.1,:
Annual,Percentage,Marine protected area,Finland,:,9.9,:,:,:,10.0,:,:,11.0,:,11.0,:
Annual,Percentage,Marine protected area,France,:,12.7,:,:,:,15.0,:,:,37.7,:,45.4,:
Annual,Percentage,Marine protected area,Croatia,:,1.2,:,:,:,9.1,:,:,9.5,:,9.5,:
Annual,Percentage,Marine protected area,Hungary,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Percentage,Marine protected area,Ireland,:,1.5,:,:,:,2.3,:,:,2.3,:,2.3,:
Annual,Percentage,Marine protected area,Italy,:,5.2,:,:,:,5.2,:,:,5.4,:,9.7,:
Annual,Percentage,Marine protected area,Lithuania,:,10.5,:,:,:,24.1,:,:,24.1,:,22.8,:
Annual,Percentage,Marine protected area,Luxembourg,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Percentage,Marine protected area,Latvia,:,15.5,:,:,:,15.8,:,:,15.8,:,15.8,:
Annual,Percentage,Marine protected area,Malta,:,0.3,:,:,:,4.6,:,:,5.5,:,5.5,:
Annual,Percentage,Marine protected area,Netherlands,:,20.1,:,:,:,25.6,:,:,25.6,:,26.1,:
Annual,Percentage,Marine protected area,Poland,:,21.8,:,:,:,21.8,:,:,21.8,:,21.9,:
Annual,Percentage,Marine protected area,Portugal,:,0.8,:,:,:,3.8,:,:,4.5,:,4.5,:
Annual,Percentage,Marine protected area,Romania,:,6.4,:,:,:,21.4,:,:,21.5,:,21.4,:
Annual,Percentage,Marine protected area,Sweden,:,6.7,:,:,:,15.3,:,:,15.3,:,16.0,:
Annual,Percentage,Marine protected area,Slovenia,:,28.6,:,:,:,50.6,:,:,5.2,:,5.0,:
Annual,Percentage,Marine protected area,Slovakia,:,: m,:,:,:,: m,:,:,: m,:,: m,:
Annual,Percentage,Terrestrial protected area,Austria,:,:,:,:,:,:,:,:,:,:,29.2,29.3
Annual,Percentage,Terrestrial protected area,Belgium,:,:,:,:,:,:,:,:,:,:,14.7,14.7
Annual,Percentage,Terrestrial protected area,Bulgaria,:,:,:,:,:,:,:,:,:,:,41.0,41.0
Annual,Percentage,Terrestrial protected area,Cyprus,:,:,:,:,:,:,:,:,:,:,37.7,37.8
Annual,Percentage,Terrestrial protected area,Czechia,:,:,:,:,:,:,:,:,:,:,21.9,21.8
Annual,Percentage,Terrestrial protected area,Germany,:,:,:,:,:,:,:,:,:,:,37.4,38.5
Annual,Percentage,Terrestrial protected area,Denmark,:,:,:,:,:,:,:,:,:,:,14.9,15.1
Annual,Percentage,Terrestrial protected area,Estonia,:,:,:,:,:,:,:,:,:,:,20.9,21.0
Annual,Percentage,Terrestrial protected area,Greece,:,:,:,:,:,:,:,:,:,:,34.9,34.6
Annual,Percentage,Terrestrial protected area,Spain,:,:,:,:,:,:,:,:,:,:,28.0,28.1
Annual,Percentage,Terrestrial protected area,European Union - 27 countries (from 2020),24.3,24.7,24.8,25.0,25.1,25.2,25.5,25.7,26.0,26.0,26.0,26.1
Annual,Percentage,Terrestrial protected area,Finland,:,:,:,:,:,:,:,:,:,:,13.3,13.4
Annual,Percentage,Terrestrial protected area,France,:,:,:,:,:,:,:,:,:,:,28.0,28.1
Annual,Percentage,Terrestrial protected area,Croatia,:,:,:,:,:,:,:,:,:,:,38.1,38.2
Annual,Percentage,Terrestrial protected area,Hungary,:,:,:,:,:,:,:,:,:,:,22.2,22.2
Annual,Percentage,Terrestrial protected area,Ireland,:,:,:,:,:,:,:,:,:,:,13.9,13.9
Annual,Percentage,Terrestrial protected area,Italy,:,:,:,:,:,:,:,:,:,:,21.4,21.4
Annual,Percentage,Terrestrial protected area,Lithuania,:,:,:,:,:,:,:,:,:,:,17.1,17.8
Annual,Percentage,Terrestrial protected area,Luxembourg,:,:,:,:,:,:,:,:,:,:,55.8,37.9
Annual,Percentage,Terrestrial protected area,Latvia,:,:,:,:,:,:,:,:,:,:,18.2,18.1
Annual,Percentage,Terrestrial protected area,Malta,:,:,:,:,:,:,:,:,:,:,29.0,28.7
Annual,Percentage,Terrestrial protected area,Netherlands,:,:,:,:,:,:,:,:,:,:,26.5,22.7
Annual,Percentage,Terrestrial protected area,Poland,:,:,:,:,:,:,:,:,:,:,39.6,39.6
Annual,Percentage,Terrestrial protected area,Portugal,:,:,:,:,:,:,:,:,:,:,22.4,22.4
Annual,Percentage,Terrestrial protected area,Romania,:,:,:,:,:,:,:,:,:,:,23.4,23.5
Annual,Percentage,Terrestrial protected area,Sweden,:,:,:,:,:,:,:,:,:,:,15.0,15.0
Annual,Percentage,Terrestrial protected area,Slovenia,:,:,:,:,:,:,:,:,:,:,40.4,40.5
Annual,Percentage,Terrestrial protected area,Slovakia,:,:,:,:,:,:,:,:,:,:,37.4,37.3
