Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Montenegro,:,:,:,:,3.19,2.09,: u,: u,11.47,8.1,9.98,: @C
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,North Macedonia,: u,: u,1.55,: u,:,:,:,: u,: u,: u,:,:
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Malta,13.15,9.38,: u,13.04,11.76,: u,: u,14.34,11.82,13.04,12.98,13.34 b
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Netherlands,13.45,11.58,13.32,14.32,14.64,14.54,13.94,17.31,18.9,19.93,18.99 b,: u
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Norway,18.54,19.0,19.74,23.98,20.58,25.06,26.44,18.84,22.35,20.19,21.46,23.0
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Poland,11.25,11.52,13.11,14.43,15.21,14.85,17.74,16.79,17.67,16.81,17.25,16.88
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Portugal,11.92,: u,16.57,14.45,16.47,18.26,19.1,19.85,17.18,17.2,18.99,19.5
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Romania,5.87,5.75,7.73,7.05,8.44,9.04,7.42,12.42,9.22,10.9,11.55,12.36
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Serbia,:,6.22,:,:,6.34,8.51,14.95,8.55,5.1,9.51,7.86,7.01
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Sweden,13.56,18.07,19.43,20.92,18.84,23.97,24.83,24.44,26.1,26.04,25.56 b,26.38
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Slovenia,11.21,: u,12.82,15.09,16.31,17.46,17.36,17.81,17.87,17.41,17.15,17.91
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,Slovakia,17.28,15.55,20.71,17.96,22.04,20.76,21.04,21.43,19.37,22.74,21.55,24.0
Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises' total turnover from e-commerce sales,Percentage of turnover,United Kingdom,18.24,19.84,20.14,18.96,17.84,18.62,20.52,20.85,:,:,:,:
