Time frequency,Number of items,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Czechia,:,:,7.3,6.1,5.4,4.5,3.8,3.4,3.9,3.2,4.4
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Germany,:,:,7.8,6.2,5.2,4.4,3.9,7.6 b,8.1,9.9,11.1
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Denmark,:,:,4.2,3.4,4.4,3.9,4.2 u,4.0,4.5,4.7,6.3
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,8.4,8.3,:,:
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Euro area – 20 countries (from 2023),:,:,10.5,9.6,8.2,7.7,7.1,8.4,8.3,8.5,8.8
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Estonia,:,:,5.8,4.1,5.5,4.5,3.8,3.6,3.3,4.1,3.3
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Greece,:,:,23.6,24.0,20.9,16.9,16.3,16.5,15.6,15.7,14.7
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Spain,:,:,9.7,9.8,9.2,9.2,8.5,11.3,10.3,10.1,11.6
Annual,7 items or more,Percentage,Total,From 18 to 64 years,European Union - 27 countries (from 2020),:,:,12.5,11.4,10.1,9.0,8.2,9.1,9.0,9.1,9.2
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Finland,:,:,1.7,2.0 u,2.2 u,2.8,2.3,2.5,2.1,3.0,3.9
Annual,7 items or more,Percentage,Total,From 18 to 64 years,France,:,:,7.6,7.3,7.1,6.9,7.4,7.8 b,8.1,8.7 b,7.8 b
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Croatia,21.4,18.8,14.9,12.5,11.1,9.7,7.4,7.7,7.1,6.1,4.0 b
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Hungary,:,:,31.0,26.8,21.4,16.0,14.2,13.2,14.1,13.1,13.6
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Ireland,:,:,7.4,5.8,5.3,4.0,4.6 b,4.4 b,5.5,6.1,6.3
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Iceland,:,:,1.5,1.0,1.2,0.8,0.8 u,:,:,:,:
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Italy,:,:,18.6,16.2,12.6,12.2,10.6,10.4,9.5,8.0,8.0
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Lithuania,:,:,18.6,19.8,18.0,16.7,14.5,12.1,11.3,10.5,10.6
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Luxembourg,:,:,3.5,2.7 b,2.2,2.0 u,2.0 u,2.4 b,3.7 b,2.3 b,3.5
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Latvia,:,:,18.0,15.3,15.0,12.0,9.7,9.1,9.0,9.3,8.1
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Montenegro,:,:,:,:,:,:,:,:,:,23.3,:
Annual,7 items or more,Percentage,Total,From 18 to 64 years,North Macedonia,:,:,41.2,37.2,34.1,30.6,30.4,30.0,:,:,:
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Malta,:,:,10.4,6.4,4.8,5.5,5.9,7.1,7.5,5.5,5.3
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Netherlands,:,:,3.3,2.9 bu,2.6 u,3.0,2.9,2.6,3.2,3.1,3.4
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Norway,:,:,1.5,:,1.9,2.0,1.7,2.3,2.2 b,1.8,2.5
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Poland,:,:,10.3,7.5,7.5,6.4,5.2,4.7,4.6,3.8,3.5
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Portugal,:,:,14.2,12.2,10.0,8.6,7.3,6.3,7.2,6.5,5.8
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Romania,:,:,40.1,41.2,39.2,33.9,29.8,29.9,30.6,30.4,27.1
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Serbia,:,:,27.9,:,25.3,20.1,17.2,16.9,17.0,15.6,:
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Sweden,:,:,1.2 b,1.3,1.4,1.6,1.6,1.8,1.7,2.5,3.1
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Slovenia,:,:,6.1,4.7,5.2,3.8,2.6,3.1,2.7,2.0,2.4
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Slovakia,:,:,12.7,12.7,10.2,8.3,8.0,7.2,7.5,7.0,7.8
Annual,7 items or more,Percentage,Total,From 18 to 64 years,Türkiye,:,:,3.2,4.1,25.6,23.5,23.4,24.7,28.6,24.9,21.7
