Time frequency,Income and living conditions indicator,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Austria,14.9,17.3,18.8,18.0,15.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Belgium,18.9 b,13.6 b,13.9,12.2,12.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Bulgaria,27.5,25.7,18.5,19.2,16.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Switzerland,18.1,19.8,16.0,16.2,19.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Cyprus,16.7,15.6,13.8,11.3,12.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Czechia,11.2,9.7,10.5,9.4,10.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Germany,12.1,13.1 b,14.6,14.8,15.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Denmark,10.3,10.0 b,8.7,8.9,10.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",18.6,18.4,18.5,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Euro area - 18 countries (2014),18.6,18.4 b,18.6,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Euro area - 19 countries  (2015-2022),18.6,18.4 b,18.5,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Euro area – 20 countries (from 2023),18.6,18.4,18.4,18.2,19.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Estonia,17.2,13.3,12.6,7.9,14.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Greece,21.1,19.0,19.9,15.4,16.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Spain,27.4,24.9,26.0,24.3,24.6
