Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Total,Albania,:,:,:,63.8,62.9,60.7,58.1,58.0,:,:
Annual,Percentage,Total,Total,Total,Austria,15.3,15.0,15.2,15.1,13.5,15.1,14.1,14.3,15.7,14.5
Annual,Percentage,Total,Total,Total,Belgium,2.0,1.6,3.5 b,4.8,5.7,5.7 b,5.7,5.9,6.2,5.7
Annual,Percentage,Total,Total,Total,Bulgaria,43.3,41.4,42.5 b,41.9,41.6,41.1,39.5,37.9,36.2,34.9
Annual,Percentage,Total,Total,Total,Switzerland,6.8 b,6.4,7.0,6.5,6.2,6.4,6.4,5.8,5.8,7.0
Annual,Percentage,Total,Total,Total,Cyprus,2.2,1.4,2.4,2.8,2.5,2.2,2.5,2.3,2.2,2.2
Annual,Percentage,Total,Total,Total,Czechia,19.9,18.7,17.9,16.0,15.7,15.4,15.2,15.4,15.1,15.9
Annual,Percentage,Total,Total,Total,Germany,6.6,7.0,7.2,7.2,7.4,7.8,10.2 b,10.6,11.2,11.4
Annual,Percentage,Total,Total,Total,Denmark,8.2,8.1,8.2,8.6,9.2,10.0,9.5,9.2,9.8,8.7
Annual,Percentage,Total,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",11.8 e,12.1 e,12.3 e,12.1 e,12.3 e,12.6,13.2,13.2,:,:
Annual,Percentage,Total,Total,Total,Euro area - 18 countries (2014),11.8,12.0,12.2,12.0,12.2,12.5,13.2,:,:,:
Annual,Percentage,Total,Total,Total,Euro area - 19 countries  (2015-2022),11.9,12.1,12.3,12.1,12.3,12.6,13.2,13.2,:,:
Annual,Percentage,Total,Total,Total,Euro area – 20 countries (from 2023),12.2,12.5,12.7,12.4,12.6,12.9,13.5,13.7,13.2,13.6
Annual,Percentage,Total,Total,Total,Estonia,14.2 b,13.4,13.4,13.5,12.6,13.9,12.7,14.9,15.7,17.0
Annual,Percentage,Total,Total,Total,Greece,27.4,28.1,28.7,29.0,29.2,28.7,29.0,28.5,28.0,26.9
Annual,Percentage,Total,Total,Total,Spain,5.3,5.5,5.4,5.1,4.7,5.9,7.6,6.4,6.6,7.6
Annual,Percentage,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",16.7 e,16.7 e,16.6 e,15.7 e,15.5 e,15.6 e,:,:,:,:
Annual,Percentage,Total,Total,Total,European Union - 27 countries (2007-2013),16.5,16.5,16.4,15.5,15.3,15.4 e,:,:,:,:
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),18.1 e,18.1 e,17.9 e,17.5 e,17.1 e,17.1 e,17.4,17.3,16.8,16.8
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),16.7,16.7,16.6,15.7,15.5,15.6 e,:,:,:,:
