Time frequency,Economical indicator for structural business statistics,Enterprise,Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Denmark,:,3000.0
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Spain,:,5895.9
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Finland,:,2099.6
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,France,20818.0,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Luxembourg,:,928.2
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Portugal,:,797.3
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,Sweden,6854.6,:
Annual,Turnover or gross premiums written - million euro,Non-specialised enterprises,United Kingdom,:,34720.0
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Denmark,:,1947.7
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Spain,:,5020.7
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Finland,:,1308.2
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,France,10685.0,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Luxembourg,:,85.0
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Portugal,:,480.0
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,Sweden,4129.4,:
Annual,Turnover or gross premiums written - million euro,Specialised enterprises,United Kingdom,:,33921.0
Annual,Turnover or gross premiums written - million euro,Total,Denmark,:,4947.7
Annual,Turnover or gross premiums written - million euro,Total,Spain,:,10917.0
Annual,Turnover or gross premiums written - million euro,Total,Finland,:,3407.8
Annual,Turnover or gross premiums written - million euro,Total,France,31503.0,:
Annual,Turnover or gross premiums written - million euro,Total,Luxembourg,:,1013.1
Annual,Turnover or gross premiums written - million euro,Total,Portugal,:,1277.3
Annual,Turnover or gross premiums written - million euro,Total,Sweden,10984.0,:
Annual,Turnover or gross premiums written - million euro,Total,United Kingdom,:,68641.0
