Time frequency,Level of difficulty,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Austria,16.8
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Belgium,18.8
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Bulgaria,11.6
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Switzerland,11.5
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Cyprus,17.8
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Czechia,16.2
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Germany,: u
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Denmark,21.4
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Euro area – 20 countries (from 2023),16.9 e
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Estonia,22.8
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Greece,14.5
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Spain,18.6
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,European Union - 27 countries (from 2020),16.7 e
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Finland,27.4
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,France,19.6
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Croatia,17.2
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Hungary,15.6
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Ireland,16.8
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Italy,11.0
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Lithuania,22.1
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Luxembourg,14.5
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Latvia,18.4
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Montenegro,13.6
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Malta,8.3
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Netherlands,21.4
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Norway,12.7
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Poland,18.3
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Portugal,19.2
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Romania,13.2
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Serbia,10.9
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Sweden,17.7
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Slovenia,28.7
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Slovakia,17.9
Annual,Severe,"Less than primary, primary and lower secondary education (levels 0-2)",Total,Total,Percentage,Türkiye,12.3
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Austria,7.9
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Belgium,7.7
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Bulgaria,5.1
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Switzerland,7.0
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Cyprus,4.7
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Czechia,8.3
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Germany,: u
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Denmark,14.9
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Euro area – 20 countries (from 2023),8.2 e
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Estonia,12.3
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Greece,4.2
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Spain,7.4
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,European Union - 27 countries (from 2020),7.9 e
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Finland,12.3
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,France,9.5
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Croatia,5.2
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Hungary,7.7
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Ireland,3.8
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Italy,3.4
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Lithuania,7.9
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Luxembourg,7.4
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Latvia,11.0
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Montenegro,3.6
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Malta,2.9
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Netherlands,13.6
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Norway,10.8
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Poland,8.0
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Portugal,4.1
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Romania,4.5
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Serbia,3.3
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Sweden,10.2
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Slovenia,14.4
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Slovakia,6.9
Annual,Severe,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,Total,Percentage,Türkiye,3.7
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Austria,4.0
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Belgium,4.3
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Bulgaria,3.5
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Switzerland,4.2
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Cyprus,2.1
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Czechia,4.2
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Germany,: u
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Denmark,10.3
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Euro area – 20 countries (from 2023),5.1 e
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Estonia,8.0
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Greece,3.0
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Spain,5.3
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,European Union - 27 countries (from 2020),5.0 e
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Finland,9.5
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,France,4.3
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Croatia,3.9
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Hungary,5.3
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Ireland,3.0
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Italy,3.9
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Lithuania,4.8
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Luxembourg,5.2
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Latvia,5.0
Annual,Severe,Tertiary education (levels 5-8),Total,Total,Percentage,Montenegro,2.4
