Time frequency,Unit of measure,Vehicles,Motor energy,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Austria,:,:,:,:,:,11.0,9.0,10.0,11.0,0.0,8.0,0.0,0.0,0.0,3.0,8.0,5.0,14.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Belgium,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Bulgaria,9.0,16.0,1.0,9.0,3.0,0.0,3.0,3.0,5.0,0.0,2.0,15.0,: m,9.0,16.0,25.0,5.0,5.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Switzerland,:,:,:,:,:,:,:,:,:,:,2.0,0.0,0.0,0.0,0 e,0.0,0 e,0 n
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: m,: m,: m,0.0,1.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Germany,12.0,3.0,1.0,:,:,3.0,14.0,15.0,11.0,3.0,:,:,:,3.0,16.0,4.0,13.0,7.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Estonia,:,:,:,:,:,:,:,:,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Finland,0.0,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,France,1.0,3.0,:,:,8.0,30.0,23.0,26.0,23.0,23.0,7.0,4.0,4.0,4.0,0.0,:,:,29.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Croatia,:,:,:,:,:,:,:,:,0.0,0.0,0.0,:,: m,: m,: m,: m,: m,: m
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Hungary,8.0,0.0,0.0,0.0,0.0,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Ireland,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Iceland,:,:,:,:,:,:,:,:,:,0 e,0 e,:,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Liechtenstein,:,:,:,:,:,:,:,:,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Lithuania,:,:,:,:,15.0,:,:,:,:,15.0,37.0,37.0,28.0,5.0,4.0,0.0,2.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Luxembourg,:,:,:,:,:,:,:,0.0,3.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Latvia,0.0,0.0,1.0,35.0,2.0,9.0,13.0,0.0,0.0,0.0,30.0,3.0,29.0,62.0,76.0,76.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Malta,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Norway,:,:,:,:,:,:,:,:,:,: m,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Poland,13.0,14.0,26.0,:,:,:,:,:,:,: m,8.0,10.0,4.0,:,1.0,16.0,7.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Sweden,:,:,:,:,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,: m,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Electricity,United Kingdom,2.0,:,:,10.0,:,:,:,3.0,3.0,2.0,6.0,:,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Austria,:,:,:,:,:,:,:,:,:,0.0,0.0,2.0,27.0,43.0,23.0,48.0,2.0,21.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Belgium,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Switzerland,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,0.0,0 e,200 n
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Cyprus,:,:,:,:,:,:,:,:,:,: m,: m,: m,0.0,:,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Germany,:,:,:,:,:,:,:,:,:,:,:,199.0,145.0,141.0,66.0,44.0,39.0,61.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Estonia,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Finland,:,:,:,:,:,:,:,31.0,2.0,1.0,3.0,9.0,13.0,4.0,12.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,France,:,:,:,101.0,163.0,237.0,247.0,243.0,384.0,139.0,141.0,284.0,165.0,110.0,129.0,:,:,84.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Croatia,:,:,:,:,:,:,:,:,0.0,0.0,0.0,:,: m,: m,61.0,: m,1.0,: m
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Hungary,:,:,:,0.0,0.0,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Ireland,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Iceland,:,:,:,:,:,:,:,:,:,0 e,2 e,:,:,:,:,:,:,:
