Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Finland,4064.2,3862.6,5779.3,6231.0,6612.4,10395.3,11728.0,12321.6,7166.2,9306.5,5273.1,6955.0,7677.0,5094.0,3773.0,2676.0,-2926.0,-4563.0,-3589.0,-2662.0,-1376.0,-4075.0,-1239.0,-3421.0,-70.0,1219.0,968.0,-6465.0,-1790.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),France,:,:,:,:,48810.0,17765.0,23625.0,18361.0,5839.0,10328.0,1862.0,5110.0,-322.0,-13513.0,-10321.0,-12403.0,-17847.0,-23545.0,-11107.0,-18515.0,-5574.0,-12218.0,-11702.0,-14633.0,16233.0,-45837.0,16217.0,-21535.0,-21021.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Croatia,:,:,:,:,:,-351.7,-423.4,-1309.2,-2705.3,-1996.3,-2621.3,-3313.6,-3450.4,-5111.0,-2961.8,-740.0,-714.0,-658.0,-297.0,420.0,1603.0,1820.0,2275.0,1409.0,2408.0,561.0,1887.0,-490.0,2753.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Hungary,-190175.6,-258092.4,-367017.0,-755306.0,-962812.6,-1103692.9,-853734.1,-1060243.9,-1581319.1,-1903049.0,-1472318.2,-1615931.4,-1686557.6,-1681401.4,124171.3,458531.0,773616.6,1044873.4,2047997.4,1451295.5,2319932.9,1562713.2,1003834.1,1082866.1,568739.8,551645.5,-858668.0,-4405083.0,1277633.7
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Ireland,:,:,:,:,:,:,:,924.0,1163.0,198.9,-5688.7,-9600.2,-12715.2,-11596.5,-7898.1,-1917.8,-2575.4,-5848.0,3452.0,-2630.0,15408.0,-7765.0,-22328.0,-37650.0,-110679.0,-38902.0,56151.0,44716.0,32599.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Italy,20449.0,29457.0,31356.0,21088.0,12197.0,-175.0,3048.0,-6767.0,-8633.0,-5241.0,-11660.0,-21457.0,-20190.0,-45489.0,-28134.0,-52048.0,-44650.0,-523.0,14241.0,31832.0,27153.0,39253.0,43947.0,45058.0,56242.0,63402.0,41092.0,-24533.0,14939.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Lithuania,-470.0,-614.5,-955.7,-1319.8,-1147.3,-588.1,-511.8,-606.4,-943.7,-1297.9,-1346.0,-2195.8,-3835.9,-3701.0,1706.1,1118.6,-86.9,467.6,1710.7,2285.0,179.1,177.5,935.9,832.0,2674.4,4484.8,1625.2,-3133.0,1991.6
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Luxembourg,:,:,:,:,:,:,:,1812.0,1781.0,1895.0,3020.0,2089.0,2306.0,2228.0,1958.0,2331.0,2486.0,2070.0,1614.0,1595.0,2887.0,4006.0,3532.0,6687.0,5246.0,5978.0,8648.0,4946.0,4443.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Latvia,:,:,:,:,:,-293.0,-523.0,-525.0,-685.0,-1247.0,-1439.0,-3381.0,-4279.0,-2667.0,1905.0,661.0,-244.0,-166.0,-61.0,369.0,667.0,734.0,648.0,399.0,404.0,1403.0,-857.0,-1705.0,-782.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Malta,:,:,:,:,:,:,:,:,:,-149.3,-255.6,-124.8,-100.0,-120.6,-448.8,-285.6,-55.7,107.1,143.0,636.4,538.5,-22.3,2513.7,2112.0,2982.1,2586.2,1810.2,90.4,1571.2
