Time frequency,Unit of measure,Country of citizenship,Activity and employment status,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Employed persons,From 15 to 64 years,France,14.8 b,15.6 b,16.3,16.1,14.5,14.7,15.3,15.1,13.0,13.2 b,13.6,14.3,15.2,15.8,15.9,14.7,15.9 bd,17.7 d,17.4 d
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Croatia,12.5 b,13.0 b,13.2,11.4,9.9,8.3,9.9,9.5 b,9.8,12.7,12.6,15.7,15.5,15.3,13.3,10.2,11.2 b,13.3,11.1
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Hungary,12.2 b,12.6,12.6,14.1,13.0,13.5,13.4,14.8,15.7,15.7,15.2,15.4,14.7,14.4 b,14.9,14.6,14.4 b,14.3,13.2
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Ireland,18.3 b,16.3,20.3 b,18.7,13.5,12.3,13.6,14.5,15.3,16.3,16.9,17.8,17.4 b,18.2,18.2,15.4,16.4 b,19.1,17.9
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Iceland,22.8 b,24.7,23.9,24.4,17.7,18.0,19.7,21.5,21.1,20.2,20.8,21.5,22.5,20.9,18.3,17.0 b,19.4 b,22.8,21.2
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Italy,11.6 b,12.0,12.4,12.5,10.3,10.3,10.5,10.4,9.7,10.1,10.9,11.3,11.5,11.6 b,12.1,10.8,11.9 b,13.0,12.4
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Lithuania,15.1 b,15.1,15.9,16.0,14.0,15.3,18.1,16.3,17.6,16.1,16.8,20.6,19.6,21.1,20.7,20.1,11.1 b,14.5,12.8
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Luxembourg,10.2 b,10.5,11.3 b,9.6,13.4 b,11.8,13.3,12.7,12.6,13.7,14.7 b,12.6 b,14.0,14.8,14.9,13.0,12.8 b,13.8,13.4
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Latvia,19.1 b,21.3,20.4,18.3,14.5,19.1,20.1,18.7,18.2,16.2,15.9,15.0,16.5,16.1,16.5,14.8,14.0 b,12.8,12.5
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Montenegro,:,:,:,:,:,:,11.2,9.9,12.2,13.7,14.9,16.0,14.6,16.5,15.0,10.3,:,:,:
Annual,Percentage,Total,Employed persons,From 15 to 64 years,North Macedonia,:,15.1,14.7,15.5,13.4,12.7,13.0,12.8,12.2,10.7,13.3,13.1,11.8,13.7,13.5,11.6,:,:,:
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Malta,10.4 b,9.9,13.4,12.1,10.3,11.6,12.3,12.7,12.7,12.3,12.4,14.8,16.1,17.6,15.3,12.4,14.5 b,14.7,15.9
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Netherlands,6.9 b,7.9 b,8.9,9.4,8.0,10.2,15.8,15.4,14.7 b,15.0,16.5,17.5,18.3,19.1,19.0,16.8,19.5 b,22.2,21.6
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Norway,:,15.3 b,20.2,20.3,17.2,15.7,16.9,17.0,16.3,15.6,15.2,15.1,15.5,16.0,16.1,15.8,20.1 b,21.0,20.8
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Poland,14.3 b,15.8,16.8,16.4,13.9,14.2 b,13.2,13.0,12.2,12.9,12.3,12.7,12.5,12.4,12.0 b,9.9,9.5 b,9.7,9.5
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Portugal,12.3 b,12.6,14.0,13.8,13.0,13.1,13.7 b,12.6,13.0,14.5,15.5,15.9,16.2,16.8,16.7,13.8,13.1 b,14.6,15.8
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Romania,12.8 b,12.9,11.0,8.8,7.1,6.4 b,6.6,6.0,5.8,5.7,7.2,5.7,6.6,5.7,5.6,5.1,6.3 b,6.0,6.3
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Serbia,:,:,:,:,:,7.0,7.5,8.9,9.5,11.0 b,13.8,15.0,16.0,16.3,15.5,13.9,14.9 b,14.8,15.1
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Sweden,17.5 b,19.9,21.3,21.0,18.3,18.9,21.1,20.3,19.9,20.5,21.1,21.7,22.5,22.6 b,22.1,19.5,17.8 b,20.9,19.8
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Slovenia,14.0 b,9.8,14.7,15.2,12.7,12.1,11.9,12.4,11.9,10.2,13.7,12.4,15.0,13.0,13.1,12.1,12.2 b,11.7,11.1
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Slovakia,13.3 b,12.5,12.9,11.9,10.0,10.4,10.0 b,9.1,9.0,10.6,12.9,13.2,13.5,12.2,11.0,9.6,8.2 b,8.0,8.0
Annual,Percentage,Total,Employed persons,From 15 to 64 years,Türkiye,:,20.0,20.7,22.3,22.9,25.1,26.5,26.5,26.9,28.8 b,29.0,28.2,28.3,29.5,27.3,25.4,27.2 b,29.0,29.6
Annual,Percentage,Total,Employed persons,From 15 to 64 years,United Kingdom,19.7 b,18.8,19.0 b,18.4 b,15.6,15.2,15.6,15.8,16.0,17.1,18.1,17.7,17.8,17.3,17.0,:,:,:,:
