Time frequency,Unit of measure,Age class,Sex,Country of citizenship,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,: u,5.7 u,:,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Austria,:,:,:,:,:,:,32.3,31.0,27.3,35.8,32.0,32.1,32.9,35.0,24.9,25.0,27.4,24.3,20.9,22.9,21.5
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Belgium,:,:,:,:,:,:,17.9,21.8,24.2,23.2,22.9,25.1,22.3,20.3,21.3,22.8,19.5 b,22.0,19.3,20.6,20.5
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Bulgaria,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,42.4 u,: u,: u
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Switzerland,:,:,:,:,:,:,14.1,13.5,13.3,14.5,12.8,15.3,16.7,15.9,15.7,14.5,16.2,15.1,14.5,14.2,14.6
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Cyprus,:,:,:,:,:,:,22.0,20.7,21.8,26.6,28.3,26.1,30.7,27.6,24.7,21.4,22.3,26.2,22.6,24.1,23.3
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Czechia,:,:,:,:,:,:,4.1,12.5,15.5,10.6,10.8,17.1,12.8,14.5,6.5,4.4,5.7,6.0,11.9,17.6,10.2
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Germany,:,:,:,:,:,:,18.4,22.3,14.7,13.0,18.3,18.2,18.0,19.2,15.4,15.4,11.2,20.5 b,19.6,19.8,18.4
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Denmark,:,:,:,:,:,:,27.2,28.1,24.1,24.0,10.2,22.7,25.6,16.8,25.5,25.6,22.0,19.5 b,19.9,18.7,21.2
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,22.5 e,26.0 e,24.7 e,24.8 e,25.6 e,26.8 e,24.6 e,26.5 e,23.0 e,24.8 e,22.4 e,23.5,22.5,:,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,26.8,24.6,26.5,23.0,24.7,22.4,23.5,22.6,22.3,21.2
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Estonia,:,:,:,:,:,:,10.2 u,8.7 u,19.2 u,14.3 u,13.3 u,18.4 u,15.8 u,27.8 u,32.1 u,23.7 u,21.5,29.6,28.4 u,26.0,23.7
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Greece,:,:,:,:,:,:,31.0,35.6,13.3,30.3,28.5,26.2,30.4,31.6,32.5,28.3,22.6,20.0,22.1,16.5,17.8
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Spain,:,:,:,:,:,:,34.9,37.8,29.8,38.4,36.1,38.2,31.6,40.0,36.9,45.8,41.1,37.3,34.2,34.9,28.2
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,21.6 u,22.4 u,23.0 u,22.2 u,22.6 u,24.5 u,22.9 u,22.1 u,22.7 u,22.6 u,21.0 e,:,:,:,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,European Union - 27 countries (2007-2013),:,:,:,:,:,:,21.6 u,22.4 u,23.0 u,22.2 u,22.6 u,24.5 u,22.9 u,22.1 u,22.7 u,22.6 u,21.0 e,:,:,:,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,25.9 u,24.6 u,24.7 u,25.4 u,26.6 u,24.5 u,26.1 u,23.0 u,24.5 u,22.4 u,23.2 u,22.3,22.1,21.0
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,22.4 u,23.0 u,22.2 u,22.6 u,24.5 u,22.9 u,22.1 u,22.7 u,22.6 u,21.0 e,:,:,:,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Finland,:,:,:,:,:,:,18.4,19.0,22.8,17.6,22.7,17.7,19.9,16.5,7.3,10.5,11.3,14.0,11.5,20.4,15.6
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,France,:,:,:,:,:,:,16.7,16.3,14.5,18.0,17.8,24.4,20.3,23.5,18.4,17.2,23.4,20.9 b,21.0,16.4 b,17.9
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Croatia,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,11.9 u,7.0 u,19.1 u,11.6 u,17.6 u,10.5 u,7.1 u,5.7 u,10.6 bu
