Time frequency,annex,indic_sb,priority,unit,nace_r1,cpa02,partner,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512,TOTAL,BE,:,55263.745 d,53448.224 d,69908.155 d,57368.319 d
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512,TOTAL,BG,:,:,252.22,340.42,385.29
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512,TOTAL,ES,:,44374.0,39058.0,46581.0,54537.0
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512,TOTAL,HU,:,:,3736.366,3313.365,3442.615
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512,TOTAL,LV,:,:,:,:,341.58 p
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512,TOTAL,SE,12058.947,10338.013 b,9256.522,13439.84,12134.918
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512A,TOTAL,BE,:,32340.679,32423.804 d,45106.879,:
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512A,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512AA,TOTAL,BE,:,32340.679,32423.804 d,45106.879,:
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512AA,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512AB,TOTAL,BE,:,0.0,0.0,0.0,:
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512AB,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512AC,TOTAL,BE,:,0.0,0.0,0.0,:
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512AC,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44110,O,MIO_EUR,J6512,CPA_J6512B,TOTAL,BE,:,22923.066 d,21024.42 d,24801.276,23999.835 d
