Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Percentage,Albania,27.9,:,:
Annual,Percentage,Austria,4.8,4.7,6.9
Annual,Percentage,Belgium,4.2,4.3,4.7
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,7.6,6.8,4.9
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,7.6,6.8,4.9
Annual,Percentage,Vlaams Gewest,2.6,2.5,2.9
Annual,Percentage,Prov. Antwerpen,3.1,2.7,3.0
Annual,Percentage,Prov. Limburg (BE),4.3,3.9,4.1
Annual,Percentage,Prov. Oost-Vlaanderen,2.1,2.4,3.1
Annual,Percentage,Prov. Vlaams-Brabant,1.3,1.2,1.9
Annual,Percentage,Prov. West-Vlaanderen,2.3,2.3,2.6
Annual,Percentage,Région wallonne,6.1,6.7,8.1
Annual,Percentage,Prov. Brabant wallon,6.4,6.7,6.3
Annual,Percentage,Prov. Hainaut,8.6,9.3,10.9
Annual,Percentage,Prov. Liège,5.3,5.9,6.9
Annual,Percentage,Prov. Luxembourg (BE),1.5,2.4,3.1
Annual,Percentage,Prov. Namur,3.5,4.3,7.7
Annual,Percentage,Bulgaria,20.4,19.9,18.8
Annual,Percentage,Severna i Yugoiztochna Bulgaria,23.7,21.7,21.7
Annual,Percentage,Severozapaden,23.1,22.5,22.8
Annual,Percentage,Severen tsentralen,29.1,24.6,25.2
Annual,Percentage,Severoiztochen,21.0,19.7,19.7
Annual,Percentage,Yugoiztochen,22.5,20.7,20.1
Annual,Percentage,Yugozapadna i Yuzhna tsentralna Bulgaria,17.2,18.1,16.1
Annual,Percentage,Yugozapaden,16.8,17.6,15.9
Annual,Percentage,Yuzhen tsentralen,17.8,18.7,16.5
Annual,Percentage,Switzerland,7.2,7.2,8.0
Annual,Percentage,Région lémanique,11.6,11.7,13.6
Annual,Percentage,Espace Mittelland,8.4,8.1,10.3
Annual,Percentage,Nordwestschweiz,5.0,7.0,4.9
Annual,Percentage,Zürich,4.0,4.8,3.9
Annual,Percentage,Ostschweiz,5.2,5.0,5.7
Annual,Percentage,Zentralschweiz,4.5,3.3,5.6
Annual,Percentage,Ticino,14.0,10.6,11.4
Annual,Percentage,Cyprus,17.3,13.6,14.3
Annual,Percentage,Czechia,2.4,2.7,2.9
Annual,Percentage,Praha,3.0,1.9,3.3
Annual,Percentage,Střední Čechy,1.7,1.6,2.4
Annual,Percentage,Jihozápad,1.4,1.2,1.8
Annual,Percentage,Severozápad,3.0,5.3,4.8
Annual,Percentage,Severovýchod,2.1,3.1,3.8
Annual,Percentage,Jihovýchod,1.7,2.6,2.2
Annual,Percentage,Střední Morava,3.8,3.4,2.2
Annual,Percentage,Moravskoslezsko,3.1,2.9,3.0
Annual,Percentage,Germany,5.6,5.9,8.3
Annual,Percentage,Baden-Württemberg,5.9,6.5,8.0
Annual,Percentage,Stuttgart,5.7,6.6,8.5
Annual,Percentage,Karlsruhe,5.4,6.5,7.3
Annual,Percentage,Freiburg,6.8,6.8,6.7
Annual,Percentage,Tübingen,5.9,5.8,9.5
Annual,Percentage,Bayern,3.8,3.3,5.5
Annual,Percentage,Oberbayern,3.8,4.0,4.9
Annual,Percentage,Niederbayern,3.8,2.9,4.9
Annual,Percentage,Oberpfalz,3.0,1.7,4.8
Annual,Percentage,Oberfranken,3.4,3.1,5.2
Annual,Percentage,Mittelfranken,4.4,4.2,9.2
Annual,Percentage,Unterfranken,3.8,2.9,4.9
Annual,Percentage,Schwaben,3.8,2.4,5.1
Annual,Percentage,Berlin,3.4,2.9,7.2
Annual,Percentage,Berlin,3.4,2.9,7.2
Annual,Percentage,Brandenburg,2.5,4.2,5.1
Annual,Percentage,Brandenburg,2.5,4.2,5.1
Annual,Percentage,Bremen,10.0,10.9,11.9
Annual,Percentage,Bremen,10.0,10.9,11.9
Annual,Percentage,Hamburg,4.9,8.0,8.3
Annual,Percentage,Hamburg,4.9,8.0,8.3
Annual,Percentage,Hessen,8.0,6.9,9.7
Annual,Percentage,Darmstadt,8.6,5.8,8.8
Annual,Percentage,Gießen,5.4,7.4,7.8
Annual,Percentage,Kassel,8.3,9.9,14.5
Annual,Percentage,Mecklenburg-Vorpommern,7.7,9.6,7.8
Annual,Percentage,Mecklenburg-Vorpommern,7.7,9.6,7.8
Annual,Percentage,Niedersachsen,5.6,7.2,9.7
Annual,Percentage,Braunschweig,5.4,6.6,8.4
Annual,Percentage,Hannover,6.4,7.5,12.0
Annual,Percentage,Lüneburg,3.5,5.9,8.9
Annual,Percentage,Weser-Ems,6.6,8.1,9.1
Annual,Percentage,Nordrhein-Westfalen,6.5,7.0,10.3
Annual,Percentage,Düsseldorf,6.8,6.9,11.1
Annual,Percentage,Köln,6.4,6.6,8.8
Annual,Percentage,Münster,5.7,7.3,9.7
Annual,Percentage,Detmold,7.5,6.8,10.8
Annual,Percentage,Arnsberg,6.5,7.4,11.4
Annual,Percentage,Rheinland-Pfalz,7.4,7.7,9.5
Annual,Percentage,Koblenz,7.6,8.2,9.4
Annual,Percentage,Trier,7.0,4.2,5.3
Annual,Percentage,Rheinhessen-Pfalz,7.3,8.3,10.7
Annual,Percentage,Saarland,5.5,2.8,11.4
Annual,Percentage,Saarland,5.5,2.8,11.4
Annual,Percentage,Sachsen,5.1,3.6,5.0
Annual,Percentage,Dresden,3.1,2.9,3.8
Annual,Percentage,Chemnitz,4.8,4.1,5.7
Annual,Percentage,Leipzig,8.8,4.1,5.9
Annual,Percentage,Sachsen-Anhalt,2.6,2.6,4.9
Annual,Percentage,Sachsen-Anhalt,2.6,2.6,4.9
Annual,Percentage,Schleswig-Holstein,3.2,5.2,8.5
Annual,Percentage,Schleswig-Holstein,3.2,5.2,8.5
Annual,Percentage,Thüringen,8.8,9.5,10.9
Annual,Percentage,Thüringen,8.8,9.5,10.9
Annual,Percentage,Denmark,6.3,6.7,7.8
Annual,Percentage,Hovedstaden,6.4,7.3,8.4
Annual,Percentage,Sjælland,8.2,6.0,9.3
Annual,Percentage,Syddanmark,6.5,6.9,7.0
Annual,Percentage,Midtjylland,4.9,6.1,6.8
Annual,Percentage,Nordjylland,6.1,6.4,8.4
Annual,Percentage,Estonia,5.7,6.2,5.8
Annual,Percentage,Greece,36.4,45.5,47.3
Annual,Percentage,Attiki,35.8,46.4,45.3
Annual,Percentage,Attiki,35.8,46.4,45.3
Annual,Percentage,"Nisia Aigaiou, Kriti",34.6,41.2,45.6
Annual,Percentage,Voreio Aigaio,33.2,41.4,51.5
Annual,Percentage,Notio Aigaio,31.5,42.5,37.7
Annual,Percentage,Kriti,36.8,40.4,47.8
Annual,Percentage,Voreia Elláda,35.8,45.4,48.3
Annual,Percentage,"Anatoliki Makedonia, Thraki",46.6,57.6,61.8
Annual,Percentage,Kentriki Makedonia,33.6,44.3,45.7
Annual,Percentage,Dytiki Makedonia,29.7,41.2,49.8
Annual,Percentage,Ipeiros,33.9,32.9,37.2
Annual,Percentage,Kentriki Elláda,38.9,46.2,49.9
Annual,Percentage,Thessalia,32.5,39.5,45.8
Annual,Percentage,Ionia Nisia,39.4,59.4,63.3
Annual,Percentage,Dytiki Elláda,45.9,47.2,53.3
Annual,Percentage,Sterea Elláda,33.4,35.0,39.4
Annual,Percentage,Peloponnisos,43.8,58.3,54.6
Annual,Percentage,Spain,14.4,13.2,13.6
Annual,Percentage,Noroeste,9.3,8.3,8.9
Annual,Percentage,Galicia,9.0,9.1,9.1
Annual,Percentage,Principado de Asturias,10.0,7.6,9.1
Annual,Percentage,Cantabria,9.0,5.3,7.1
Annual,Percentage,Noreste,10.0,8.3,11.1
Annual,Percentage,País Vasco,8.7,7.3,10.4
Annual,Percentage,Comunidad Foral de Navarra,10.5,10.8,12.0
Annual,Percentage,La Rioja,8.0,7.9,10.4
Annual,Percentage,Aragón,12.5,8.8,12.0
Annual,Percentage,Comunidad de Madrid,13.1,11.8,13.9
Annual,Percentage,Comunidad de Madrid,13.1,11.8,13.9
Annual,Percentage,Centro (ES),11.9,12.4,11.7
Annual,Percentage,Castilla y León,9.9,10.5,9.6
Annual,Percentage,Castilla-La Mancha,14.1,14.5,13.1
Annual,Percentage,Extremadura,11.9,12.4,13.5
Annual,Percentage,Este,14.4,14.4,13.6
Annual,Percentage,Cataluña,14.1,14.8,14.0
Annual,Percentage,Comunitat Valenciana,13.4,12.2,12.5
Annual,Percentage,Illes Balears,20.3,20.5,15.8
Annual,Percentage,Sur,17.8,15.8,16.0
Annual,Percentage,Andalucía,17.0,16.2,15.7
Annual,Percentage,Región de Murcia,21.3,12.4,16.8
Annual,Percentage,Ciudad de Ceuta,29.5,24.1,31.3
Annual,Percentage,Ciudad de Melilla,26.6,23.3,22.1
Annual,Percentage,Canarias,26.5,20.1,20.7
Annual,Percentage,Canarias,26.5,20.1,20.7
Annual,Percentage,Finland,8.2,7.7,9.5
Annual,Percentage,Manner-Suomi,8.3,7.7,9.6
Annual,Percentage,"Länsi-Suomi, Åland",9.3,8.2,9.8
Annual,Percentage,Helsinki-Uusimaa,8.0,7.4,9.4
Annual,Percentage,Etelä-Suomi,8.6,9.2,10.7
Annual,Percentage,Pohjois- ja Itä-Suomi,7.1,6.4,8.3
Annual,Percentage,France,10.1,10.2 b,10.0
Annual,Percentage,Ile de France,:,12.4,9.9
Annual,Percentage,Ile de France,:,12.4,9.9
Annual,Percentage,Centre — Val de Loire,:,11.4,8.6
Annual,Percentage,Centre — Val de Loire,:,11.4,8.6
Annual,Percentage,Bourgogne-Franche-Comté,:,11.1,8.9
Annual,Percentage,Bourgogne,:,11.0,8.9
Annual,Percentage,Franche-Comté,:,11.2,8.8
Annual,Percentage,Normandie,:,11.7,9.2
Annual,Percentage,Basse-Normandie,:,10.8,8.5
Annual,Percentage,Haute-Normandie,:,12.3,9.8
Annual,Percentage,Hauts-de-France,:,13.6,12.3
Annual,Percentage,Nord-Pas de Calais,:,14.0,12.8
Annual,Percentage,Picardie,:,12.8,11.2
Annual,Percentage,Grand Est,:,11.7,10.3
Annual,Percentage,Alsace,:,11.4,9.4
Annual,Percentage,Champagne-Ardenne,:,12.8,10.4
Annual,Percentage,Lorraine,:,11.6,11.1
Annual,Percentage,Pays de la Loire,:,10.3,9.0
Annual,Percentage,Pays de la Loire,:,10.3,9.0
Annual,Percentage,Bretagne,:,9.7,8.0
Annual,Percentage,Bretagne,:,9.7,8.0
Annual,Percentage,Nouvelle-Aquitaine,:,10.4,8.9
Annual,Percentage,Aquitaine,:,10.2,8.9
Annual,Percentage,Limousin,:,11.0,9.9
Annual,Percentage,Poitou-Charentes,:,10.6,8.6
Annual,Percentage,Occitanie,:,11.4,10.1
Annual,Percentage,Languedoc-Roussillon,:,12.5,10.9
Annual,Percentage,Midi-Pyrénées,:,10.5,9.5
Annual,Percentage,Auvergne-Rhône-Alpes,:,10.7,9.0
Annual,Percentage,Auvergne,:,10.5,8.3
Annual,Percentage,Rhône-Alpes,:,10.7,9.1
Annual,Percentage,Provence-Alpes-Côte d’Azur,:,11.7,10.1
Annual,Percentage,Provence-Alpes-Côte d’Azur,:,11.7,10.1
Annual,Percentage,Corse,:,11.7,10.3
Annual,Percentage,Corse,:,11.7,10.3
Annual,Percentage,RUP FR — Régions Ultrapériphériques Françaises,:,17.0,19.2
Annual,Percentage,Guadeloupe,:,15.1,16.2
Annual,Percentage,Martinique,:,14.8,13.7
Annual,Percentage,Guyane,:,27.0,32.2
Annual,Percentage,La Réunion,:,19.4,18.7
Annual,Percentage,Croatia,16.6,15.7,12.7
Annual,Percentage,Panonska Hrvatska,17.5,15.1,12.2
Annual,Percentage,Jadranska Hrvatska,17.8,17.4,13.5
Annual,Percentage,Grad Zagreb,7.4,10.3,8.1
Annual,Percentage,Sjeverna Hrvatska,22.6,18.9,16.5
Annual,Percentage,Hungary,11.3,10.4,10.8
Annual,Percentage,Közép-Magyarország,10.0,7.0,6.2
Annual,Percentage,Budapest,7.3,4.8,5.3
Annual,Percentage,Pest,13.5,9.7,7.4
Annual,Percentage,Dunántúl,7.7,7.5,10.8
Annual,Percentage,Közép-Dunántúl,6.2,5.4,9.5
Annual,Percentage,Nyugat-Dunántúl,3.4,5.5,7.1
Annual,Percentage,Dél-Dunántúl,14.3,12.5,16.7
Annual,Percentage,Alföld és Észak,15.3,15.5,14.3
Annual,Percentage,Észak-Magyarország,25.1,23.4,22.3
Annual,Percentage,Észak-Alföld,13.8,13.2,13.4
Annual,Percentage,Dél-Alföld,8.4,11.2,8.2
Annual,Percentage,Ireland,13.7,12.9,10.7
Annual,Percentage,Northern and Western,12.1,16.2,7.7
Annual,Percentage,Southern,12.2,12.8,8.9
Annual,Percentage,Eastern and Midland,15.1,11.7,12.9
Annual,Percentage,Italy,7.7,6.2,5.0
Annual,Percentage,Nord-Ovest,6.8,3.8,4.3
Annual,Percentage,Piemonte,7.6,6.3,5.3
Annual,Percentage,Valle d’Aosta/Vallée d’Aoste,2.4,3.2,0.4
Annual,Percentage,Liguria,9.2,4.4,7.0
Annual,Percentage,Lombardia,6.2,2.6,3.5
Annual,Percentage,Sud,12.1,8.8,7.4
Annual,Percentage,Abruzzo,10.2,5.9,3.7
Annual,Percentage,Molise,8.2,6.4,3.1
Annual,Percentage,Campania,14.5,8.5,7.4
Annual,Percentage,Puglia,11.3,8.8,7.8
Annual,Percentage,Basilicata,9.8,8.9,4.0
Annual,Percentage,Calabria,9.0,12.0,10.9
Annual,Percentage,Isole,11.6,11.7,7.8
Annual,Percentage,Sicilia,12.1,12.6,7.0
Annual,Percentage,Sardegna,9.9,8.9,10.5
Annual,Percentage,Nord-Est,3.0,3.4,2.6
Annual,Percentage,Provincia Autonoma di Bolzano/Bozen,0.7,0.5,1.4
Annual,Percentage,Provincia Autonoma di Trento,4.1,2.7,2.0
Annual,Percentage,Veneto,4.3,3.5,3.0
Annual,Percentage,Friuli-Venezia Giulia,2.5,1.6,1.4
Annual,Percentage,Emilia-Romagna,1.9,4.2,2.6
Annual,Percentage,Centro (IT),6.1,5.9,4.1
Annual,Percentage,Toscana,4.7,3.7,2.9
Annual,Percentage,Umbria,7.6,4.5,2.3
Annual,Percentage,Marche,8.7,5.4,1.7
Annual,Percentage,Lazio,6.2,7.7,5.8
Annual,Percentage,Lithuania,6.6,6.0,7.1
Annual,Percentage,Sostinės regionas,4.1,4.0,5.6
Annual,Percentage,Vidurio ir vakarų Lietuvos regionas,7.5,6.8,7.8
Annual,Percentage,Luxembourg,6.6,7.2 b,8.7
Annual,Percentage,Latvia,7.2,7.1,8.0
Annual,Percentage,Montenegro,31.8,30.6,:
Annual,Percentage,Malta,7.8,6.1,5.7
Annual,Percentage,Netherlands,2.6,2.9,2.6
Annual,Percentage,Noord-Nederland,3.3,2.8,1.5
Annual,Percentage,Oost-Nederland,1.7,1.1,0.8
Annual,Percentage,West-Nederland,3.0,3.9,3.9
Annual,Percentage,Zuid-Nederland,2.3,2.8,1.8
Annual,Percentage,Norway,6.7,6.7,8.0
Annual,Percentage,Innlandet,5.9,5.4,8.4
Annual,Percentage,Trøndelag,6.8,6.7,6.8
Annual,Percentage,Nord-Norge,4.4,4.8,7.7
Annual,Percentage,Oslo og Viken,7.3,6.7,8.3
Annual,Percentage,Agder og Sør-Østlandet,4.7,6.9,8.6
Annual,Percentage,Vestlandet,7.9,7.6,7.6
Annual,Percentage,Poland,7.1,6.2,5.4
Annual,Percentage,Makroregion południowy,6.0,5.5,5.2
Annual,Percentage,Małopolskie,3.5,2.9,2.7
Annual,Percentage,Śląskie,7.9,7.4,7.2
Annual,Percentage,Makroregion północno-zachodni,6.9,6.2,4.7
Annual,Percentage,Wielkopolskie,6.5,5.0,4.3
Annual,Percentage,Zachodniopomorskie,8.3,7.1,4.9
Annual,Percentage,Lubuskie,5.8,9.0,5.6
Annual,Percentage,Makroregion południowo-zachodni,7.3,6.9,6.8
Annual,Percentage,Dolnośląskie,6.5,7.5,6.9
Annual,Percentage,Opolskie,9.5,5.1,6.6
Annual,Percentage,Makroregion północny,8.8,7.1,7.9
Annual,Percentage,Kujawsko-pomorskie,7.3,5.2,7.0
Annual,Percentage,Warmińsko-mazurskie,8.2,6.9,4.3
Annual,Percentage,Pomorskie,10.5,8.8,10.8
Annual,Percentage,Makroregion centralny,5.8,7.1,5.4
Annual,Percentage,Łódzkie,6.4,8.3,6.8
Annual,Percentage,Świętokrzyskie,4.5,4.6,2.7
Annual,Percentage,Makroregion wschodni,5.7,5.4,2.9
Annual,Percentage,Lubelskie,8.1,7.4,3.4
Annual,Percentage,Podkarpackie,3.8,4.4,2.2
Annual,Percentage,Podlaskie,4.7,3.7,3.4
Annual,Percentage,Makroregion województwo mazowieckie,9.4,6.0,5.0
Annual,Percentage,Warszawski stołeczny,11.0,5.1,5.6
Annual,Percentage,Mazowiecki regionalny,7.2,7.3,4.1
Annual,Percentage,Portugal,6.8,6.1,5.2
Annual,Percentage,Norte,5.2,5.9,4.5
Annual,Percentage,Algarve,8.5,7.3,8.0
Annual,Percentage,Centro (PT) (NUTS 2021),5.8,4.6,4.9
Annual,Percentage,Área Metropolitana de Lisboa (NUTS 2021),9.0,7.6,5.8
Annual,Percentage,Alentejo (NUTS 2021),6.9,4.9,4.1
Annual,Percentage,Região Autónoma dos Açores,8.0,5.1,5.7
Annual,Percentage,Região Autónoma da Madeira,11.4,8.8,7.2
Annual,Percentage,Romania,9.4,18.4,14.4
Annual,Percentage,Macroregiunea Unu,10.4,12.9,12.1
Annual,Percentage,Nord-Vest,8.5,13.0,9.5
Annual,Percentage,Centru,12.5,12.9,15.1
Annual,Percentage,Macroregiunea Doi,10.3,25.1,20.6
Annual,Percentage,Nord-Est,8.9,22.8,16.4
Annual,Percentage,Sud-Est,12.2,28.3,26.3
Annual,Percentage,Macroregiunea Trei,10.0,17.9,11.4
Annual,Percentage,Sud-Muntenia,10.9,15.5,10.3
Annual,Percentage,Bucureşti-Ilfov,8.9,20.7,12.9
Annual,Percentage,Macroregiunea Patru,5.7,16.4,12.1
Annual,Percentage,Sud-Vest Oltenia,8.4,20.3,16.3
Annual,Percentage,Vest,2.7,12.3,7.5
Annual,Percentage,Serbia,22.7,23.4,:
Annual,Percentage,Sweden,5.2,6.3,6.7
Annual,Percentage,Östra Sverige,6.0,6.3,7.4
Annual,Percentage,Stockholm,5.2,6.2,6.2
Annual,Percentage,Östra Mellansverige,7.2,6.5,8.9
Annual,Percentage,Södra Sverige,4.7,6.7,6.7
Annual,Percentage,Småland med öarna,3.9,6.8,5.2
Annual,Percentage,Sydsverige,5.2,8.2,9.0
Annual,Percentage,Västsverige,4.6,5.5,5.6
Annual,Percentage,Norra Sverige,4.8,5.1,5.5
Annual,Percentage,Norra Mellansverige,5.9,5.7,6.7
Annual,Percentage,Mellersta Norrland,6.2,5.4,4.6
Annual,Percentage,Övre Norrland,1.9,3.9,4.1
Annual,Percentage,Slovenia,9.0,7.4,7.3
Annual,Percentage,Vzhodna Slovenija,10.7,8.6,8.7
Annual,Percentage,Zahodna Slovenija,7.4,6.3,5.7
Annual,Percentage,Slovakia,6.3,8.3,8.8
Annual,Percentage,Bratislavský kraj,3.1,4.1,2.9
Annual,Percentage,Západné Slovensko,4.0,4.6,5.3
Annual,Percentage,Stredné Slovensko,6.4,10.7,8.8
Annual,Percentage,Východné Slovensko,10.0,12.4,15.5
Annual,Percentage,Türkiye,33.4,25.0,26.3
