Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
Annual,"Unemployment rate by education level, male, Illiterate (%)",Algeria,:,13.0 d,:,10.5 d,7.4 d,3.7 d,3.8 d,5.0 d,3.1 d,2.5 d,1.7 d,2.4 d,2.7 d,2.2 d,2.6 d,3.9 d
Annual,"Unemployment rate by education level, male, Illiterate (%)",Egypt,0.4,0.3,0.2,0.3,0.2,0.8,0.9,0.6,0.6,0.5,0.9,3.7,2.3,5.8,4.2,:
Annual,"Unemployment rate by education level, male, Illiterate (%)",Israel,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1 b,0.0,0.0,0.0
Annual,"Unemployment rate by education level, male, Illiterate (%)",Jordan,10.4,11.8,11.5,10.8,9.5,9.4,9.8,7.4,7.6,10.9,8.6,8.2,10.4,8.5,6.6,8.3
Annual,"Unemployment rate by education level, male, Illiterate (%)",Lebanon,:,:,:,:,5.0,:,:,5.6,:,4.7,:,:,:,:,:,:
Annual,"Unemployment rate by education level, male, Illiterate (%)",Morocco,4.2,3.5,2.6,2.9,2.4,2.6,3.0,3.0,2.7,2.5,2.6,2.2,2.2,2.8,3.2,2.5
Annual,"Unemployment rate by education level, male, Illiterate (%)",Palestine*,28.7,28.5,36.7,28.3,34.5,23.5,22.2,25.9,30.3,35.3,31.9,27.5,22.0,30.9,36.8,26.0
Annual,"Unemployment rate by education level, male, Illiterate (%)",Tunisia,10.4,10.3,13.3,11.0,11.8,8.8,8.2,6.3,5.8,5.1,5.5,5.3,5.3,5.3,:,:
Annual,"Unemployment rate by education level, male, ISCED 0-1 (%)",Algeria,:,27.0 d,:,23.2 d,16.5 d,12.9 d,11.0 d,11.7 d,8.1 d,7.1 d,7.5 d,6.3 d,7.9 d,6.4 d,6.9 d,7.9 d
Annual,"Unemployment rate by education level, male, ISCED 0-1 (%)",Egypt,0.5 d,0.6 d,0.3 d,0.6 d,0.6 d,: d,: d,: d,: d,: d,: d,: d,: d,: d,: d,:
Annual,"Unemployment rate by education level, male, ISCED 0-1 (%)",Israel,15.6,13.4,16.1,16.3,15.4,15.1,14.5,15.0,11.2,12.0,12.0,9.4,13.9 b,11.5,9.0,8.3
Annual,"Unemployment rate by education level, male, ISCED 0-1 (%)",Lebanon,:,:,:,:,7.1,:,:,7.7,:,4.0,:,:,:,:,:,:
Annual,"Unemployment rate by education level, male, ISCED 0-1 (%)",Morocco,12.6,11.2,9.9,9.9,9.2,9.1,8.0,7.8,7.5,7.0,6.5,6.0,6.2,6.9,7.1,5.8
Annual,"Unemployment rate by education level, male, ISCED 0-1 (%)",Palestine*,32.7,32.3,40.3,31.6,33.1,31.7,27.4,25.7,31.7,28.3,27.3,22.1,23.5,23.2,27.4,25.3
Annual,"Unemployment rate by education level, male, ISCED 0-1 (%)",Tunisia,16.3,16.7,16.1,15.1,14.4,14.9,14.6,12.4,11.5,9.3,8.5,11.0,11.4,9.8,:,:
Annual,"Unemployment rate by education level, male, ISCED 2 (%)",Algeria,:,35.5 d,:,30.8 d,23.3 d,20.0 d,15.9 d,16.9 d,13.4 d,10.5 d,10.5 d,11.9 d,12.7 d,10.4 d,11.6 d,12.9 d
Annual,"Unemployment rate by education level, male, ISCED 2 (%)",Egypt,: d,: d,: d,: d,: d,1.6 d,1.8 d,1.4 d,1.7 d,1.4 d,1.5 d,6.9 d,7.0 d,7.5 d,10.1 bd,:
Annual,"Unemployment rate by education level, male, ISCED 2 (%)",Israel,13.0,14.2,14.4,15.8,14.0,14.1,12.4,11.2,9.8,11.3,11.3,8.9,13.5 b,11.4,11.8,10.6
Annual,"Unemployment rate by education level, male, ISCED 2 (%)",Lebanon,:,:,:,:,8.1,:,:,8.2,:,4.4,:,:,:,:,:,:
Annual,"Unemployment rate by education level, male, ISCED 2 (%)",Morocco,26.4,24.2,22.2,21.8,20.1,20.3,18.2,17.1,16.6,16.2,15.3,14.2,14.7,14.7,15.0,14.4
Annual,"Unemployment rate by education level, male, ISCED 2 (%)",Palestine*,30.5,30.2,37.4,30.8,32.0,27.5,27.0,25.4,29.4,27.4,25.5,21.0,22.2,23.2,25.9,24.6
