Time frequency,Occurence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Adulthood,Percentage,Austria,20.0
Annual,Adulthood,Percentage,Belgium,19.7
Annual,Adulthood,Percentage,Bulgaria,9.5
Annual,Adulthood,Percentage,Cyprus,30.3
Annual,Adulthood,Percentage,Czechia,14.5
Annual,Adulthood,Percentage,Germany,18.3
Annual,Adulthood,Percentage,Denmark,27.6
Annual,Adulthood,Percentage,Estonia,26.3
Annual,Adulthood,Percentage,Greece,24.7
Annual,Adulthood,Percentage,Spain,15.9
Annual,Adulthood,Percentage,European Union (aggregate changing according to the context),19.3 e
Annual,Adulthood,Percentage,Finland,36.3
Annual,Adulthood,Percentage,France,19.4
Annual,Adulthood,Percentage,Croatia,15.3
Annual,Adulthood,Percentage,Hungary,43.8
Annual,Adulthood,Percentage,Ireland,24.1
Annual,Adulthood,Percentage,Italy,14.1 d
Annual,Adulthood,Percentage,Lithuania,17.1
Annual,Adulthood,Percentage,Luxembourg,30.0
Annual,Adulthood,Percentage,Latvia,16.9
Annual,Adulthood,Percentage,Montenegro,7.5
Annual,Adulthood,Percentage,Malta,16.2
Annual,Adulthood,Percentage,Netherlands,19.9
Annual,Adulthood,Percentage,Poland,11.5
Annual,Adulthood,Percentage,Portugal,11.5
Annual,Adulthood,Percentage,Romania,39.2
Annual,Adulthood,Percentage,Serbia,11.7
Annual,Adulthood,Percentage,Sweden,32.0
Annual,Adulthood,Percentage,Slovenia,14.9
Annual,Adulthood,Percentage,Slovakia,32.7
Annual,Adulthood,Percentage,Kosovo*,6.4
Annual,Last 12 months,Percentage,Austria,1.1
Annual,Last 12 months,Percentage,Belgium,2.1
Annual,Last 12 months,Percentage,Bulgaria,2.6
Annual,Last 12 months,Percentage,Cyprus,4.3 u
Annual,Last 12 months,Percentage,Czechia,1.4 u
Annual,Last 12 months,Percentage,Germany,1.9
Annual,Last 12 months,Percentage,Denmark,2.0
Annual,Last 12 months,Percentage,Estonia,2.1
Annual,Last 12 months,Percentage,Greece,2.5
Annual,Last 12 months,Percentage,Spain,1.4
Annual,Last 12 months,Percentage,European Union (aggregate changing according to the context),2.1 e
Annual,Last 12 months,Percentage,Finland,2.7
Annual,Last 12 months,Percentage,France,1.4
Annual,Last 12 months,Percentage,Croatia,2.2
Annual,Last 12 months,Percentage,Hungary,4.6
Annual,Last 12 months,Percentage,Ireland,: u
Annual,Last 12 months,Percentage,Italy,1.97 d
Annual,Last 12 months,Percentage,Lithuania,1.0 u
Annual,Last 12 months,Percentage,Luxembourg,3.3
Annual,Last 12 months,Percentage,Latvia,1.6
Annual,Last 12 months,Percentage,Montenegro,: u
Annual,Last 12 months,Percentage,Malta,1.0 u
Annual,Last 12 months,Percentage,Netherlands,1.3 u
Annual,Last 12 months,Percentage,Poland,1.0
Annual,Last 12 months,Percentage,Portugal,0.7 u
Annual,Last 12 months,Percentage,Romania,9.1
Annual,Last 12 months,Percentage,Serbia,0.9 u
Annual,Last 12 months,Percentage,Sweden,2.3
Annual,Last 12 months,Percentage,Slovenia,: u
Annual,Last 12 months,Percentage,Slovakia,2.1
Annual,Last 12 months,Percentage,Kosovo*,: u
Annual,Last 5 years,Percentage,Austria,4.4
Annual,Last 5 years,Percentage,Belgium,5.8
Annual,Last 5 years,Percentage,Bulgaria,4.8
Annual,Last 5 years,Percentage,Cyprus,12.5
Annual,Last 5 years,Percentage,Czechia,5.7
Annual,Last 5 years,Percentage,Germany,5.3
Annual,Last 5 years,Percentage,Denmark,7.4
Annual,Last 5 years,Percentage,Estonia,7.1
Annual,Last 5 years,Percentage,Greece,7.4
Annual,Last 5 years,Percentage,Spain,4.7
Annual,Last 5 years,Percentage,European Union (aggregate changing according to the context),5.9 e
Annual,Last 5 years,Percentage,Finland,9.7
Annual,Last 5 years,Percentage,France,4.9
Annual,Last 5 years,Percentage,Croatia,4.6
Annual,Last 5 years,Percentage,Hungary,13.6
Annual,Last 5 years,Percentage,Ireland,7.1
Annual,Last 5 years,Percentage,Italy,4.9 d
Annual,Last 5 years,Percentage,Lithuania,4.1
Annual,Last 5 years,Percentage,Luxembourg,9.1
Annual,Last 5 years,Percentage,Latvia,4.5
Annual,Last 5 years,Percentage,Montenegro,5.0
Annual,Last 5 years,Percentage,Malta,5.0
Annual,Last 5 years,Percentage,Netherlands,5.8
Annual,Last 5 years,Percentage,Poland,3.5
Annual,Last 5 years,Percentage,Portugal,2.8
Annual,Last 5 years,Percentage,Romania,18.4
Annual,Last 5 years,Percentage,Serbia,3.1
Annual,Last 5 years,Percentage,Sweden,9.1
Annual,Last 5 years,Percentage,Slovenia,4.0
Annual,Last 5 years,Percentage,Slovakia,3.9
Annual,Last 5 years,Percentage,Kosovo*,1.3 u
