Time frequency,Unit of measure,Sex,Classification of activities for time use,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Females,Productive unpaid main activities,Austria,:,96.3
Annual,Participation rate (%),Females,Productive unpaid main activities,Belgium,96.4,95.4
Annual,Participation rate (%),Females,Productive unpaid main activities,Bulgaria,96.7,:
Annual,Participation rate (%),Females,Productive unpaid main activities,Germany,97.0,96.3
Annual,Participation rate (%),Females,Productive unpaid main activities,Estonia,97.9,95.6
Annual,Participation rate (%),Females,Productive unpaid main activities,Greece,:,94.8
Annual,Participation rate (%),Females,Productive unpaid main activities,Spain,95.7,94.9
Annual,Participation rate (%),Females,Productive unpaid main activities,Finland,98.4,97.2
Annual,Participation rate (%),Females,Productive unpaid main activities,France,97.1,94.7
Annual,Participation rate (%),Females,Productive unpaid main activities,Hungary,:,97.4
Annual,Participation rate (%),Females,Productive unpaid main activities,Italy,95.8,95.5
Annual,Participation rate (%),Females,Productive unpaid main activities,Lithuania,97.9,:
Annual,Participation rate (%),Females,Productive unpaid main activities,Luxembourg,:,94.6
Annual,Participation rate (%),Females,Productive unpaid main activities,Latvia,95.7,:
Annual,Participation rate (%),Females,Productive unpaid main activities,Netherlands,:,96.1
Annual,Participation rate (%),Females,Productive unpaid main activities,Norway,98.4,98.3
Annual,Participation rate (%),Females,Productive unpaid main activities,Poland,98.5,97.9
Annual,Participation rate (%),Females,Productive unpaid main activities,Romania,:,96.3
Annual,Participation rate (%),Females,Productive unpaid main activities,Serbia,:,96.6
Annual,Participation rate (%),Females,Productive unpaid main activities,Slovenia,97.2,:
Annual,Participation rate (%),Females,Productive unpaid main activities,Türkiye,:,95.0
Annual,Participation rate (%),Females,Productive unpaid main activities,United Kingdom,97.2,96.5
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Austria,:,47.5
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Belgium,30.8,32.3
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Bulgaria,23.1,:
