Time frequency,Education indicator,Geopolitical entity (reporting)\Time,2000.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Austria,55.4
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Belgium,55.5
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Denmark,69.5
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Greece,38.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Spain,47.8
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Finland,73.2
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,France,66.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Hungary,37.4
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Italy,46.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Lithuania,21.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Netherlands,64.9
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Portugal,49.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Romania,10.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Sweden,65.5
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Slovenia,31.5
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,Slovakia,41.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED1-2 when leaving education for the first time,United Kingdom,77.9
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Austria,58.7
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Belgium,64.4
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Denmark,73.4
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Greece,74.1
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Spain,65.7
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Finland,64.3
