Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Industry (except construction),Percentage,Austria,60.8 b,59.9 b,60.2
Annual,Industry (except construction),Percentage,Belgium,14.5 b,17.6 b,20.7
Annual,Industry (except construction),Percentage,Bulgaria,8.4 b,6.8 b,4.3
Annual,Industry (except construction),Percentage,Cyprus,7.5 b,9.1 b,12.3
Annual,Industry (except construction),Percentage,Czechia,5.6 b,30.2 b,32.5
Annual,Industry (except construction),Percentage,Germany,65.8 b,69.5 b,62.3
Annual,Industry (except construction),Percentage,Denmark,55.8 b,46.3 b,52.3
Annual,Industry (except construction),Percentage,Estonia,21.0 b,26.8 b,13.1
Annual,Industry (except construction),Percentage,Greece,6.9 b,9.0 b,8.7
Annual,Industry (except construction),Percentage,Spain,6.5 b,15.2 b,14.3
Annual,Industry (except construction),Percentage,European Union - 27 countries (from 2020),26.3 b,33.3 b,39.1
Annual,Industry (except construction),Percentage,European Union - 28 countries (2013-2020),25.9 b,34.0 b,:
Annual,Industry (except construction),Percentage,Finland,22.1 b,20.3 b,18.8
Annual,Industry (except construction),Percentage,France,21.4 b,40.8 b,60.9
Annual,Industry (except construction),Percentage,Croatia,17.6 b,16.2 b,13.5
Annual,Industry (except construction),Percentage,Hungary,9.6 b,13.4 b,12.8
Annual,Industry (except construction),Percentage,Ireland,:,23.1 b,17.9
Annual,Industry (except construction),Percentage,Italy,30.5 b,32.1 b,44.2
Annual,Industry (except construction),Percentage,Lithuania,0.7 b,2.8 b,4.8
Annual,Industry (except construction),Percentage,Luxembourg,21.6 b,27.4 b,22.8
Annual,Industry (except construction),Percentage,Latvia,5.2 b,9.0 b,13.7
Annual,Industry (except construction),Percentage,North Macedonia,:,12.3 b,9.6
Annual,Industry (except construction),Percentage,Malta,17.1 b,18.3 b,21.6
Annual,Industry (except construction),Percentage,Netherlands,41.9 b,63.3 b,62.3
Annual,Industry (except construction),Percentage,Norway,38.2 b,43.6 b,50.4
Annual,Industry (except construction),Percentage,Poland,5.5 b,8.5 b,3.1
Annual,Industry (except construction),Percentage,Portugal,11.2 b,16.0 b,20.2
Annual,Industry (except construction),Percentage,Romania,3.1 b,4.4 b,4.7
