Time frequency,Unit of measure,Body Mass Index,Geopolitical entity (reporting)\Time,2008.0,2014.0,2017.0,2019.0,2022.0
Annual,Percentage,Pre-obese,Albania,:,:,:,:,44.8
Annual,Percentage,Pre-obese,Austria,36.5,33.3,35.0,35.0,35.0
Annual,Percentage,Pre-obese,Belgium,33.5,35.3,33.9,33.9,33.2
Annual,Percentage,Pre-obese,Bulgaria,39.3,39.2,45.3,41.2,42.0
Annual,Percentage,Pre-obese,Switzerland,:,:,31.9,:,32.1 u
Annual,Percentage,Pre-obese,Cyprus,35.7,33.8,38.0,34.6,34.5
Annual,Percentage,Pre-obese,Czechia,38.3,37.6,41.9 u,40.1,38.7
Annual,Percentage,Pre-obese,Germany,36.3,35.2,35.3,34.5,: u
Annual,Percentage,Pre-obese,Denmark,:,32.9,36.5,34.0,35.2
Annual,Percentage,Pre-obese,Euro area – 20 countries (from 2023),:,:,35.3,:,35.0 e
Annual,Percentage,Pre-obese,Estonia,32.5,33.5,35.1 u,34.9,35.2
Annual,Percentage,Pre-obese,Greece,38.7,39.4,43.2,41.0,42.9
Annual,Percentage,Pre-obese,Spain,37.3,35.7,37.6,37.8,36.2
Annual,Percentage,Pre-obese,European Union - 27 countries (2007-2013),:,:,36.8 e,:,:
Annual,Percentage,Pre-obese,European Union - 27 countries (from 2020),:,35.7,36.9,36.2,36.5 e
Annual,Percentage,Pre-obese,European Union - 28 countries (2013-2020),:,35.7,36.8 e,:,:
Annual,Percentage,Pre-obese,Finland,:,36.4,40.3,38.1,37.8
Annual,Percentage,Pre-obese,France,31.4,31.9,30.7,32.1,31.2
Annual,Percentage,Pre-obese,Croatia,:,38.7,42.6,41.7,41.3
Annual,Percentage,Pre-obese,Hungary,34.9,34.0,36.3,35.4,36.2
Annual,Percentage,Pre-obese,Ireland,:,37.0,41.9 u,: u,33.3 u
Annual,Percentage,Pre-obese,Iceland,:,38.6,37.8,39.7,:
Annual,Percentage,Pre-obese,Italy,:,34.1,34.4,33.9,34.8
Annual,Percentage,Pre-obese,Lithuania,:,38.3,38.7,37.9,38.7 u
Annual,Percentage,Pre-obese,Luxembourg,:,32.4,33.3,31.9,32.7
Annual,Percentage,Pre-obese,Latvia,38.0,35.2,35.5,35.3,37.1
Annual,Percentage,Pre-obese,Montenegro,:,:,42.2,:,40.2
Annual,Percentage,Pre-obese,North Macedonia,:,:,45.2,:,:
Annual,Percentage,Pre-obese,Malta,36.8 u,35.0,36.5,36.1,36.3
Annual,Percentage,Pre-obese,Netherlands,:,36.0,34.0,35.4,34.5
Annual,Percentage,Pre-obese,Norway,:,36.2,35.4,36.5,36.7
Annual,Percentage,Pre-obese,Poland,37.6,37.5,39.2,39.1,39.8 u
Annual,Percentage,Pre-obese,Portugal,:,36.9,37.6,38.2,37.2
Annual,Percentage,Pre-obese,Romania,42.4,46.4,52.5,47.7,49.4
Annual,Percentage,Pre-obese,Serbia,:,:,36.2,36.3,40.9
Annual,Percentage,Pre-obese,Sweden,:,35.9,40.1,36.0,36.0
Annual,Percentage,Pre-obese,Slovenia,39.8,37.4,37.2,38.2,37.8
Annual,Percentage,Pre-obese,Slovakia,35.6,38.0,40.0,38.9,41.3
Annual,Percentage,Pre-obese,Türkiye,34.4,35.3,:,36.5,38.4
Annual,Percentage,Pre-obese,United Kingdom,:,35.6,35.2 u,:,:
Annual,Percentage,Overweight,Albania,:,:,:,:,57.4
Annual,Percentage,Overweight,Austria,49.3,48.0,50.0,52.2,52.7
Annual,Percentage,Overweight,Belgium,47.5,49.3,48.6,50.2,48.9
Annual,Percentage,Overweight,Bulgaria,50.8,54.0,59.5,54.9,53.7
Annual,Percentage,Overweight,Switzerland,:,:,43.2,:,45.6 u
Annual,Percentage,Overweight,Cyprus,51.3,48.3,52.7,49.8,47.9
Annual,Percentage,Overweight,Czechia,56.6,56.8,62.3 u,60.0,56.5
Annual,Percentage,Overweight,Germany,52.1,52.1,55.2,53.5,: u
Annual,Percentage,Overweight,Denmark,:,47.7,54.5,50.4,54.6
Annual,Percentage,Overweight,Euro area – 20 countries (from 2023),:,:,49.9,:,49.4 e
Annual,Percentage,Overweight,Estonia,51.0,53.9,56.1 u,56.7,57.4
Annual,Percentage,Overweight,Greece,56.3,56.7,54.8,57.6,54.9
Annual,Percentage,Overweight,Spain,53.0,52.4,51.6,53.7,51.2
Annual,Percentage,Overweight,European Union - 27 countries (2007-2013),:,:,51.9 e,:,:
Annual,Percentage,Overweight,European Union - 27 countries (from 2020),:,51.1,51.8,52.7,51.3 e
