Time frequency,Type of building,Tenure status,Unit of measure,Geopolitical entity (reporting)\Time,2001.0
Annual,Residential buildings,Owner,Number,Portugal,7774902.0
Annual,Residential buildings,Owner,Number,Romania,19936156.0
Annual,Residential buildings,Owner,Number,Slovenia,1654193.0
Annual,Residential buildings,Owner,Number,Slovakia,3949716.0
Annual,Residential buildings,Total,Number,Austria,7695386.0
Annual,Residential buildings,Total,Number,Belgium,8266981.0
Annual,Residential buildings,Total,Number,Bulgaria,7820548.0
Annual,Residential buildings,Total,Number,Switzerland,5355329.0
Annual,Residential buildings,Total,Number,Cyprus,644294.0
Annual,Residential buildings,Total,Number,Czechia,10012829.0
Annual,Residential buildings,Total,Number,Estonia,1316060.0
Annual,Residential buildings,Total,Number,Greece,9909221.0
Annual,Residential buildings,Total,Number,Spain,40421822.0
Annual,Residential buildings,Total,Number,Finland,4984516.0
Annual,Residential buildings,Total,Number,France,57220124.0
Annual,Residential buildings,Total,Number,Hungary,9891645.0
Annual,Residential buildings,Total,Number,Ireland,3672794.0
Annual,Residential buildings,Total,Number,Italy,56505102.0
Annual,Residential buildings,Total,Number,Liechtenstein,26375.0
Annual,Residential buildings,Total,Number,Lithuania,3335695.0
Annual,Residential buildings,Total,Number,Luxembourg,423083.0
Annual,Residential buildings,Total,Number,Latvia,2120014.0
Annual,Residential buildings,Total,Number,Netherlands,15476571.0
Annual,Residential buildings,Total,Number,Norway,4485945.0
Annual,Residential buildings,Total,Number,Poland,37693383.0
Annual,Residential buildings,Total,Number,Portugal,10132940.0
Annual,Residential buildings,Total,Number,Romania,21272493.0
Annual,Residential buildings,Total,Number,Slovenia,1930702.0
Annual,Residential buildings,Total,Number,Slovakia,5296477.0
Annual,Residential buildings,Unknown,Number,Italy,28597.0
Annual,Residential buildings,Unknown,Number,Lithuania,63288.0
Annual,One-dwelling residential buildings,Other,Number,Austria,320008.0
Annual,One-dwelling residential buildings,Other,Number,Belgium,1045211.0
Annual,One-dwelling residential buildings,Other,Number,Bulgaria,145983.0
Annual,One-dwelling residential buildings,Other,Number,Switzerland,312845.0
Annual,One-dwelling residential buildings,Other,Number,Czechia,300573.0
Annual,One-dwelling residential buildings,Other,Number,Estonia,28990.0
Annual,One-dwelling residential buildings,Other,Number,Greece,508463.0
Annual,One-dwelling residential buildings,Other,Number,Finland,192415.0
Annual,One-dwelling residential buildings,Other,Number,France,7873976.0
Annual,One-dwelling residential buildings,Other,Number,Hungary,153722.0
Annual,One-dwelling residential buildings,Other,Number,Ireland,541593.0
Annual,One-dwelling residential buildings,Other,Number,Italy,1891582.0
Annual,One-dwelling residential buildings,Other,Number,Liechtenstein,3214.0
Annual,One-dwelling residential buildings,Other,Number,Lithuania,20798.0
Annual,One-dwelling residential buildings,Other,Number,Luxembourg,37438.0
Annual,One-dwelling residential buildings,Other,Number,Latvia,44193.0
Annual,One-dwelling residential buildings,Other,Number,Netherlands,3435845.0
Annual,One-dwelling residential buildings,Other,Number,Norway,376266.0
Annual,One-dwelling residential buildings,Other,Number,Poland,891828.0
Annual,One-dwelling residential buildings,Other,Number,Portugal,831963.0
Annual,One-dwelling residential buildings,Other,Number,Romania,387230.0
Annual,One-dwelling residential buildings,Other,Number,Slovenia,36729.0
Annual,One-dwelling residential buildings,Other,Number,Slovakia,89366.0
Annual,One-dwelling residential buildings,Owner,Number,Austria,2872088.0
Annual,One-dwelling residential buildings,Owner,Number,Belgium,5329653.0
Annual,One-dwelling residential buildings,Owner,Number,Bulgaria,3019495.0
Annual,One-dwelling residential buildings,Owner,Number,Switzerland,1653967.0
Annual,One-dwelling residential buildings,Owner,Number,Czechia,3128676.0
Annual,One-dwelling residential buildings,Owner,Number,Estonia,313786.0
Annual,One-dwelling residential buildings,Owner,Number,Greece,3342650.0
Annual,One-dwelling residential buildings,Owner,Number,Finland,2390472.0
Annual,One-dwelling residential buildings,Owner,Number,France,28205928.0
Annual,One-dwelling residential buildings,Owner,Number,Hungary,6121518.0
Annual,One-dwelling residential buildings,Owner,Number,Ireland,2944622.0
Annual,One-dwelling residential buildings,Owner,Number,Italy,10519574.0
Annual,One-dwelling residential buildings,Owner,Number,Liechtenstein,12648.0
Annual,One-dwelling residential buildings,Owner,Number,Lithuania,1152807.0
Annual,One-dwelling residential buildings,Owner,Number,Luxembourg,258635.0
Annual,One-dwelling residential buildings,Owner,Number,Latvia,506518.0
Annual,One-dwelling residential buildings,Owner,Number,Netherlands,8690952.0
Annual,One-dwelling residential buildings,Owner,Number,Norway,2485953.0
Annual,One-dwelling residential buildings,Owner,Number,Poland,15093724.0
Annual,One-dwelling residential buildings,Owner,Number,Portugal,4766777.0
Annual,One-dwelling residential buildings,Owner,Number,Romania,12110149.0
Annual,One-dwelling residential buildings,Owner,Number,Slovenia,898153.0
Annual,One-dwelling residential buildings,Owner,Number,Slovakia,2544675.0
Annual,One-dwelling residential buildings,Total,Number,Austria,3192096.0
Annual,One-dwelling residential buildings,Total,Number,Belgium,6443932.0
Annual,One-dwelling residential buildings,Total,Number,Bulgaria,3165478.0
Annual,One-dwelling residential buildings,Total,Number,Switzerland,1968105.0
