Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Austria,1.98,1.68,1.88,2.12,2.11,1.87,2.21,2.58,2.21,2.19,2.93
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Belgium,1.51,2.1,2.0,1.73,2.06,1.68,1.87,1.48,1.51,1.82,1.33
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Bulgaria,0.03,0.05,:,0.03,0.14,0.03,0.07,0.09,0.08,0.15,0.24
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Switzerland,1.21,1.2,1.61,1.69,1.37,1.22,1.09,1.43,0.98,1.26,0.89
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Cyprus,:,0.32,:,:,0.44,:,0.0,0.51,0.24,0.26,0.24
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Czechia,0.39,0.38,0.46,0.52,0.48,0.4,0.41,0.43,0.58,0.67,0.63
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Germany,2.52,2.37,2.76,2.57,2.72,2.44,2.27,2.31,2.15,2.39,2.27
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Denmark,5.96,5.58,5.95,5.0,5.23,5.64,4.22,3.5,3.41,3.85,3.66
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Estonia,3.17,2.96,1.41,1.13,1.02,1.28,1.19,0.79,0.81,2.86,1.54
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Greece,0.08,:,0.02,0.01,0.07,0.06,0.12,0.09,0.05,0.2,0.08
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Spain,0.19,0.22,0.13,0.14,0.13,0.13,0.13,0.12,0.07,0.11,0.1
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,European Union - 27 countries (from 2020),1.2,1.17,1.21,1.16,1.24,1.21,1.19,1.2,1.19,1.25,1.19
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Finland,1.3,1.35,1.51,1.47,1.18,1.41,1.46,1.66,1.55,1.23,1.27
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,France,1.85,1.78,1.51,1.4,1.47,1.51,1.37,1.53,1.42,1.17,1.34
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Croatia,1.13,1.48 d,1.33 d,1.5,1.26,0.96,0.89,0.67,1.72,1.56,1.17
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Hungary,1.01 d,0.97 d,0.84 d,1.01,0.88,0.94,0.93,1.17,1.26,1.17,1.04
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Ireland,0.05,0.08,:,0.27,0.34,0.31,0.37,0.04,0.17,0.29,0.26
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Iceland,1.11,1.42,:,:,0.99,2.02,0.61,0.0,1.27,0.0,0.58
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Italy,0.11,0.13,0.14,0.1,0.13,0.12,0.1,0.12,0.13,0.13,0.15
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Liechtenstein,:,:,:,:,:,:,0.0,0.0,0.0,0.0,4.31
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Lithuania,0.25,0.18,0.31,0.16,0.12,0.12,0.19,0.05,0.14,0.24,0.22
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Luxembourg,0.42,1.93,1.72,3.12,3.56,1.81,3.45,3.26,1.97,3.23,1.45
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Latvia,3.33,3.87,2.57,2.57,3.46,1.34,1.62,1.92,1.45,2.02,4.31
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Malta,0.57,:,:,0.41,:,:,0.0,0.37,0.0,0.0,0.51
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Netherlands,0.6,0.57,1.17,1.07,1.51,1.42,1.34,1.41,1.25,1.13,1.19
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Norway,1.32,1.32,1.67,1.3,1.12,0.98,1.13,1.42,0.85,1.13,1.33
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Poland,1.16,1.15,1.05,1.01,1.33,1.86,2.03,1.99,2.34,2.78,2.04
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Portugal,0.3,0.33,0.18,0.09,0.18,0.18,0.22,0.13,0.19,0.23,0.17
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Romania,0.25,0.1,0.14,0.4,0.3,0.38,0.32,0.24,0.42,0.37,0.29
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Serbia,0.31,0.54,0.45,0.42,0.46,0.45,0.44,0.5,0.61,0.54,0.42
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Sweden,1.0,0.88,0.93,0.96,0.92,0.87,1.27,0.93,1.13,1.26,1.43
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Slovenia,2.13,2.04,3.66,2.93,4.2,3.48,5.48,5.31,5.51,5.35,5.44
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Slovakia,0.35,0.52,0.4,0.9,0.57,0.69,0.79,0.6,1.25,0.5,0.46
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,Türkiye,0.01 d,0.03 d,0.01 d,0 d,:,0 d,0 d,0 d,0.01 d,0 d,0 d
Annual,Rate,Females,Total,Mental and behavioural disorders due to use of alcohol,United Kingdom,0.74 d,0.7,0.56,0.78,0.73,0.78,0.89,0.94,:,:,:
Annual,Rate,Males,Total,Mental and behavioural disorders due to use of alcohol,Austria,9.2,10.11,9.93,9.28,10.76,10.12,9.65,10.35,9.55,10.71,11.32
Annual,Rate,Males,Total,Mental and behavioural disorders due to use of alcohol,Belgium,5.4,6.12,6.32,5.47,5.62,5.48,6.06,5.53,5.2,5.65,5.25
Annual,Rate,Males,Total,Mental and behavioural disorders due to use of alcohol,Bulgaria,0.46,0.58,0.35,0.69,0.7,0.69,0.49,0.84,0.85,1.2,0.99
Annual,Rate,Males,Total,Mental and behavioural disorders due to use of alcohol,Switzerland,5.11,4.04,4.25,4.04,4.08,3.44,3.53,3.0,3.78,3.03,3.9
