Time frequency,Business function,Enterprise,Statistical classification of economic activities in the European Community (NACE Rev. 2),Economical indicator for structural business statistics,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Austria,2 u
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Bulgaria,: @C
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Germany,40 u
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Denmark,27.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Finland,22.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Hungary,12.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Italy,93.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Lithuania,0.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Latvia,7.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Netherlands,21.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Norway,25.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Poland,129.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Portugal,141.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Romania,11.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Sweden,69.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Slovakia,79.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,2 u
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,16.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,11.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,39.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,2 u
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,: @C
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,23 u
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,19.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,14.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,4.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,13.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,2.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,8.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,12.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,9.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,87.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,202.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,7.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,: @C
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,12.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Austria,0 u
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Denmark,4.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Finland,1.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,3.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Austria,4 u
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Bulgaria,10.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Germany,63 u
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Denmark,46.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Finland,36.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Hungary,16.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Italy,106.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Lithuania,2.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Latvia,15.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Netherlands,33.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Norway,34.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Poland,215.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Portugal,343.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Romania,18.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Sweden,81.0
Annual,Core function (production of goods and services for the market),Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Slovakia,91.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Austria,4 u
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Bulgaria,3.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Germany,57 u
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Denmark,36.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Finland,35.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Hungary,15.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Italy,150.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Lithuania,4.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Latvia,9.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Netherlands,40.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Norway,30.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Poland,172.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Portugal,162.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Romania,20.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Sweden,82.0
Annual,Core and/or support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Slovakia,105.0
Annual,Core and/or support function,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,3 u
Annual,Core and/or support function,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,23.0
Annual,Core and/or support function,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,18.0
Annual,Core and/or support function,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,52.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,7 u
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,11.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,38 u
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,42.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,31.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,15.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,50.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,5.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,16.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,45.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,32.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,131.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,235.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,18.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,38.0
Annual,Core and/or support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,40.0
Annual,Core and/or support function,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Austria,3 u
Annual,Core and/or support function,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Denmark,8.0
Annual,Core and/or support function,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Finland,5.0
Annual,Core and/or support function,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,11.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Austria,11 u
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Bulgaria,14.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Germany,95 u
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Denmark,78.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Finland,65.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Hungary,30.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Italy,201.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Lithuania,9.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Latvia,25.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Netherlands,85.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Norway,62.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Poland,303.0
