Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Seasonal adjustment,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Belgium,1634.0,-921.0,1583.0,1317.0,-799.0,163.0,-885.0,-1225.0,-1320.0,958.0,2761.0,-338.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Bulgaria,345.4,-48.4,199.5,-40.2,-319.8,-108.9,332.7,636.9,913.9,8.2,-321.1,-278.7
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Czechia,-297.9,420.8,1393.0,2161.8,1328.9,-677.8,-1021.3,-604.2,538.8,-306.2,513.4,1186.3
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany,29064.0,21132.0,25764.0,29392.0,23151.0,16092.0,19635.0,16507.0,16035.0,21307.0,13740.0,24142.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Denmark,3646.1,3347.0,3956.3,574.9,4088.8,4381.6,5212.2,4640.2,4962.3,5447.9,7321.5,6964.6
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area – 20 countries (from 2023),39704.7,26514.5,32897.7,37671.2,40072.4,9398.4,56284.4,38744.6,25376.9,42060.4,36316.8,34622.7
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Estonia,324.8,-90.2,-84.9,-21.5,-148.0,38.5,-44.6,-182.2,-64.3,-59.4,-78.6,-64.8
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Greece,-2918.0,1801.0,-3063.0,-2501.0,-2498.0,-2316.0,266.0,210.0,457.0,-345.0,-383.0,-3152.0
