Time frequency,Currency,Size classes in number of employees,Working time,Sex,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Bulgaria,3196.0,3595.0,3842.0,4056.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Switzerland,:,:,48972.0,:
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Germany,33500.0,34000.0,34740.0,35700 p
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Denmark,45405.0,47241.0,49254.0,49584.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Greece,22971.0,24216.0,:,:
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Spain,23027.0,24034.0,25101.0,24738.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Finland,:,34389.0,39511.0,36435.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",France,:,29844.0,30406.0,:
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Hungary,9088.0,8250.0,8341.0,8652.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Ireland,40289.0,40823.0,19177.0,:
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Latvia,7726.0,7529.0,7059.0,7432.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Malta,:,16210.0,16864.0,17426.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Netherlands,34165.0,35581.0,36696.0,37632.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Portugal,:,15334.0,15299.0,16614.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Romania,:,5177 e,5221 e,5383 d
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Sweden,31000.0,29064.0,33305.0,35733.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",Slovakia,8029.0,8555.0,8929.0,9237.0
Annual,Euro,10 employees or more,Full-time,Females,"Industry, construction and services (except public administration, defense, compulsory social security)",United Kingdom,32161.0,29414.0,31115.0,30867.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Bulgaria,3930.0,4519.0,4861.0,5125.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Switzerland,:,:,60135.0,:
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Germany,43800.0,43400.0,44465.0,46100 p
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Denmark,58245.0,59119.0,62120.0,62851.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Greece,29356.0,31246.0,:,:
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Spain,26960.0,28265.0,29009.0,29354.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Finland,:,42855.0,42741.0,47834.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",France,:,37094.0,37627.0,:
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Hungary,10923.0,10157.0,10624.0,11000.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Ireland,50900.0,50577.0,48459.0,:
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Latvia,9493.0,9377.0,9255.0,9521.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Malta,:,19922.0,20060.0,20503.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Netherlands,45457.0,46687.0,47373.0,48386.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Portugal,:,18955.0,19424.0,18723.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Romania,:,5753 e,6119 e,6297 d
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Sweden,39044.0,36006.0,41311.0,44827.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",Slovakia,10473.0,11299.0,11645.0,12087.0
Annual,Euro,10 employees or more,Full-time,Males,"Industry, construction and services (except public administration, defense, compulsory social security)",United Kingdom,45363.0,40919.0,42710.0,43015.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Bulgaria,3584.0,4076.0,4361.0,4599.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Switzerland,:,:,57014.0,:
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Germany,40700.0,40500.0,41495.0,42900 p
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Denmark,52509.0,53543.0,55707.0,56299.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Greece,26661.0,28241.0,:,:
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Spain,25435.0,26568.0,27438.0,27447.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Finland,:,38626.0,38520.0,42351.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",France,:,34329.0,34854.0,:
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Hungary,10055.0,9234.0,9496.0,9868.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Ireland,46168.0,46102.0,46602.0,:
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Latvia,8567.0,8351.0,8027.0,8376.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Malta,:,18902.0,18850.0,19339.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Netherlands,42629.0,43931.0,44784.0,45793.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Portugal,:,16735.0,16776.0,17741.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Romania,:,5483 e,5689 e,5869 d
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Sweden,35802.0,33163.0,38023.0,41026.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",Slovakia,9349.0,10031.0,10407.0,10788.0
Annual,Euro,10 employees or more,Full-time,Total,"Industry, construction and services (except public administration, defense, compulsory social security)",United Kingdom,40171.0,36386.0,38122.0,38284.0
