Time frequency,Unit of measure,Country of residence,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand,Foreign country,Hotels and similar accommodation,Algeria,199.9,212.4,232.6,253.0,284.0,317.3,350.7,384.1,402.0,401.1,443.8,589.5,789.8,834.3,765.6,:,:,:
Annual,Thousand,Foreign country,Hotels and similar accommodation,Egypt,:,:,:,:,11679.0,12863.0,8283.0,6469.0,6339.0,7426.0,:,:,:,:,:,:,:,:
Annual,Thousand,Foreign country,Hotels and similar accommodation,Israel,2004.7,2131.3,2747.5,3372.9,2620.8,3237.0,3231.9,3170.5,3135.4,3019.5,2692.0,2816.5,3680.2,4134.1,4440.5,813.9,277.4,2379.7
Annual,Thousand,Foreign country,Hotels and similar accommodation,Morocco,3470.0 p,3815.0 p,3910.0,3824.0 p,3669.0 p,4078.0 p,3456.0 p,3570.0 p,4010.0 p,4204.0 p,3668.4 p,2929.4 p,4632.3 p,5358.8 p,5606.3,1080.6,875.5,3424.1 p
Annual,Thousand,Foreign country,Hotels and similar accommodation,Palestine*,88.4 d,122.6 d,264.2 d,387.1 d,395.6 d,521.9 d,448.5 d,490.1 d,545.5 d,556.0 d,432.0 d,400.0 d,503.0 d,606.0 d,688.0 d,93.0 d,123.0 d,362.0
Annual,Thousand,Foreign country,Hotels and similar accommodation,Tunisia,5443.0,5415.0,5536.0,5603.0,5042.0,5020.0 p,3472.8 p,4230.7 p,3951.5,3913.1,2143.1,2283.6,2816.4,3821.8,4482.0,642.2,779.3,:
Annual,Thousand,Foreign country,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Israel,2233.5,2404.1,3074.7,3776.9,3027.9,3679.8,3700.0,3657.9,3634.8,3603.2,3265.4,3430.6,4481.0,4948.9,5280.5,844.9,366.5,2722.9
Annual,Thousand,Foreign country,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lebanon,:,:,:,476.0,598.0,707.0,604.0,475.0,479.0,540.0,601.0,702.0,:,:,:,:,:,:
Annual,Thousand,Foreign country,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Morocco,3470.0 dp,3815.0 dp,3910.0 dp,3824.0 dp,3669.0 dp,4078.0 dp,3456.0 dp,3570.0 dp,4010.0 dp,4204.0 dp,3668.4 dp,2929.4 dp,4632.3 dp,5358.8 dp,5606.3,1080.6,875.5,3424.1 p
Annual,Thousand,Reporting country,Hotels and similar accommodation,Algeria,2526.7,2674.8,2790.5,2914.6,3063.9,3210.7,3411.6,3575.4,3717.3,3772.5,3772.9,3730.7,3633.5,3679.2,3533.5,:,:,:
