Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Cyprus,7290.41,9082.44
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Greece,448270.81,498424.54
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Voreia Ellada (NUTS 2010),39461.63,:
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Kentriki Ellada (NUTS 2010),250369.86,:
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Attiki,6898.98,12291.39
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,"Nisia Aigaiou, Kriti",151540.34,150779.26
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Voreia Elláda,39461.63,38044.84
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Kentriki Elláda,250369.86,297309.04
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Spain,985419.48,1067734.42
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Noreste,22670.79,22516.55
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Comunidad de Madrid,5946.41,5958.96
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Centro (ES),230971.48,239691.57
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Este,91489.27,91462.7
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Sur,634341.53,708065.69
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Canarias,:,38.94
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,European Union - 27 countries (from 2020),:,2226045.94
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,European Union - 28 countries (2013-2020),2190657.61,2226045.94
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,France,:,10259.51
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Ile de France,:,28.18
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Bassin Parisien (NUTS 2013),:,14.33
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Sud-Ouest (FR) (NUTS 2013),:,130.24
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Centre-Est (FR) (NUTS 2013),:,917.27
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Méditerranée (NUTS 2013),:,9169.49
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Croatia,16553.9,10472.84
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Italy,593746.78,507967.02
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Nord-Ovest,7475.17,3908.73
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Sud,356415.41,290789.13
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Isole,93035.08,92300.46
Annual,From 140 to 399 trees per hectare,Hectare,Total,Olive trees,Nord-Est,5809.03,5014.75
