Time frequency,Level,Nomenclature of land cover and land use (Corine Land Cover 2018),Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2010.0,2016.0
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Austria,11635.2,11835.0,11773.0
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Belgium,168.2,98.6,100.7
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Bulgaria,5009.4,3131.0,3497.7
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Cyprus,707.2,507.8,514.6
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Czechia,2018.6,976.1,955.5
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Germany,7895.0,4391.7,4150.5
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Denmark,2.8,2.0,1.0
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Estonia,3.1,1.3,0.6
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Greece,13449.8,11721.2,11639.3
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Spain,52651.8,42703.7,43305.4
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,European Union - 27 countries (from 2020),227273.7,198607.3,196853.4
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,European Union - 28 countries (2013-2020),235236.0,207232.2,205294.5
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Finland,37.9,34.3,34.2
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,France,21074.6,17303.2,16602.1
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Croatia,4219.8,3780.9,2562.1
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Hungary,2484.5,2174.5,2125.2
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Ireland,392.7,378.4,367.9
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Italy,71061.5,67990.9,68398.2
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Lithuania,15.7,11.8,11.5
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Luxembourg,83.3,62.1,61.4
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Latvia,5.2,3.9,4.3
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Malta,65.0,27.1,18.7
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Netherlands,4.1,1.8,1.6
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Poland,3740.7,3203.6,3342.4
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Portugal,4400.1,3736.5,3417.6
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Romania,17289.1,16159.3,15695.7
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Sweden,2487.5,2527.4,2501.5
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Slovenia,3762.1,3684.3,3686.6
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,Slovakia,2608.6,2159.3,2084.3
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Square kilometre,United Kingdom,7962.3,8624.9,8441.2
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Austria,15.45,15.56,15.5
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Belgium,0.7,0.41,0.42
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Bulgaria,4.82,3.01,3.37
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Cyprus,8.55,6.1,6.5
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Czechia,2.77,1.33,1.31
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Germany,2.46,1.37,1.3
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Denmark,0.01,0.01,0.0
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Estonia,0.01,0.0,0.0
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Greece,10.8,9.41,9.6
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Spain,10.92,8.85,9.02
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,European Union - 27 countries (from 2020),6.11,5.32,5.31
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,European Union - 28 countries (2013-2020),5.99,5.26,5.25
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Finland,0.01,0.01,0.01
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,France,4.14,3.39,3.27
Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Croatia,7.89,7.07,5.12
