Time frequency,Wastewater treatment plants,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Malta,11.24,11.46,12.9,13.16,10.85,13.23,9.26,8.41,14.61,21.05,7.45,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,6.54,7.4,7.41
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Netherlands,98.1,98.4,98.5,98.6,98.9,99.0,99.1,99.2,99.3,99.3,99.3,99.4,99.5,99.4,99.4,99.43,99.45,99.5,99.5,99.5,99.55,99.6,99.65
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Norway,:,:,:,:,:,:,:,47.99 d,47.91 d,48.14 d,48.31 d,48.92 d,49.55 d,49.75 d,49.87 d,50.90 d,55.71 d,58.58 d,66.86 d,66.15 d,67.00 d,67.88 d,70.93 d
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Poland,50.2,52.1,54.0,55.5,56.8,58.1,60.7,61.8,62.9,64.1,64.5,65.5,68.5,70.2,71.4,72.6,73.4,73.5,74.0,74.44,74.78,75.2,75.68
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Portugal,:,:,27.0,32.0,37.3,42.6,37.0,51.0,52.0,55.8,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Romania,:,:,:,:,16.9,16.9,:,:,:,:,22.7,31.7,35.3,36.1,38.2,39.7,43.8,46.5,48.1,49.4,51.8,52.6,53.94
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Serbia,4.5,4.79,5.11,5.47,5.79,6.37,6.84,6.73,7.15,8.44,8.63,8.81,8.98,9.39,9.98,10.82,12.5,12.6,12.87,13.14,13.77,14.67,15.16
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Sweden,94.0,94.00 i,93.0,94.0,94.0,94.00 e,94.00 e,94.00 e,94.00 e,94.00 e,94.00 e,94.00 e,95.00 e,95.00 e,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovenia,12.3,15.5,18.4,19.9,29.3,32.1,47.6,48.8,51.1,52.9,51.6,54.4,53.7,55.2,55.6,57.4,63.22,67.61,68.95,69.52,69.32,67.61,68.45
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,63.6,65.0,65.7,68.1,68.8,69.9,70.6
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Türkiye,18.3,19.2,19.2,21.1,24.8,28.5,29.6,31.1,31.4,35.2,37.6,39.80 i,42.0,45.53 i,49.05 e,55.41 e,56.30 e,60.48 e,60.79 e,61.03 e,61.12 e,60.75 e,61.18 e
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,United Kingdom,91.0,98.0,99.0,99.0,99.0,99.0,:,:,96.9,97.0,99.5,98.95,99.3,99.65,100.0,:,:,:,:,:,:,:,:
Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,0.55,:,:,:,:,:,:,:,:,:,:,:
