Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Croatia,:,:,1.0,:
Annual,Manufacture of vegetable and animal oils and fats,Number,Hungary,:,9.0,12.0,12.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Ireland,0.0,0.0,:,:
Annual,Manufacture of vegetable and animal oils and fats,Number,Italy,835.0,1794.0,1630.0,1665.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Lithuania,1.0,1.0,3.0,:
Annual,Manufacture of vegetable and animal oils and fats,Number,Latvia,:,2.0,2.0,2.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Netherlands,57.0,59.0,59.0,63.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Norway,2.0,2.0,8.0,10.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Poland,:,8.0,3.0,5.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Romania,2.0,2.0,5.0,6.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Sweden,18.0,28.0,43.0,18.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Slovenia,3.0,3.0,2.0,6.0
Annual,Manufacture of vegetable and animal oils and fats,Number,Slovakia,2.0,2.0,2.0,1.0
Annual,Manufacture of vegetable and animal oils and fats,Number,United Kingdom,39.0,28.0,40.0,52.0
Annual,Manufacture of dairy products,Number,Belgium,:,39.0,:,53.0
Annual,Manufacture of dairy products,Number,Bulgaria,3.0,3.0,5.0,7.0
Annual,Manufacture of dairy products,Number,Czechia,31.0,38.0,45.0,248.0
Annual,Manufacture of dairy products,Number,Denmark,36.0,60.0,58.0,62.0
Annual,Manufacture of dairy products,Number,Estonia,2.0,3.0,2.0,4.0
Annual,Manufacture of dairy products,Number,Greece,74.0,106.0,72.0,51.0
Annual,Manufacture of dairy products,Number,Spain,67.0,109.0,98.0,101.0
Annual,Manufacture of dairy products,Number,Finland,15.0,23.0,22.0,32.0
Annual,Manufacture of dairy products,Number,France,180.0,:,204.0,222.0
Annual,Manufacture of dairy products,Number,Croatia,:,:,1.0,:
Annual,Manufacture of dairy products,Number,Hungary,:,21.0,16.0,11.0
Annual,Manufacture of dairy products,Number,Ireland,5.0,12.0,:,:
Annual,Manufacture of dairy products,Number,Italy,333.0,425.0,438.0,332.0
Annual,Manufacture of dairy products,Number,Lithuania,5.0,2.0,6.0,:
Annual,Manufacture of dairy products,Number,Latvia,5.0,13.0,17.0,19.0
Annual,Manufacture of dairy products,Number,Netherlands,101.0,105.0,105.0,141.0
Annual,Manufacture of dairy products,Number,Norway,38.0,54.0,45.0,45.0
Annual,Manufacture of dairy products,Number,Poland,:,4.0,5.0,11.0
Annual,Manufacture of dairy products,Number,Romania,9.0,8.0,4.0,9.0
Annual,Manufacture of dairy products,Number,Sweden,25.0,30.0,43.0,34.0
Annual,Manufacture of dairy products,Number,Slovenia,5.0,5.0,6.0,7.0
Annual,Manufacture of dairy products,Number,Slovakia,7.0,12.0,16.0,4.0
Annual,Manufacture of dairy products,Number,United Kingdom,212.0,191.0,183.0,164.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Belgium,:,33.0,:,55.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Bulgaria,0.0,1.0,2.0,2.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Czechia,17.0,14.0,15.0,21.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Denmark,20.0,19.0,18.0,18.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Estonia,9.0,11.0,7.0,11.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Greece,27.0,92.0,51.0,41.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Spain,49.0,33.0,16.0,22.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Finland,40.0,70.0,65.0,65.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,France,167.0,:,177.0,225.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Hungary,:,28.0,27.0,28.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Ireland,9.0,1.0,:,:
Annual,"Manufacture of grain mill products, starches and starch products",Number,Italy,353.0,675.0,582.0,547.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Lithuania,6.0,3.0,7.0,:
Annual,"Manufacture of grain mill products, starches and starch products",Number,Latvia,1.0,7.0,4.0,4.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Netherlands,94.0,91.0,91.0,103.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Norway,28.0,26.0,23.0,22.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Poland,:,31.0,27.0,27.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Romania,:,15.0,3.0,11.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Sweden,31.0,54.0,49.0,49.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Slovenia,1.0,1.0,1.0,7.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,Slovakia,12.0,6.0,5.0,6.0
Annual,"Manufacture of grain mill products, starches and starch products",Number,United Kingdom,79.0,60.0,31.0,28.0
Annual,Manufacture of bakery and farinaceous products,Number,Belgium,:,129.0,:,43.0
Annual,Manufacture of bakery and farinaceous products,Number,Bulgaria,1.0,0.0,0.0,1.0
Annual,Manufacture of bakery and farinaceous products,Number,Czechia,107.0,40.0,42.0,48.0
Annual,Manufacture of bakery and farinaceous products,Number,Denmark,60.0,94.0,107.0,120.0
Annual,Manufacture of bakery and farinaceous products,Number,Estonia,1.0,1.0,2.0,6.0
Annual,Manufacture of bakery and farinaceous products,Number,Greece,127.0,357.0,131.0,109.0
Annual,Manufacture of bakery and farinaceous products,Number,Spain,:,305.0,320.0,311.0
Annual,Manufacture of bakery and farinaceous products,Number,Finland,75.0,50.0,52.0,64.0
Annual,Manufacture of bakery and farinaceous products,Number,France,3438.0,:,4439.0,5334.0
Annual,Manufacture of bakery and farinaceous products,Number,Hungary,:,43.0,39.0,35.0
Annual,Manufacture of bakery and farinaceous products,Number,Ireland,:,13.0,:,:
Annual,Manufacture of bakery and farinaceous products,Number,Italy,891.0,876.0,962.0,822.0
Annual,Manufacture of bakery and farinaceous products,Number,Lithuania,5.0,5.0,6.0,:
Annual,Manufacture of bakery and farinaceous products,Number,Latvia,2.0,3.0,5.0,7.0
Annual,Manufacture of bakery and farinaceous products,Number,Netherlands,69.0,70.0,70.0,116.0
Annual,Manufacture of bakery and farinaceous products,Number,Norway,:,118.0,77.0,68.0
Annual,Manufacture of bakery and farinaceous products,Number,Poland,:,40.0,38.0,35.0
Annual,Manufacture of bakery and farinaceous products,Number,Romania,13.0,6.0,13.0,12.0
Annual,Manufacture of bakery and farinaceous products,Number,Sweden,:,:,78.0,72.0
Annual,Manufacture of bakery and farinaceous products,Number,Slovenia,17.0,20.0,16.0,13.0
Annual,Manufacture of bakery and farinaceous products,Number,Slovakia,9.0,11.0,8.0,8.0
Annual,Manufacture of bakery and farinaceous products,Number,United Kingdom,13.0,120.0,120.0,105.0
Annual,Manufacture of other food products,Number,Belgium,:,142.0,:,432.0
Annual,Manufacture of other food products,Number,Bulgaria,10.0,13.0,16.0,9.0
Annual,Manufacture of other food products,Number,Czechia,96.0,106.0,94.0,98.0
Annual,Manufacture of other food products,Number,Denmark,62.0,55.0,51.0,76.0
Annual,Manufacture of other food products,Number,Estonia,7.0,7.0,13.0,9.0
Annual,Manufacture of other food products,Number,Greece,330.0,343.0,246.0,170.0
Annual,Manufacture of other food products,Number,Spain,1042.0,956.0,969.0,1178.0
Annual,Manufacture of other food products,Number,Finland,52.0,50.0,126.0,56.0
Annual,Manufacture of other food products,Number,France,372.0,:,388.0,1046.0
Annual,Manufacture of other food products,Number,Croatia,:,:,1.0,:
Annual,Manufacture of other food products,Number,Hungary,:,81.0,77.0,76.0
Annual,Manufacture of other food products,Number,Ireland,91.0,23.0,:,:
Annual,Manufacture of other food products,Number,Italy,980.0,1384.0,1342.0,1342.0
Annual,Manufacture of other food products,Number,Lithuania,10.0,18.0,18.0,:
Annual,Manufacture of other food products,Number,Latvia,2.0,13.0,30.0,31.0
Annual,Manufacture of other food products,Number,Netherlands,571.0,635.0,635.0,741.0
Annual,Manufacture of other food products,Number,Norway,203.0,41.0,53.0,53.0
Annual,Manufacture of other food products,Number,Poland,:,86.0,62.0,63.0
Annual,Manufacture of other food products,Number,Romania,24.0,14.0,19.0,15.0
Annual,Manufacture of other food products,Number,Sweden,116.0,148.0,238.0,144.0
Annual,Manufacture of other food products,Number,Slovenia,20.0,8.0,7.0,35.0
Annual,Manufacture of other food products,Number,Slovakia,26.0,21.0,13.0,15.0
Annual,Manufacture of other food products,Number,United Kingdom,1829.0,1488.0,1342.0,1338.0
Annual,Manufacture of prepared animal feeds,Number,Belgium,:,6.0,:,14.0
Annual,Manufacture of prepared animal feeds,Number,Bulgaria,0.0,:,0.0,0.0
Annual,Manufacture of prepared animal feeds,Number,Czechia,4.0,20.0,28.0,23.0
Annual,Manufacture of prepared animal feeds,Number,Denmark,3.0,1.0,12.0,93.0
Annual,Manufacture of prepared animal feeds,Number,Estonia,0.0,0.0,0.0,1.0
Annual,Manufacture of prepared animal feeds,Number,Greece,56.0,48.0,36.0,33.0
Annual,Manufacture of prepared animal feeds,Number,Spain,38.0,47.0,37.0,36.0
Annual,Manufacture of prepared animal feeds,Number,Finland,16.0,19.0,24.0,32.0
Annual,Manufacture of prepared animal feeds,Number,France,134.0,:,106.0,132.0
Annual,Manufacture of prepared animal feeds,Number,Hungary,:,0.0,1.0,0.0
Annual,Manufacture of prepared animal feeds,Number,Ireland,1.0,2.0,:,:
Annual,Manufacture of prepared animal feeds,Number,Italy,75.0,127.0,145.0,122.0
Annual,Manufacture of prepared animal feeds,Number,Lithuania,3.0,2.0,2.0,:
Annual,Manufacture of prepared animal feeds,Number,Latvia,:,:,0.0,:
Annual,Manufacture of prepared animal feeds,Number,Netherlands,48.0,54.0,54.0,90.0
Annual,Manufacture of prepared animal feeds,Number,Norway,10.0,12.0,14.0,13.0
Annual,Manufacture of prepared animal feeds,Number,Poland,:,1.0,2.0,2.0
Annual,Manufacture of prepared animal feeds,Number,Romania,0.0,0.0,3.0,6.0
Annual,Manufacture of prepared animal feeds,Number,Sweden,11.0,25.0,17.0,10.0
Annual,Manufacture of prepared animal feeds,Number,Slovenia,1.0,2.0,2.0,2.0
Annual,Manufacture of prepared animal feeds,Number,Slovakia,:,10.0,8.0,5.0
Annual,Manufacture of prepared animal feeds,Number,United Kingdom,62.0,52.0,42.0,49.0
Annual,Manufacture of beverages,Number,Belgium,:,19.0,:,37.0
Annual,Manufacture of beverages,Number,Bulgaria,1.0,5.0,3.0,6.0
Annual,Manufacture of beverages,Number,Czechia,69.0,96.0,93.0,90.0
