Time frequency,Unit of measure,Forestry indicators,Protected or protective area,Geopolitical entity (reporting)\Time,1990.0,2000.0,2005.0,2010.0,2015.0
Annual,Thousand hectares,Forest,Protected area,Austria,:,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Protected area,Belgium,:,35.5,39.6,42.35,47.92
Annual,Thousand hectares,Forest,Protected area,Bulgaria,131.0,239.0,280.0,580.0,578 e
Annual,Thousand hectares,Forest,Protected area,Cyprus,3.06,13.97,16.84,16.84,16.84
Annual,Thousand hectares,Forest,Protected area,Czechia,:,715.66,752.1,750.9,751.6
Annual,Thousand hectares,Forest,Protected area,Germany,:,6825.0,8080.0,9264.0,9264 e
Annual,Thousand hectares,Forest,Protected area,Denmark,0.57,13.95,110.18,110.37,115.22
Annual,Thousand hectares,Forest,Protected area,Estonia,0.0,309.35,430.48,462.26,464.6
Annual,Thousand hectares,Forest,Protected area,Greece,139.0,152.0,159.0,164.0,164.0
Annual,Thousand hectares,Forest,Protected area,Spain,1341.76,:,3200.3,3494.53,3527.22
Annual,Thousand hectares,Forest,Protected area,European Union - 27 countries (from 2020),3025.37,21309.66,28697.2,36491.56,37751.45
Annual,Thousand hectares,Forest,Protected area,European Union - 28 countries (2013-2020),3025.37,21309.66,28697.2,36869.06,28853.56
Annual,Thousand hectares,Forest,Protected area,Finland,:,2590.0,3237.0,3812.0,3812.0
Annual,Thousand hectares,Forest,Protected area,France,:,:,:,6179.99,6179.99 e
Annual,Thousand hectares,Forest,Protected area,Croatia,164.0,199.0,214.0,231.0,272.0
Annual,Thousand hectares,Forest,Protected area,Hungary,316.21,322.62,424.41,872.03,874.37
Annual,Thousand hectares,Forest,Protected area,Ireland,4.25,6.47,6.47,6.47,6.47
Annual,Thousand hectares,Forest,Protected area,Italy,:,2874.0,3959.86,4162.86,4162.86
Annual,Thousand hectares,Forest,Protected area,Lithuania,:,322.0,370.0,375.0,377.0
Annual,Thousand hectares,Forest,Protected area,Luxembourg,0.0,0.0,0.0,:,:
Annual,Thousand hectares,Forest,Protected area,Latvia,:,561.06,511.63,530.79,549.4
Annual,Thousand hectares,Forest,Protected area,Netherlands,:,83.0,87.0,90.0,92.0
Annual,Thousand hectares,Forest,Protected area,Poland,30.0,1623.0,1698.0,1607.4,1607.5
Annual,Thousand hectares,Forest,Protected area,Portugal,:,1554.2,1554.2,:,1070.11
Annual,Thousand hectares,Forest,Protected area,Romania,:,:,538.9,538.9 e,538.9 e
Annual,Thousand hectares,Forest,Protected area,Sweden,825.82,1873.78,1953.43,2117.07,2168.75
Annual,Thousand hectares,Forest,Protected area,Slovenia,69.7,135.4,238.1,237.2,257.0
