Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Percentage,Pre-primary to tertiary education,Austria,4.5,4.0,4.3,4.0,3.9,3.9,4.1,4.5,4.8,4.2
Annual,Percentage,Pre-primary to tertiary education,Belgium,5.5,5.4,5.4,5.5,5.4,5.3,5.4,6.0,5.4,5.9
Annual,Percentage,Pre-primary to tertiary education,Bulgaria,17.5,22.2,21.2,21.3,21.6,20.4,18.4,16.5,15.5,18.6
Annual,Percentage,Pre-primary to tertiary education,Switzerland,:,1.4,1.4,1.3,1.3,1.4,1.4,:,1.2,1.2
Annual,Percentage,Pre-primary to tertiary education,Cyprus,6.4,5.3,4.8,5.3,4.2,3.9,3.9,3.8,3.4,3.3
Annual,Percentage,Pre-primary to tertiary education,Czechia,3.5,3.7,3.6,3.4,3.6,3.2,2.8,2.5,2.5,2.4
Annual,Percentage,Pre-primary to tertiary education,Germany,10.3,10.0,9.6,9.4,9.0,8.7,8.6,8.7 d,9.1 d,7.4 d
Annual,Percentage,Pre-primary to tertiary education,Denmark,: d,: d,:,:,16.4,16.8,15.7,15.8,16.5,15.4
Annual,Percentage,Pre-primary to tertiary education,Estonia,4.0 d,3.1 d,: d,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Pre-primary to tertiary education,Greece,0.2 d,0.2 d,0.2 d,0.1 d,:,0.2,0.2,0.2,:,:
Annual,Percentage,Pre-primary to tertiary education,Spain,3.7,3.5,4.3,4.1,4.1,4.3,4.2,4.0,3.9,4.3
Annual,Percentage,Pre-primary to tertiary education,European Union - 27 countries (from 2020),:,:,:,:,:,5.3 d,5.1 d,5.8 d,5.9 d,5.3 d
Annual,Percentage,Pre-primary to tertiary education,European Union - 28 countries (2013-2020),:,:,:,:,:,5.7 d,5.6 d,6.2 d,:,:
Annual,Percentage,Pre-primary to tertiary education,Finland,5.9 d,5.9,6.0,6.0,6.0,5.0,3.6,3.4,3.4,3.3
Annual,Percentage,Pre-primary to tertiary education,France,4.2,4.3 d,4.3,4.4,4.4,4.3,4.3,4.2,4.8,4.3
Annual,Percentage,Pre-primary to tertiary education,Croatia,:,: d,: d,:,0.0 d,: d,: d,: d,: d,: d
Annual,Percentage,Pre-primary to tertiary education,Hungary,5.6,5.7,: d,5.1 e,3.5,4.1,3.2,4.6,4.4,3.7
Annual,Percentage,Pre-primary to tertiary education,Ireland,8.8,9.1,9.4,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Pre-primary to tertiary education,Iceland,6.5,6.6 d,6.0,5.5,6.4,3.8,: d,: d,: d,: d
Annual,Percentage,Pre-primary to tertiary education,Italy,6.2,6.1,6.7,6.5,6.7,6.4,7.1,7.3,7.5,8.1
Annual,Percentage,Pre-primary to tertiary education,Liechtenstein,:,: d,: d,: d,: d,:,:,:,:,:
Annual,Percentage,Pre-primary to tertiary education,Lithuania,3.4 d,: d,3.2,3.3,3.2,3.2,2.8,2.8,2.1,2.2
Annual,Percentage,Pre-primary to tertiary education,Luxembourg,2.5,:,1.9,1.6,2.1,1.6,1.5,1.6,1.5,1.5
Annual,Percentage,Pre-primary to tertiary education,Latvia,5.6,4.4,3.3,3.3,3.9,3.4,2.7,2.8,2.8,2.9
Annual,Percentage,Pre-primary to tertiary education,Malta,8.0,7.2,8.3,7.0,6.3,6.4,6.0,5.5,5.5,5.5
Annual,Percentage,Pre-primary to tertiary education,Netherlands,11.0,11.5,13.3,11.8,15.1,12.0,15.2,12.9,12.3,12.0
Annual,Percentage,Pre-primary to tertiary education,Norway,: d,12.8 d,15.4,10.7,10.7,11.0,10.9,11.1,12.4,12.7
Annual,Percentage,Pre-primary to tertiary education,Poland,3.5,4.4,4.3 d,3.8,3.7,3.7,3.6,3.1,2.5,2.4
Annual,Percentage,Pre-primary to tertiary education,Portugal,: d,5.2,5.0 d,5.2 d,5.1,5.2,5.1,6.0,6.7,6.4
Annual,Percentage,Pre-primary to tertiary education,Romania,4.8,4.5,2.2,2.0,2.5,4.5,4.3,3.7,3.9,4.9
Annual,Percentage,Pre-primary to tertiary education,Serbia,:,:,:,0.0,:,: d,:,:,:,:
Annual,Percentage,Pre-primary to tertiary education,Sweden,:,10.1,10.1,10.2,9.6,9.5,9.5,10.0,10.9,11.2
Annual,Percentage,Pre-primary to tertiary education,Slovenia,5.1,4.1,4.6,5.1,5.0,4.6,8.2,8.2,7.3,7.4
Annual,Percentage,Pre-primary to tertiary education,Slovakia,:,5.2,4.7,3.9,4.2,4.4,4.0,3.6,3.4,3.5
Annual,Percentage,Pre-primary to tertiary education,Türkiye,: d,:,:,: d,7.6,7.8,8.3,7.5,6.9,7.0
Annual,Percentage,Pre-primary to tertiary education,United Kingdom,6.5,7.0,14.4,16.4 b,17.3,17.5,18.3,18.4,:,:
Annual,Percentage,Primary education,Austria,1.3,1.7,0.9,0.9,0.8,0.7,0.7,0.4,0.4,0.3
Annual,Percentage,Primary education,Belgium,1.3,0.9,0.7,0.8,0.8,0.8,0.9,0.7,0.7,0.6
Annual,Percentage,Primary education,Bulgaria,21.4,29.4,28.3,28.6,28.7,28.8,25.5,22.0,19.9,24.6
Annual,Percentage,Primary education,Switzerland,0.7,0.5,0.5,0.5,0.5,0.5,0.5,:,0.2,0.3
Annual,Percentage,Primary education,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Primary education,Czechia,3.2,3.1,2.9,2.6,2.7,2.3,2.1,1.9,1.8,1.9
Annual,Percentage,Primary education,Germany,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.9
Annual,Percentage,Primary education,Denmark,0.1,0.1,0.5,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Primary education,Estonia,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Primary education,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Percentage,Primary education,Spain,1.1,1.1,1.5,1.5,1.6,1.8,1.6,1.4,1.1,1.0
Annual,Percentage,Primary education,European Union - 27 countries (from 2020),1.1 d,1.1 d,1.4 d,1.5 d,:,1.4,1.3,1.3,1.0 d,1.4 d
Annual,Percentage,Primary education,European Union - 28 countries (2013-2020),:,:,:,:,:,1.3,1.2,1.3,:,:
Annual,Percentage,Primary education,Finland,0.0 d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Primary education,France,3.3,3.3,3.4,3.4,3.4,3.2,3.1,3.0,3.7,2.8
Annual,Percentage,Primary education,Croatia,:,:,:,:,0.0 d,: m,: m,: d,: d,: d
Annual,Percentage,Primary education,Hungary,3.6,4.0,6.3,5.2,2.5,1.8,1.4,1.7,1.1,1.8
Annual,Percentage,Primary education,Ireland,1.0,1.2,1.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2
Annual,Percentage,Primary education,Iceland,: m,: m,: m,: m,: m,: m,: m,: d,: d,: d
Annual,Percentage,Primary education,Italy,1.3,1.5,1.6,1.6,1.6,1.1,2.0,1.6,1.4,1.4
Annual,Percentage,Primary education,Lithuania,1.1,1.1,1.2,1.1,0.9,0.9,0.9,1.0,0.6,0.5
Annual,Percentage,Primary education,Luxembourg,1.9,1.6,1.1,1.0,1.2,0.6,0.6,0.6,0.6,0.5
Annual,Percentage,Primary education,Latvia,0.7,0.5,0.5,0.4,0.4,0.2,0.1,0.2,0.3,0.2
Annual,Percentage,Primary education,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Primary education,Netherlands,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Percentage,Primary education,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Primary education,Poland,0.6,2.4,2.4,2.3,2.1,2.3,2.9,1.9,1.1,1.5
Annual,Percentage,Primary education,Portugal,2.2,2.6,2.3,2.1,2.6,2.5,2.9,4.1,5.5,4.7
Annual,Percentage,Primary education,Romania,1.1,0.6,0.7,0.7,0.8,0.7,0.6,0.5,0.5,0.9
Annual,Percentage,Primary education,Serbia,:,:,:,:,:,: d,:,:,:,:
Annual,Percentage,Primary education,Sweden,:,0.0,0.0,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Primary education,Slovenia,0.0,: m,: m,: m,: m,: m,3.7,3.6,2.7,2.5
Annual,Percentage,Primary education,Slovakia,:,0.0,0.0,0.0,: m,0.4,0.4,0.3,0.6,0.5
Annual,Percentage,Primary education,Türkiye,2.4,2.3,1.7,2.2,2.4,2.7,2.2,2.6,1.8,2.5
Annual,Percentage,Primary education,United Kingdom,: m,: m,0.0,0.0 b,0.0,0.0,0.0,0.0,:,:
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Austria,1.0,1.4,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.3
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Belgium,1.6,1.2,1.1,1.1,1.1,1.1,1.3,1.1,1.0,1.2
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Bulgaria,19.8,27.3,26.0,26.2,26.1,26.7,22.6,19.6,18.0,22.6
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Switzerland,0.6,0.5,0.5,0.5,0.5,0.5,0.5,:,0.2,0.3
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Cyprus,1.2,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Czechia,3.0,3.0,2.9,2.7,2.7,2.4,2.1,1.8,1.8,1.7
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Germany,0.7,0.6,0.6,0.5,0.4,0.5,0.4,0.4,0.4,0.9
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Denmark,0.1,0.1,0.4,:,2.2,2.4,1.9,2.0,1.9,1.6
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Estonia,1.7,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Spain,0.8,0.8,1.1,1.1,1.1,1.3,1.2,1.1,0.8,0.8
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),European Union - 27 countries (from 2020),1.3 d,1.3 d,1.6 d,1.7 d,:,1.7 d,1.5 d,1.7 d,1.4 d,1.7 d
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),European Union - 28 countries (2013-2020),:,:,:,:,:,1.6 d,1.5 d,1.6 d,:,:
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Finland,0.0 d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),France,3.4,3.5,3.5,3.5,3.5,3.4,3.4,3.3,3.9,3.1
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Croatia,:,:,:,:,0.0 d,: d,: d,: d,: d,: d
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Hungary,3.6,4.5,6.0,5.1,2.4,1.8,1.5,1.8,1.3,1.9
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Ireland,1.8,1.9,1.9,2.2 d,2.2,2.1,2.2,2.5,2.5,2.0
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Iceland,: m,: m,: m,: m,: m,: m,: m,: d,: d,: d
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Italy,1.4,1.5,1.6,1.6,1.5,1.1,2.0,1.6,1.5,1.6
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Lithuania,1.2,1.2,1.3,1.3,1.0,1.0,1.0,1.0,0.6,0.6
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Luxembourg,1.8,1.6,1.3,1.3,1.7,1.1,1.0,1.0,0.9,0.9
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Latvia,0.7,0.5,0.5,0.4,0.4,0.2,0.2,0.2,0.3,0.2
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Malta,0.2,0.2,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Netherlands,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Norway,0.0,0.0,0.0,0.2,0.3,0.4,0.5,0.6,0.7,0.6
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Poland,0.8,2.9,2.8,2.1,1.9,2.0,2.2,1.9,0.8,1.1
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Portugal,2.1,2.7,2.3,2.3,3.1,3.0,3.4,4.5,5.0,4.8
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Romania,1.2,1.0,0.9,1.1,1.5,1.5,1.3,1.2,1.4,2.9
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Serbia,:,:,:,0.0,:,: d,:,:,:,:
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Sweden,:,0.7,0.7,0.7,0.6,0.5,0.5,0.7,0.8,0.8
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Slovenia,0.0,: m,: m,: m,: m,: m,3.7,3.6,2.8,2.5
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Slovakia,:,0.0,0.0,0.0,0.0,0.5,0.4,0.4,0.5,0.5
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),Türkiye,2.3,2.2,2.0,2.3,2.4,2.7,2.2,2.6,1.8,2.4
Annual,Percentage,Primary and lower secondary education (levels 1 and 2),United Kingdom,0.0,: m,0.0,0.0 b,0.0,0.0,0.1,0.0,:,:
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Austria,5.7,4.5,5.5,5.2,5.1,5.1,5.1,3.8,4.1,3.4
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Belgium,4.8,4.8,4.9,5.1,5.1,4.9,5.0,5.6,4.9,5.5
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bulgaria,12.9,16.9,17.8,17.9,16.8,15.8,15.2,12.9,11.5,14.0
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Switzerland,:,2.7,2.8,2.8,2.8,3.0,3.3,:,3.6,3.5
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Cyprus,2.9,1.1,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.8
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Czechia,3.7,3.9,4.0,3.8,4.0,3.8,3.2,3.0,2.9,3.0
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Germany,20.0,19.6,18.5,17.9,17.3,16.7,16.7,16.6 d,17.2 d,9.4 d
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Denmark,:,25.9,24.2,:,22.3,21.8,17.1,18.3,20.5,18.4
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Estonia,4.7,2.8,2.9,3.7,4.0,3.7,3.3,3.8,3.7,3.0
