Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Minute,From 15 to 24 years,Females,Austria,32.6,47.7,31.0
Annual,Minute,From 15 to 24 years,Females,Belgium,37.0,36.5,29.8
Annual,Minute,From 15 to 24 years,Females,Bulgaria,31.1 u,46.3,28.5 u
Annual,Minute,From 15 to 24 years,Females,Cyprus,27.2 u,26.5 u,20.3
Annual,Minute,From 15 to 24 years,Females,Czechia,36.5,53.2 u,36.8 u
Annual,Minute,From 15 to 24 years,Females,Germany,48.2,41.8,42.3
Annual,Minute,From 15 to 24 years,Females,Denmark,31.9,32.3,41.0
Annual,Minute,From 15 to 24 years,Females,Estonia,57.8 u,42.1 u,49.7 u
Annual,Minute,From 15 to 24 years,Females,Greece,36.3,30.9 u,26.5 u
Annual,Minute,From 15 to 24 years,Females,Spain,32.8,39.0,39.9
Annual,Minute,From 15 to 24 years,Females,European Union - 27 countries (from 2020),37.6,40.5,35.7
Annual,Minute,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),39.1,42.1,37.3
Annual,Minute,From 15 to 24 years,Females,Finland,34.4,43.9,35.0 u
Annual,Minute,From 15 to 24 years,Females,France,36.3,47.4,37.1
Annual,Minute,From 15 to 24 years,Females,Croatia,36.4,33.6 u,34.1 u
Annual,Minute,From 15 to 24 years,Females,Hungary,51.2 u,66.7 u,36.2 u
Annual,Minute,From 15 to 24 years,Females,Ireland,30.6,30.4,46.5
Annual,Minute,From 15 to 24 years,Females,Italy,33.1,28.5,28.8 u
Annual,Minute,From 15 to 24 years,Females,Lithuania,40.2,30.8 u,31.6
Annual,Minute,From 15 to 24 years,Females,Luxembourg,45.5 u,40.8,40.7 u
Annual,Minute,From 15 to 24 years,Females,Latvia,51.3,56.7 u,46.4 u
Annual,Minute,From 15 to 24 years,Females,Malta,37.6,40.4,44.9
Annual,Minute,From 15 to 24 years,Females,Netherlands,42.8 u,36.8,34.2
Annual,Minute,From 15 to 24 years,Females,Poland,48.0,47.7,35.4
Annual,Minute,From 15 to 24 years,Females,Portugal,24.9,23.3 u,24.1 u
Annual,Minute,From 15 to 24 years,Females,Romania,45.3,66.4 u,33.7 u
Annual,Minute,From 15 to 24 years,Females,Sweden,29.0 u,50.0 u,39.6
Annual,Minute,From 15 to 24 years,Females,Slovenia,37.8 u,29.3,32.6 u
Annual,Minute,From 15 to 24 years,Females,Slovakia,37.2,45.4 u,40.0 u
Annual,Minute,From 15 to 24 years,Females,United Kingdom,37.9,42.7,38.5
Annual,Minute,From 15 to 24 years,Males,Austria,42.0,31.9,34.1
Annual,Minute,From 15 to 24 years,Males,Belgium,38.0,40.6,45.1
Annual,Minute,From 15 to 24 years,Males,Bulgaria,32.4,32.5 u,43.7 u
Annual,Minute,From 15 to 24 years,Males,Cyprus,41.0 u,25.1 u,18.4
Annual,Minute,From 15 to 24 years,Males,Czechia,39.1,40.7 u,25.5 u
Annual,Minute,From 15 to 24 years,Males,Germany,39.7,41.6,43.3
Annual,Minute,From 15 to 24 years,Males,Denmark,34.3,30.5,37.4
Annual,Minute,From 15 to 24 years,Males,Estonia,51.6 u,64.6 u,48.2 u
Annual,Minute,From 15 to 24 years,Males,Greece,25.8,25.5,35.9 u
Annual,Minute,From 15 to 24 years,Males,Spain,31.4,37.9,33.5
Annual,Minute,From 15 to 24 years,Males,European Union - 27 countries (from 2020),37.1,38.1,37.8
Annual,Minute,From 15 to 24 years,Males,European Union - 28 countries (2013-2020),35.6,38.9,41.8
Annual,Minute,From 15 to 24 years,Males,Finland,32.6,30.0,35.2 u
Annual,Minute,From 15 to 24 years,Males,France,32.2,40.8,37.5
Annual,Minute,From 15 to 24 years,Males,Croatia,36.5,35.0,26.7 u
Annual,Minute,From 15 to 24 years,Males,Hungary,49.5,50.0 u,55.3 u
Annual,Minute,From 15 to 24 years,Males,Ireland,45.7,36.0,45.4
Annual,Minute,From 15 to 24 years,Males,Italy,23.4,30.9,22.0 u
Annual,Minute,From 15 to 24 years,Males,Lithuania,44.3,40.4,40.5 u
Annual,Minute,From 15 to 24 years,Males,Luxembourg,39.5 u,43.7,50.7 u
Annual,Minute,From 15 to 24 years,Males,Latvia,40.8,45.4,60.6 u
Annual,Minute,From 15 to 24 years,Males,Malta,33.3,39.7,45.1
Annual,Minute,From 15 to 24 years,Males,Netherlands,44.5,35.7,26.7
Annual,Minute,From 15 to 24 years,Males,Poland,44.2,43.5,29.5
Annual,Minute,From 15 to 24 years,Males,Portugal,32.0,24.1 u,28.8 u
Annual,Minute,From 15 to 24 years,Males,Romania,50.4,50.6 u,54.3 u
Annual,Minute,From 15 to 24 years,Males,Sweden,24.1 u,35.0 u,50.0
Annual,Minute,From 15 to 24 years,Males,Slovenia,27.5,31.0,28.5
Annual,Minute,From 15 to 24 years,Males,Slovakia,36.1 u,35.5 u,30.2 u
Annual,Minute,From 15 to 24 years,Males,United Kingdom,34.5,39.9,57.1
Annual,Minute,From 15 to 24 years,Total,Austria,37.7,39.2,32.5
Annual,Minute,From 15 to 24 years,Total,Belgium,37.5,38.7,37.7
Annual,Minute,From 15 to 24 years,Total,Bulgaria,31.9,38.1,37.4
Annual,Minute,From 15 to 24 years,Total,Cyprus,35.5,25.8 u,19.5
Annual,Minute,From 15 to 24 years,Total,Czechia,38.1,46.0,31.3
Annual,Minute,From 15 to 24 years,Total,Germany,43.5,41.7,42.9
Annual,Minute,From 15 to 24 years,Total,Denmark,33.2,31.4,39.1
Annual,Minute,From 15 to 24 years,Total,Estonia,54.0,54.1,48.9
Annual,Minute,From 15 to 24 years,Total,Greece,31.0,27.7,31.7
Annual,Minute,From 15 to 24 years,Total,Spain,31.9,38.4,36.6
Annual,Minute,From 15 to 24 years,Total,European Union - 27 countries (from 2020),37.2,39.2,36.8
Annual,Minute,From 15 to 24 years,Total,European Union - 28 countries (2013-2020),37.2,40.4,39.7
Annual,Minute,From 15 to 24 years,Total,Finland,33.5,37.5,35.0 u
