Time frequency,Customer,Components of energy prices,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Household,Network distribution costs,6000.0,PC,MD,100.0,100.0,100.0,100.0,100.0,94.5837,95.3226
Annual,Household,Network distribution costs,6000.0,PC,ME,82.97,82.9,83.0,83.0,83.0,83.0,83.0
Annual,Household,Network distribution costs,6000.0,PC,MK,78.6897,78.223,86.2,85.08,81.78,85.8858,89.2
Annual,Household,Network distribution costs,6000.0,PC,NL,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0
Annual,Household,Network distribution costs,6000.0,PC,NO,80.8,77.6937,74.8,71.4,68.6,73.3,81.4169
Annual,Household,Network distribution costs,6000.0,PC,PL,69.1911,71.7748,85.7483,85.603,69.5705,69.326,72.393
Annual,Household,Network distribution costs,6000.0,PC,PT,86.0,85.419,86.6,86.6,86.5,85.0,84.8
Annual,Household,Network distribution costs,6000.0,PC,RO,85.1792 e,85.0129 e,84.8975 e,84.8687 e,85.6439 e,86.0887,87.6245 e
Annual,Household,Network distribution costs,6000.0,PC,RS,80.7233,80.5614,81.3017,81.9006,84.7373,82.1519,81.8259
Annual,Household,Network distribution costs,6000.0,PC,SE,87.79,87.79,87.79,88.31,88.31,88.31,88.31
Annual,Household,Network distribution costs,6000.0,PC,SI,75.6,76.1,75.01,76.4,73.247,74.91,75.0
Annual,Household,Network distribution costs,6000.0,PC,SK,89.6200 e,90.16,91.17,91.8,91.32,91.55,95.47
Annual,Household,Network distribution costs,6000.0,PC,TR,83.02,83.8870 e,83.5,81.9016,82.87,82.6,78.52
Annual,Household,Network distribution costs,6000.0,PC,UK,70.0,70.0,70.0,:,:,:,:
Annual,Household,Network distribution costs,6000.0,PC,XK,84.606,88.5667,79.0237,81.7403,84.1994,89.5518,87.3311
Annual,Household,Network transmission costs,4100.0,PC,AL,:,:,:,:,100.0000 e,:,:
Annual,Household,Network transmission costs,4100.0,PC,AT,19.0000 e,20.0000 e,21.0000 e,20.5000 e,20.2000 e,28.7000 e,28.7000 e
Annual,Household,Network transmission costs,4100.0,PC,BA,86.0,86.0,87.0,87.0,87.0,91.0,92.0
Annual,Household,Network transmission costs,4100.0,PC,BE,10.0251 e,9.4316,9.43,10.05,10.12,9.77,10.0
Annual,Household,Network transmission costs,4100.0,PC,BG,9.64,11.61,10.5908,10.6746,13.9564,15.0417,16.3686
Annual,Household,Network transmission costs,4100.0,PC,CZ,4.0,5.0,6.0,5.0,5.0,6.8,8.4
Annual,Household,Network transmission costs,4100.0,PC,DE,:,:,15.14,15.85,13.5,21.6,17.71
Annual,Household,Network transmission costs,4100.0,PC,DK,6.0,7.0,9.0,9.0,10.0,9.0,9.0
Annual,Household,Network transmission costs,4100.0,PC,EE,23.0,23.0,43.0,43.0,47.0,47.0000 u,47.0000 u
Annual,Household,Network transmission costs,4100.0,PC,EL,: @C,16.62,15.78,13.14,14.1834,12.8994,10.9722
Annual,Household,Network transmission costs,4100.0,PC,ES,:,:,35.1500 e,36.34,35.62,17.2761,25.174
Annual,Household,Network transmission costs,4100.0,PC,FR,20.2935,22.4176,22.3503,19.3586,20.2327,19.4395,15.9067
Annual,Household,Network transmission costs,4100.0,PC,GE,:,12.0,11.0,10.0,8.8,9.0,7.0
Annual,Household,Network transmission costs,4100.0,PC,HR,25.86,24.39,17.61,18.3183,22.28,27.41,25.56
Annual,Household,Network transmission costs,4100.0,PC,HU,43.0977 e,43.1000 e,67.9394,13.2613,35.0889,34.3893,34.3893
Annual,Household,Network transmission costs,4100.0,PC,IE,31.1958,24.8209,25.7137,:,:,:,28.6
Annual,Household,Network transmission costs,4100.0,PC,IT,:,:,24.932,24.6028,24.4299,34.1205,44.026
Annual,Household,Network transmission costs,4100.0,PC,LT,20.2229,17.9809,14.5015,21.9297,16.7739,7.2314,6.2718
Annual,Household,Network transmission costs,4100.0,PC,LU,7.89,13.74,14.64,14.64,13.67,13.95,:
Annual,Household,Network transmission costs,4100.0,PC,LV,12.3,12.82,14.44,12.72,11.85,9.7576,7.8
Annual,Household,Network transmission costs,4100.0,PC,MD,3.1,2.6997,2.75,2.6892,17.2591,9.2504,6.2103
Annual,Household,Network transmission costs,4100.0,PC,MK,92.9379,24.45,9.41,11.7,10.2688,31.5,0.2
Annual,Household,Network transmission costs,4100.0,PC,NL,18.0000 e,18.0000 e,18.0000 e,18.0000 e,18.0000 e,18.0000 e,:
Annual,Household,Network transmission costs,4100.0,PC,PL,32.902,37.7029,0.0033,0.0268,0.0738,0.4454,0.541
Annual,Household,Network transmission costs,4100.0,PC,PT,3.0,3.58,3.5,2.1,1.2,1.07,1.18
Annual,Household,Network transmission costs,4100.0,PC,RO,22.4086 e,20.0692 e,19.6472,17.3636,17.6334,21.1376,19.4983
Annual,Household,Network transmission costs,4100.0,PC,RS,0.0,0.0,0.0,0.0,0.0,:,77.73
Annual,Household,Network transmission costs,4100.0,PC,SE,33.02,33.02,33.02,33.02,32.0,32.0,:
Annual,Household,Network transmission costs,4100.0,PC,SI,19.0,22.0,20.5000 e,28.0,28.0,29.0,43.0
Annual,Household,Network transmission costs,4100.0,PC,SK,11.77,12.4,12.4,14.15,17.59,16.51,13.88
Annual,Household,Network transmission costs,4100.0,PC,TR,17.0000 e,14.0000 e,14.0,18.0,15.65,11.25,14.4981
Annual,Household,Network transmission costs,4100.0,PC,UK,7.0,7.0,7.0,:,:,:,:
Annual,Household,Network transmission costs,6000.0,PC,AL,:,:,:,13.5379 e,13.5379 e,11.69,11.6919 e
Annual,Household,Network transmission costs,6000.0,PC,AT,18.0000 e,21.0000 e,17.7,15.3000 e,15.9000 e,16.7000 e,16.7000 e
Annual,Household,Network transmission costs,6000.0,PC,BA,19.65,20.5063,22.1449,21.6768,21.6072,20.7241,20.6066
Annual,Household,Network transmission costs,6000.0,PC,BE,11.6512,11.6512,11.7,12.3,12.43,12.88,13.0
Annual,Household,Network transmission costs,6000.0,PC,BG,19.5,20.2747,20.0,20.0,21.0,21.0,22.11
Annual,Household,Network transmission costs,6000.0,PC,CY,:,31.8759,30.4197,29.956,29.0983,27.0982,25.2127
Annual,Household,Network transmission costs,6000.0,PC,CZ,9.0,11.0,9.0,12.0,17.0,15.8,16.0
Annual,Household,Network transmission costs,6000.0,PC,DE,:,:,24.46,23.39,24.4,23.7,32.6
Annual,Household,Network transmission costs,6000.0,PC,DK,21.0,20.0,20.0,25.0,28.0,26.0,20.0
Annual,Household,Network transmission costs,6000.0,PC,EE,23.0,23.0,25.0,25.0,37.0,33.0000 u,33.0000 u
Annual,Household,Network transmission costs,6000.0,PC,EL,19.93,20.0,19.98,20.04,20.37,21.6388,22.61
Annual,Household,Network transmission costs,6000.0,PC,ES,:,:,23.1128,20.2097,24.6,28.81,21.6946
Annual,Household,Network transmission costs,6000.0,PC,FI,15.0,10.0,10.0,10.0,10.0,10.0,10.0
Annual,Household,Network transmission costs,6000.0,PC,FR,21.2174,21.2839,21.497,20.6762,20.3864,19.3742,8.5961
Annual,Household,Network transmission costs,6000.0,PC,GE,:,22.7,22.7,22.7,22.7,23.0,20.1
Annual,Household,Network transmission costs,6000.0,PC,HR,26.67,26.63,26.6237,26.5342,26.7816,27.1107,27.422
Annual,Household,Network transmission costs,6000.0,PC,HU,20.3825 e,18.1188,17.2653,22.7406,25.008,41.068,40.4901
Annual,Household,Network transmission costs,6000.0,PC,IE,17.1116,20.35,23.0,20.8054,24.5785,32.0,36.0
Annual,Household,Network transmission costs,6000.0,PC,IS,:,:,24.0000 e,23.0,24.5,22.3000 e,21.3354 e
Annual,Household,Network transmission costs,6000.0,PC,IT,:,:,15.1023,16.7058,17.4816,17.31,17.8
Annual,Household,Network transmission costs,6000.0,PC,LT,27.4359,27.9155,27.6688,29.6296,27.3567,36.0377,15.52
Annual,Household,Network transmission costs,6000.0,PC,LU,0.0,0.0,0.0,0.0,0.0,0.01,0.0001
Annual,Household,Network transmission costs,6000.0,PC,LV,22.66,22.1,20.93,22.7884,22.0653,21.5637,15.1115
Annual,Household,Network transmission costs,6000.0,PC,MD,:,:,0.0,0.0,0.0,5.4163,4.6774
Annual,Household,Network transmission costs,6000.0,PC,ME,17.03,17.1,17.0,17.0,17.0,17.0,17.0
Annual,Household,Network transmission costs,6000.0,PC,MK,21.3103,21.777,13.8,14.92,18.22,14.1142,10.8
Annual,Household,Network transmission costs,6000.0,PC,NL,18.0000 e,18.0000 e,18.0000 e,18.0000 e,18.0000 e,18.0000 e,18.0
Annual,Household,Network transmission costs,6000.0,PC,NO,19.2,22.3063,25.2,28.6,31.4,26.7,18.5831
Annual,Household,Network transmission costs,6000.0,PC,PL,30.8089,28.2252,14.2517,14.397,30.4295,30.674,27.607
Annual,Household,Network transmission costs,6000.0,PC,PT,14.0,14.581,13.4,13.4,13.5,15.0,15.2
Annual,Household,Network transmission costs,6000.0,PC,RO,14.8208 e,14.9871 e,15.1025 e,15.1313 e,14.3561 e,13.9113,12.3755 e
Annual,Household,Network transmission costs,6000.0,PC,RS,19.2767,19.4386,18.6983,18.0994,15.2627,17.8481,18.1741
Annual,Household,Network transmission costs,6000.0,PC,SE,12.21,12.21,12.21,11.69,11.69,11.69,11.69
Annual,Household,Network transmission costs,6000.0,PC,SI,24.4,23.9,24.99,23.6,26.753,25.09,25.0
Annual,Household,Network transmission costs,6000.0,PC,SK,10.3800 e,9.84,8.83,8.2,8.68,8.45,4.53
Annual,Household,Network transmission costs,6000.0,PC,TR,16.98,16.1130 e,16.5,18.0984,17.13,17.4,21.48
Annual,Household,Network transmission costs,6000.0,PC,UK,30.0,30.0,30.0,:,:,:,:
Annual,Household,Network transmission costs,6000.0,PC,XK,15.394,11.4333,20.9763,18.2597,15.8006,10.4482,12.6689
Annual,Non-household,Network distribution costs,4100.0,PC,AT,81.0000 e,80.0000 e,79.0000 e,79.5000 e,79.8000 e,71.3000 e,71.3000 e
Annual,Non-household,Network distribution costs,4100.0,PC,BA,34.0,34.0,31.0,31.0,33.0,23.0,22.0
Annual,Non-household,Network distribution costs,4100.0,PC,BE,68.0639 e,69.6787,69.7,68.5832,68.22,68.8,69.0
Annual,Non-household,Network distribution costs,4100.0,PC,BG,55.24,55.27,62.3239,54.9113,51.6134,54.7077,50.0637
Annual,Non-household,Network distribution costs,4100.0,PC,CZ,92.2335,94.4191,94.2252,6.0045,92.6363,91.4736,86.7806
Annual,Non-household,Network distribution costs,4100.0,PC,DE,:,:,84.86,84.15,86.5,78.4,82.29
Annual,Non-household,Network distribution costs,4100.0,PC,DK,89.0,87.0,87.0,87.0,84.0,87.0,83.0
Annual,Non-household,Network distribution costs,4100.0,PC,EE,64.0000 e,: u,: u,: u,: u,53.0000 u,53.0000 u
Annual,Non-household,Network distribution costs,4100.0,PC,EL,: @C,48.52,58.31,69.58,72.6723,75.1097,70.9547
Annual,Non-household,Network distribution costs,4100.0,PC,ES,:,:,63.5400 e,63.2012,63.39,67.6314,70.316
Annual,Non-household,Network distribution costs,4100.0,PC,FI,8.5000 e,8.5000 e,8.5000 e,10.0000 e,30.0,25.0,30.0
Annual,Non-household,Network distribution costs,4100.0,PC,FR,57.8638,54.5723,56.7695,58.1923,53.502,58.5058,50.6375
Annual,Non-household,Network distribution costs,4100.0,PC,GE,:,82.0,82.0,65.0,86.2,85.0,89.0
Annual,Non-household,Network distribution costs,4100.0,PC,HR,63.42,64.36,70.11,73.8978,61.31,54.29,55.13
Annual,Non-household,Network distribution costs,4100.0,PC,HU,56.9000 e,56.9023 e,32.06,86.7387,64.9111,64.1549,65.6107
Annual,Non-household,Network distribution costs,4100.0,PC,IE,55.0443,57.8889,57.07,:,:,:,57.0
Annual,Non-household,Network distribution costs,4100.0,PC,IT,:,:,52.1674,48.8666,46.6012,40.7584,38.1819
Annual,Non-household,Network distribution costs,4100.0,PC,LT,67.3303,73.96,69.5417,73.1817,72.5397,85.7709,85.5206
Annual,Non-household,Network distribution costs,4100.0,PC,LU,77.04,62.83,64.82,65.75,66.2,65.15,:
Annual,Non-household,Network distribution costs,4100.0,PC,LV,70.67,68.34,65.82,69.3,71.04,73.29,78.61
Annual,Non-household,Network distribution costs,4100.0,PC,MD,96.9,97.3003,97.25,97.3108,85.4746,81.7937,92.377
Annual,Non-household,Network distribution costs,4100.0,PC,MK,8.0955,47.423,5.4,:,19.2484,68.74,83.8
Annual,Non-household,Network distribution costs,4100.0,PC,NL,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0000 e,:
Annual,Non-household,Network distribution costs,4100.0,PC,PL,: u,62.2971,86.2403,91.8315,92.5886,88.8924,89.3087
Annual,Non-household,Network distribution costs,4100.0,PC,PT,93.0,84.87,86.05,89.714,94.51,95.813,95.103
Annual,Non-household,Network distribution costs,4100.0,PC,RO,67.3285 e,69.7979 e,70.5338,73.5024,73.5024,70.1129,75.5423
Annual,Non-household,Network distribution costs,4100.0,PC,RS,27.02,30.1786,35.6522,35.5686,41.9358,49.38,53.7
Annual,Non-household,Network distribution costs,4100.0,PC,SE,66.98,66.98,66.98,66.98,68.0,68.0,:
Annual,Non-household,Network distribution costs,4100.0,PC,SI,71.0,71.0,71.0,69.0,70.0,71.0,45.0
Annual,Non-household,Network distribution costs,4100.0,PC,SK,78.53,74.7,75.3,72.88,71.23,74.92,76.66
Annual,Non-household,Network distribution costs,4100.0,PC,TR,58.0000 e,55.0000 e,55.0,63.0,65.06,54.58,66.2939
Annual,Non-household,Network distribution costs,4100.0,PC,UK,92.9,93.0,93.0,:,:,:,:
Annual,Non-household,Network distribution costs,6000.0,PC,AL,:,:,:,:,86.4621 e,84.7,84.6570 e
Annual,Non-household,Network distribution costs,6000.0,PC,AT,82.0000 e,79.0000 e,82.3,84.7000 e,84.1000 e,83.3000 e,83.3000 e
Annual,Non-household,Network distribution costs,6000.0,PC,BA,68.49,70.32,67.9776,68.4541,68.3199,68.6839,70.8715
Annual,Non-household,Network distribution costs,6000.0,PC,BE,43.3122 e,43.4426,43.0,42.4,42.47,42.19,42.0
Annual,Non-household,Network distribution costs,6000.0,PC,BG,67.4,66.3,68.02,66.14,67.32,64.67,63.77
Annual,Non-household,Network distribution costs,6000.0,PC,CY,:,60.9534,61.5112,62.3661,62.6487,65.2683,67.4
Annual,Non-household,Network distribution costs,6000.0,PC,CZ,: @C,: @C,: @C,: @C,91.1700 e,88.5000 e,87.9100 e
Annual,Non-household,Network distribution costs,6000.0,PC,DE,:,:,75.5,76.61,75.6,76.3,67.4
Annual,Non-household,Network distribution costs,6000.0,PC,DK,58.0,57.0,59.0,52.0,42.0,42.0,40.0
Annual,Non-household,Network distribution costs,6000.0,PC,EE,63.0000 e,63.0000 e,65.0000 e,: u,: u,67.0000 u,67.0
Annual,Non-household,Network distribution costs,6000.0,PC,EL,69.26,57.25,58.4,58.3,63.41,62.36,65.61
Annual,Non-household,Network distribution costs,6000.0,PC,ES,:,:,76.8872,79.7903,75.4,71.19,78.3054
Annual,Non-household,Network distribution costs,6000.0,PC,FI,75.0,80.0,80.0,80.0,80.0000 e,80.0000 e,80.0000 e
Annual,Non-household,Network distribution costs,6000.0,PC,FR,62.2143,60.5521,60.1979,61.4262,60.7801,65.9597,93.5842
Annual,Non-household,Network distribution costs,6000.0,PC,GE,:,37.5,37.5,37.5,37.3,37.0,75.0
Annual,Non-household,Network distribution costs,6000.0,PC,HR,69.69,69.5,67.0,67.0115,66.86,66.1175,66.7984
Annual,Non-household,Network distribution costs,6000.0,PC,HU,79.6175 e,81.8812,82.7347,77.2594,74.992,58.932,59.5099
Annual,Non-household,Network distribution costs,6000.0,PC,IE,69.8541,65.2935,57.0871,59.0333,70.2539,50.8,47.23
Annual,Non-household,Network distribution costs,6000.0,PC,IS,:,60.0000 e,:,:,:,72.2100 e,71.6900 e
Annual,Non-household,Network distribution costs,6000.0,PC,IT,:,:,59.5144,45.744,43.6033,39.99,40.77
