Time frequency,Unit of measure,Type of activity,Tourism indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand,Collective tourist accommodation establishments,Number of bed-places,Israel,163.0,162.0,164.0,166.0,162.0,160.0,160.0,159.0,165.0,163.0,166.7,170.2,174.0,179.0
Annual,Thousand,Collective tourist accommodation establishments,Number of bed-places,Jordan,40.0,42.0,42.0,43.0,44.0,46.0,46.0,47.0,50.0,51.9,53.0,54.0,56.0,56.0
Annual,Thousand,Collective tourist accommodation establishments,Number of bed-places,Morocco,124.0 dp,133.0 dp,143.0 dp,153.0 de,165.0 dp,173.0 de,184.0 de,194.0 dp,207.6 dp,222.0 dp,231.0 dp,242.7 dp,251.2 dp,261.3 dp
Annual,Thousand,Hotels and similar establishments,Number of bed-places,Algeria,83.9,84.9,85.0,85.9,86.4,92.4,92.7,96.9,98.8,99.6,102.2,107.4,112.3,119.2
Annual,Thousand,Hotels and similar establishments,Number of bed-places,Egypt,237.0,255.0,267.0,267.0,301.0,283.0,254.0,242.0,256.0,235.8,204.7,202.3,:,:
Annual,Thousand,Hotels and similar establishments,Number of bed-places,Israel,115.0 d,114.0 d,116.0 d,116.0 d,114.0 d,112.0 d,111.0 d,112.0 d,116.0 d,120.4 d,123.8 d,127.6 d,131.3 d,136.0 d
Annual,Thousand,Hotels and similar establishments,Number of bed-places,Jordan,20.8 d,22.0 d,22.0 d,23.0 d,23.0 d,24.0 d,24.0 d,25.0 d,26.0 d,27.0 d,28.0 d,28.0 d,29.0 d,30.0 d
Annual,Thousand,Hotels and similar establishments,Number of bed-places,Libya,23.1,25.5,26.4,27.7,28.8,29.2,:,:,:,:,:,:,:,:
Annual,Thousand,Hotels and similar establishments,Number of bed-places,Morocco,124.0 p,133.0 p,143.0,153.0,165.0 p,173.0,184.0,194.0 p,207.6 p,222.0 p,231.0 p,242.7 p,251.2 p,261.3 p
Annual,Thousand,Hotels and similar establishments,Number of bed-places,Palestine*,7.7 d,8.4 d,8.8 d,9.5 d,9.8 d,10.5 d,11.7 d,11.9 d,13.5 d,15.0 d,15.0 d,15.0 d,16.0 d,16.0 d
Annual,Thousand,Hotels and similar establishments,Number of bed-places,Tunisia,230.0 d,232.0 d,236.0 d,238.0 d,240.0 d,242.0 d,242.0 d,242.0 d,240.2 d,240.1 d,241.4 d,235.0 d,:,:
