Time frequency,Unit of measure,Transport coverage,Geopolitical entity (reporting)\Time,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Passenger,International transport,Belgium,84000.0,80000.0,75000.0,67000.0,51000.0,43000.0,40000.0,44000.0,45000.0,51000.0,49000.0,43000.0,43000.0,39000.0,60588.0,67006.0,25161.0,23640.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,International transport,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,568.0,607.0,928.0,4536.0,5869.0,4804.0,6263.0,10147.0,11938.0,23862.0,21991.0,24135.0,24905.0
Annual,Passenger,International transport,Germany,:,:,171000.0,126000.0,110000.0,:,:,:,:,:,:,:,:,383148.0,402141.0,303853.0,:,:,:,:,:,:,:,:,:,:,:,:,9866121.0,10807000.0,:,:,:,:
Annual,Passenger,International transport,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4689.0,1309.0,1204.0,491.0,:,:,:,:,:,: m,: m,:,: m,: m,:,:,:,:
Annual,Passenger,International transport,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,:,: m,: m,: m,: m,: m,: m,: m
Annual,Passenger,International transport,France,205000.0,224000.0,213000.0,197000.0,173000.0,153000.0,162000.0,170000.0,175000.0,187000.0,189000.0,169000.0,159000.0,154000.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,International transport,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m
Annual,Passenger,International transport,Italy,54000.0,59000.0,56000.0,54000.0,47000.0,41000.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,International transport,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Passenger,International transport,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Passenger,International transport,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Passenger,International transport,Netherlands,40000.0,49000.0,44000.0,37000.0,30000.0,25000.0,27000.0,29000.0,34000.0,42000.0,44000.0,38000.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,International transport,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Passenger,International transport,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,:,: m,: m,: m,: m,:
Annual,Passenger,International transport,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Passenger,International transport,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,65.532,152.88,119.491,203.556,:,:,:,:,:,:,:,:,30713.0,:,:,:,:,:,:,11194.0
Annual,Passenger,International transport,United Kingdom,2000.0,2000.0,1000.0,1000.0,1000.0,1000.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,National transport,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Passenger,National transport,Germany,:,:,242000.0,220000.0,215000.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2217152164.0,2319340000.0,:,:,:,:
Annual,Passenger,National transport,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5605.0,7088.0,:,9250.0,7622.0,:,:,:,:
Annual,Passenger,National transport,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20900.0,10790.0,:,:,:,:,:,:,:
Annual,Passenger,National transport,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,:,: m,: m,: m,: m,: m,: m,: m
Annual,Passenger,National transport,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m
Annual,Passenger,National transport,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Passenger,National transport,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Passenger,National transport,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Passenger,National transport,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Passenger,National transport,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,:,: m,: m,: m,: m,: m
Annual,Passenger,National transport,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,42795.0,39107.0,28691.0,26930.0,22211.0,22932.0,32690.0,30515.0,17712.0,14989.0,13725.0,13910.0,13593.0
Annual,Passenger,National transport,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,National transport,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,51565.0,49485.0,39790.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,Total transport,Belgium,84000.0,80000.0,75000.0,67000.0,51000.0,43000.0,40000.0,44000.0,45000.0,51000.0,49000.0,43000.0,43000.0,39000.0,60588.0,67006.0,25161.0,23640.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,Total transport,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,568.0,607.0,928.0,4536.0,5869.0,4804.0,6263.0,10147.0,11938.0,23862.0,21991.0,24135.0,24905.0
Annual,Passenger,Total transport,Germany,:,:,413000.0,346000.0,325000.0,275000.0,298000.0,347000.0,366000.0,364000.0,367000.0,393000.0,399000.0,383000.0,:,:,:,:,:,322737.0,:,:,:,:,:,:,:,:,2226952171.0,2330178000.0,:,:,:,:
Annual,Passenger,Total transport,Greece,1788000.0,1661000.0,1409000.0,1455000.0,1410000.0,1448000.0,1475000.0,1436000.0,1381000.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5605.0,5605.0,7088.0,9203.0,9250.0,7622.0,:,:,:,:
Annual,Passenger,Total transport,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20900.0,10790.0,:,:,:,:,:,:,:
Annual,Passenger,Total transport,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,:,: m,: m,: m,: m,: m,: m,: m
Annual,Passenger,Total transport,France,625000.0,670000.0,693000.0,677000.0,686000.0,668000.0,716000.0,755000.0,750000.0,816000.0,840000.0,774000.0,:,639000.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,Total transport,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m
Annual,Passenger,Total transport,Italy,166000.0,170000.0,170000.0,179000.0,166000.0,170000.0,:,:,:,:,:,:,:,:,:,:,190500.0,229127.0,231647.0,215947.0,208220.0,209019.0,188552.0,176534.0,:,:,:,:,:,:,:,:,:,:
Annual,Passenger,Total transport,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
