Time frequency,Unit of measure,Statistical information,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Austria,: u,34.5,24.6,23.4,31.0,19.9,21.1,23.6,30.5,27.2,31.4,23.5,24.9,20.8,26.0,32.5 u,35.4,21.5,17.8,28.3,27.8
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Belgium,: u,27.4,27.2,28.7,33.6,37.9,30.9,32.2,32.2,38.7,42.5,37.4,41.5,36.8,32.2,27.1,31.8,29.2,52.6,31.5,29.5
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Bulgaria,31.1,36.4,33.0,40.4,40.2,44.9,45.9,50.4,52.9,52.6,45.6,40.9,44.4,50.1,51.5,53.1,57.4,52.0 u,43.8,33.6,45.6
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Czechia,51.0,38.0,33.5,46.0,49.4,66.6,52.6,49.6,49.0,49.4,31.6,50.8,54.7,46.8,51.9,63.2,54.8,53.4,51.8,37.4,75.4
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Germany,26.1,28.0,21.8,21.4,21.1,23.2,24.7,23.7,21.8,23.7,24.8,26.4,24.2,18.8,21.3,21.1,19.1,: u,22.9 u,22.8 u,21.8 u
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Denmark,: m,: m,: m,: m,12.6,9.1,18.7,8.8,8.1,8.7,10.4,11.2,15.5,17.2,19.0,15.8,9.5,14.3,16.2,11.8,16.8
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Greece,37.4,29.3,27.0,33.6,39.4,36.1,34.3,31.0,31.0,34.5,45.1,45.3,44.1,48.0,65.0,41.1,51.8 u,56.8 u,: u,87.6,76.3 u
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Spain,23.0,24.7,21.7,22.1,21.3,20.5,18.0,20.5,20.3,17.7,21.0,22.4,21.3,22.5,24.6,23.4,25.4,28.2,25.7,39.0,28.6
