Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Structure of earnings indicator,Geopolitical entity (reporting)\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Belgium,49.0,48.8,47.5,47.6,46.2,45.5,45.7,45.5,45.3,47.3,:
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Bulgaria,29.5,32.2,35.4,38.8,40.4,41.4,46.6,44.7,42.1,40.4,39.0
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Czechia,:,31.0,34.2,36.9,38.1,38.4,39.1,39.7,38.1,35.0,34.1
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Germany,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Estonia,:,:,:,30.5,32.4,34.6,33.2,30.5,30.4,34.1,:
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Greece,:,56.0,52.9,54.7,48.8,47.7,48.7,47.7,46.4,49.5,:
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Spain,:,34.7,34.2,33.5,32.9,33.6,35.1,35.8,36.5,36.5,:
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Finland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,France,:,:,:,:,:,:,:,:,46.9,46.5,:
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,37.8,37.8
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Hungary,:,:,:,42.1,42.2 b,41.2,41.3,41.7,39.8,38.8,:
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Ireland,: m,:,:,:,43.4,:,:,39.7,38.6,:,:
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Italy,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Industry and services (except public administration and community services; activities of households and extra-territorial organizations),Monthly minimum wage as a proportion of the mean gross monthly earnings,Lithuania,43.9,44.9,44.7,43.7,42.1,45.4,44.9,42.1,38.7,40.1,42.3
