Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,St. Hr.  (Km 286. 5 ) - Cadca,Goods trains,5922.0
Annual,Number,St. Hr.  (Km 286. 5 ) - Cadca,Other trains,32.0
Annual,Number,St. Hr.  (Km 286. 5 ) - Cadca,Passenger trains,7526.0
Annual,Number,Cadca - Zilina,Goods trains,6000.0
Annual,Number,Cadca - Zilina,Other trains,278.0
Annual,Number,Cadca - Zilina,Passenger trains,10601.0
Annual,Number,Zilina - Vrutky,Goods trains,8113.0
Annual,Number,Zilina - Vrutky,Other trains,812.0
Annual,Number,Zilina - Vrutky,Passenger trains,16528.0
Annual,Number,Vrutky - Kralovany,Goods trains,6380.0
Annual,Number,Vrutky - Kralovany,Other trains,378.0
Annual,Number,Vrutky - Kralovany,Passenger trains,12780.0
Annual,Number,Kralovany - Liptovsky Mikulas,Goods trains,6444.0
Annual,Number,Kralovany - Liptovsky Mikulas,Other trains,361.0
Annual,Number,Kralovany - Liptovsky Mikulas,Passenger trains,12286.0
Annual,Number,Liptovsky Mikulas - Strba,Goods trains,6294.0
Annual,Number,Liptovsky Mikulas - Strba,Other trains,410.0
Annual,Number,Liptovsky Mikulas - Strba,Passenger trains,10047.0
Annual,Number,Strba - Poprad ? Tatry,Goods trains,6209.0
Annual,Number,Strba - Poprad ? Tatry,Other trains,397.0
Annual,Number,Strba - Poprad ? Tatry,Passenger trains,10033.0
Annual,Number,Poprad - Tatry - Spisska Nova Ves,Goods trains,6444.0
Annual,Number,Poprad - Tatry - Spisska Nova Ves,Other trains,348.0
Annual,Number,Poprad - Tatry - Spisska Nova Ves,Passenger trains,12370.0
Annual,Number,Spisska Nova Ves - Margecany,Goods trains,6172.0
Annual,Number,Spisska Nova Ves - Margecany,Other trains,361.0
Annual,Number,Spisska Nova Ves - Margecany,Passenger trains,12765.0
Annual,Number,Margecany - Kysak,Goods trains,6255.0
Annual,Number,Margecany - Kysak,Other trains,508.0
Annual,Number,Margecany - Kysak,Passenger trains,12589.0
Annual,Number,Kysak - Kosice,Goods trains,7481.0
Annual,Number,Kysak - Kosice,Other trains,595.0
Annual,Number,Kysak - Kosice,Passenger trains,18168.0
Annual,Number,Kosice - Michalany,Goods trains,4886.0
Annual,Number,Kosice - Michalany,Other trains,561.0
Annual,Number,Kosice - Michalany,Passenger trains,7359.0
Annual,Number,Michalany - Cierna Nad Tisou,Goods trains,3768.0
Annual,Number,Michalany - Cierna Nad Tisou,Other trains,346.0
Annual,Number,Michalany - Cierna Nad Tisou,Passenger trains,4401.0
