Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
Annual,Government Budget as a share of GDP (%),Israel,35.1 d,36.8 d,37.4 d,37.2 d,35.0 d,33.7 d,33.5 d,32.1 d,31.2 d,31.3 d,30.2 d,29.7 d,29.9 d,30.2 d,30.1 d,: d
Annual,Government Budget as a share of GDP (%),Morocco,25.7,33.3,30.6,29.0,27.3,28.8,29.7,32.5,32.6,36.4,30.0,25.1,29.1,28.8,26.9,25.3
Annual,Government Budget as a share of GDP (%),Tunisia,35.2,33.0,34.3,31.4,33.1,30.5,29.8,29.3,28.8,28.7,28.2,31.8,33.4,34.8,32.7,:
Annual,"Total annual public expenditure in regular education (current and capital) as a percentage of  GDP (ISCED levels 0-1, 2, 3-4, 5-6) (%)",Egypt,:,:,:,:,3.3,3.6,4.6,3.2,3.0,3.1,3.0,:,:,:,:,:
Annual,"Total annual public expenditure in regular education (current and capital) as a percentage of  GDP (ISCED levels 0-1, 2, 3-4, 5-6) (%)",Israel,6.3 d,6.6 d,6.6 d,6.2 d,5.9 d,5.7 d,5.5 d,5.5 d,5.7 d,5.8 d,5.9 d,5.9 d,6.2 d,6.3 d,6.3 d,: d
Annual,"Total annual public expenditure in regular education (current and capital) as a percentage of  GDP (ISCED levels 0-1, 2, 3-4, 5-6) (%)",Morocco,5.2,5.8,5.7,6.0,5.8,7.3,6.1,6.0,5.5,6.2,6.0,5.3,5.1,6.4,6.1,5.8
Annual,"Total annual public expenditure in regular education (current and capital) as a percentage of  GDP (ISCED levels 0-1, 2, 3-4, 5-6) (%)",Tunisia,5.6,5.8,6.2,6.7,6.6,6.6,6.5,6.5,6.3,6.5,6.5,6.7,6.7,6.5,6.2,:
Annual,"Total annual public expenditure in regular education (current and capital) as a percentage of  total Government Expenditure (ISCED levels 0-1, 2, 3-4, 5-6) (%)",Egypt,:,:,:,:,9.6,10.8,12.0,9.4,9.1,8.5,9.3,:,:,:,:,:
Annual,"Total annual public expenditure in regular education (current and capital) as a percentage of  total Government Expenditure (ISCED levels 0-1, 2, 3-4, 5-6) (%)",Israel,13.8 d,13.8 d,13.6 d,12.9 d,13.2 d,13.2 d,12.9 d,13.4 d,14.1 d,14.1 d,14.5 d,14.8 d,15.4 d,15.7 d,15.7 d,: d
Annual,"Total annual public expenditure in regular education (current and capital) as a percentage of  total Government Expenditure (ISCED levels 0-1, 2, 3-4, 5-6) (%)",Morocco,26.3,24.5,27.4,29.6,28.5,29.0,27.6,26.6,21.4,28.7,25.6,27.9,28.7,36.5,34.5,34.3
Annual,"Total annual public expenditure in regular education (current and capital) as a percentage of  total Government Expenditure (ISCED levels 0-1, 2, 3-4, 5-6) (%)",Tunisia,16.8,17.5,18.4,19.9,19.7,19.9,20.3,20.1,18.0,18.9,18.4,16.5,15.5,15.6,15.4,:
Annual,Public investment in education as a share of GDP (%),Israel,0.5 d,0.5 d,0.4 d,0.4 d,0.4 d,0.3 d,0.3 d,0.3 d,0.4 d,0.4 d,0.4 d,0.4 d,0.4 d,0.4 d,0.4 d,: d
Annual,Public investment in education as a share of GDP (%),Morocco,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.7,0.6,0.8,0.8,0.8,0.8
Annual,Public investment in education as a share of GDP (%),Tunisia,0.4,0.5,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.4,0.3,:
