Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Industry (except construction),Hour,Austria,6.2,7.0,4.4
Annual,Industry (except construction),Hour,Belgium,14.4,15.1,9.8
Annual,Industry (except construction),Hour,Bulgaria,2.9,5.1,3.6
Annual,Industry (except construction),Hour,Cyprus,3.6,2.7,1.1
Annual,Industry (except construction),Hour,Czechia,5.1,6.6 b,5.2
Annual,Industry (except construction),Hour,Germany,6.1,6.6,5.0
Annual,Industry (except construction),Hour,Denmark,9.5,4.1,2.2
Annual,Industry (except construction),Hour,Estonia,3.8,12.5,3.5
Annual,Industry (except construction),Hour,Greece,1.8,2.0,2.1
Annual,Industry (except construction),Hour,Spain,6.2,7.8,2.2
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),6.0,6.6,5.0
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),5.6,6.5,:
Annual,Industry (except construction),Hour,Finland,6.2,5.0,3.4
Annual,Industry (except construction),Hour,France,9.2,9.9,7.5
Annual,Industry (except construction),Hour,Croatia,2.5,3.5,3.1
Annual,Industry (except construction),Hour,Hungary,3.3,2.8,2.1 b
Annual,Industry (except construction),Hour,Ireland,:,16.3,5.3
Annual,Industry (except construction),Hour,Italy,4.0,5.5,6.1
Annual,Industry (except construction),Hour,Lithuania,2.9,3.3,3.4
Annual,Industry (except construction),Hour,Luxembourg,12.1,12.8,4.6
Annual,Industry (except construction),Hour,Latvia,2.1,2.2,1.7
Annual,Industry (except construction),Hour,North Macedonia,:,2.2,2.9
Annual,Industry (except construction),Hour,Malta,8.7,9.5,7.8
Annual,Industry (except construction),Hour,Netherlands,9.5,9.8,7.7
Annual,Industry (except construction),Hour,Norway,7.8,6.5,7.7
Annual,Industry (except construction),Hour,Poland,4.1,4.4,3.7
Annual,Industry (except construction),Hour,Portugal,9.7,6.7,5.6
Annual,Industry (except construction),Hour,Romania,4.2,5.4,3.7
Annual,Industry (except construction),Hour,Serbia,:,:,3.2
Annual,Industry (except construction),Hour,Sweden,6.0,6.6 b,5.6 b
Annual,Industry (except construction),Hour,Slovenia,10.7,10.4,6.5
Annual,Industry (except construction),Hour,Slovakia,7.4,6.1,4.7
Annual,Industry (except construction),Hour,United Kingdom,2.7,4.9,:
Annual,Construction,Hour,Austria,4.7,4.7,3.3
Annual,Construction,Hour,Belgium,7.3,8.2,5.5
Annual,Construction,Hour,Bulgaria,3.3,2.0,1.1
Annual,Construction,Hour,Cyprus,1.4,1.4,1.0
Annual,Construction,Hour,Czechia,5.0,8.2 b,6.3
Annual,Construction,Hour,Germany,3.1,4.0,3.1
Annual,Construction,Hour,Denmark,34.6,3.9,1.1
Annual,Construction,Hour,Estonia,5.5,3.6,3.2
Annual,Construction,Hour,Greece,0.6,0.5,0.6
Annual,Construction,Hour,Spain,6.0,6.3,2.1
Annual,Construction,Hour,European Union - 27 countries (from 2020),4.8,4.8,3.8
Annual,Construction,Hour,European Union - 28 countries (2013-2020),5.0,5.4,:
Annual,Construction,Hour,Finland,3.4,4.6,2.2
Annual,Construction,Hour,France,5.7,6.3,5.4
Annual,Construction,Hour,Croatia,2.4,2.0,1.1
Annual,Construction,Hour,Hungary,2.3,1.8,1.2 b
Annual,Construction,Hour,Ireland,:,11.4,5.8
Annual,Construction,Hour,Italy,3.6,5.2,9.1
Annual,Construction,Hour,Lithuania,3.3,2.1,2.5
Annual,Construction,Hour,Luxembourg,7.4,4.5,4.5
Annual,Construction,Hour,Latvia,1.5,4.2,2.3
Annual,Construction,Hour,North Macedonia,:,0.7,0.5
Annual,Construction,Hour,Malta,0.3,0.5,0.4
Annual,Construction,Hour,Netherlands,8.3,8.7,8.7
Annual,Construction,Hour,Norway,6.2,7.4,7.2
Annual,Construction,Hour,Poland,2.0,2.5,1.6
Annual,Construction,Hour,Portugal,7.1,5.9,3.0
Annual,Construction,Hour,Romania,1.6,1.8,0.8
Annual,Construction,Hour,Serbia,:,:,0.8
Annual,Construction,Hour,Sweden,4.7,4.7 b,4.0 b
Annual,Construction,Hour,Slovenia,7.2,1.8,1.1
Annual,Construction,Hour,Slovakia,4.9,5.5,7.5
Annual,Construction,Hour,United Kingdom,6.2,8.7,:
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Austria,4.6,5.2,3.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Belgium,9.0,10.6,5.8
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Bulgaria,1.9,2.5,1.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Cyprus,3.1,3.2,1.4
