Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of total public expenditure,Algeria,12.3 di,14.8 di,9.7 di,8.3 di,11.0 di,12.0 di,12.9 di,9.1 di,13.0 di,11.5 di,10.1 di,11.2 di,10.1 di,9.4 di,10.0 di,11.3 di,11.2 di,:
Annual,Percentage of total public expenditure,Egypt,:,13.9 di,14.4 di,13.7 di,11.8 di,13.7 di,12.6 di,13.8 di,15.6 di,11.6 di,11.4 di,11.5 di,:,:,:,:,:,:
Annual,Percentage of total public expenditure,Israel,9.9 di,9.8 di,10.1 di,10.8 di,9.7 di,11.3 di,11.4 di,11.8 di,12.4 bdi,12.8 di,14.4 di,14.6 di,15.3 di,14.7 di,15.5 di,14.4 di,15.7 di,16.5 di
Annual,Percentage of total public expenditure,Palestine*,:,:,:,:,:,:,5.1 i,5.0 i,5.1 i,4.4 i,4.6 i,5.2 i,5.0 i,5.1 i,5.1 i,4.9 i,5.3 i,6.0 i
