Time frequency,Unit of measure,Sex,Age class,Income situation in relation to the risk of poverty threshold,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Albania,:,:,:,:,:,2.4,1.1,1.2,1.0,1.1,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Austria,1.9,1.8,1.6,1.8,2.0,1.5,1.9,1.9,1.4,1.8,2.0,1.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Belgium,5.1,4.4,4.5,4.5,4.5,4.5,3.5,4.1 b,3.5,3.8,4.0,4.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Bulgaria,6.0,7.9,5.2,6.4,10.4 b,9.4,8.7,6.6,5.9,4.3,4.7,3.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Switzerland,4.8,5.0,6.0 b,5.8,6.4,5.7,6.7,6.3,6.6,7.3,6.1,6.6
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Cyprus,1.6,1.8,2.2,2.1,1.3,1.4,1.2,0.9,1.0,1.4,1.2,1.6
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Czechia,6.2,7.9,6.9,6.3,5.7,5.1,4.2,3.4,3.1,3.2,3.6,5.0
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Germany,9.9,10.1,8.3,8.4,9.1,7.9,7.5,8.0,3.3 b,5.1,6.9,7.9 b
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Denmark,9.5,10.2,8.5,7.9,7.1,7.4,6.8,7.2,6.5 b,7.5,6.8,7.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Euro area - 19 countries  (2015-2022),5.4,5.7,5.5,5.5,5.1,4.7,4.4,4.7,3.2,3.6 e,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Euro area – 20 countries (from 2023),:,:,5.5,5.5,5.1,4.6,4.3,4.6,3.2,3.7,4.0,4.2
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Estonia,2.6,2.2,2.0 b,1.6,0.9,1.1,0.6,1.2,1.1,0.7,1.2,1.8
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Greece,15.8,19.9,31.2,32.3,26.7,26.8,27.8,24.8,22.5,17.1,13.3,15.1
Annual,Percentage,Total,Total,Above 60% of median equivalised income,Spain,3.0,3.2,2.7,2.5,2.6,2.5,2.3,2.5,2.2,2.6,2.4,2.3
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 27 countries (2007-2013),5.5,5.8,5.7,5.6,5.3,4.9,4.6,4.7 e,:,:,:,:
Annual,Percentage,Total,Total,Above 60% of median equivalised income,European Union - 27 countries (from 2020),5.7,6.0,5.6 e,5.4 e,5.0 e,4.5 e,4.2 e,4.3 e,3.0,3.4,3.9,4.1
