Time frequency,Person/support service,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,"Health, social or support service or police",Percentage,Austria,23.7
Annual,"Health, social or support service or police",Percentage,Belgium,39.2
Annual,"Health, social or support service or police",Percentage,Bulgaria,34.6
Annual,"Health, social or support service or police",Percentage,Cyprus,37.7
Annual,"Health, social or support service or police",Percentage,Czechia,22.5
Annual,"Health, social or support service or police",Percentage,Germany,23.8
Annual,"Health, social or support service or police",Percentage,Denmark,: u
Annual,"Health, social or support service or police",Percentage,Estonia,29.9
Annual,"Health, social or support service or police",Percentage,Greece,24.5
Annual,"Health, social or support service or police",Percentage,Spain,28.0
Annual,"Health, social or support service or police",Percentage,European Union (aggregate changing according to the context),26.7 e
Annual,"Health, social or support service or police",Percentage,Finland,22.8
Annual,"Health, social or support service or police",Percentage,France,: u
Annual,"Health, social or support service or police",Percentage,Croatia,20.9
Annual,"Health, social or support service or police",Percentage,Hungary,15.8
Annual,"Health, social or support service or police",Percentage,Ireland,35.7
Annual,"Health, social or support service or police",Percentage,Lithuania,27.3
Annual,"Health, social or support service or police",Percentage,Luxembourg,33.9
Annual,"Health, social or support service or police",Percentage,Latvia,31.6
Annual,"Health, social or support service or police",Percentage,Montenegro,: u
Annual,"Health, social or support service or police",Percentage,Malta,48.2
Annual,"Health, social or support service or police",Percentage,Netherlands,26.9
Annual,"Health, social or support service or police",Percentage,Poland,34.0
Annual,"Health, social or support service or police",Percentage,Portugal,29.7 u
Annual,"Health, social or support service or police",Percentage,Romania,27.0
Annual,"Health, social or support service or police",Percentage,Serbia,31.2
Annual,"Health, social or support service or police",Percentage,Sweden,27.5
Annual,"Health, social or support service or police",Percentage,Slovenia,27.2
Annual,"Health, social or support service or police",Percentage,Slovakia,: u
Annual,"Health, social or support service or police",Percentage,Kosovo*,: u
Annual,Police,Percentage,Austria,13.5
Annual,Police,Percentage,Belgium,27.0
Annual,Police,Percentage,Bulgaria,14.8 u
Annual,Police,Percentage,Cyprus,14.6
Annual,Police,Percentage,Czechia,11.0 u
Annual,Police,Percentage,Germany,10.9
Annual,Police,Percentage,Denmark,: u
Annual,Police,Percentage,Estonia,20.5
Annual,Police,Percentage,Greece,13.5
Annual,Police,Percentage,Spain,17.4
Annual,Police,Percentage,European Union (aggregate changing according to the context),13.9 e
Annual,Police,Percentage,Finland,10.0
Annual,Police,Percentage,France,: u
Annual,Police,Percentage,Croatia,14.1
Annual,Police,Percentage,Hungary,5.9
Annual,Police,Percentage,Ireland,16.8
Annual,Police,Percentage,Lithuania,20.1
Annual,Police,Percentage,Luxembourg,15.8
Annual,Police,Percentage,Latvia,23.1
Annual,Police,Percentage,Montenegro,: u
Annual,Police,Percentage,Malta,31.5
Annual,Police,Percentage,Netherlands,9.6
Annual,Police,Percentage,Poland,25.8
Annual,Police,Percentage,Portugal,19.8 u
Annual,Police,Percentage,Romania,8.7
Annual,Police,Percentage,Serbia,21.4
Annual,Police,Percentage,Sweden,12.6
Annual,Police,Percentage,Slovenia,21.3
Annual,Police,Percentage,Slovakia,: u
Annual,Police,Percentage,Kosovo*,: u
Annual,Support service,Percentage,Austria,7.8
Annual,Support service,Percentage,Belgium,8.0
Annual,Support service,Percentage,Bulgaria,10.1
Annual,Support service,Percentage,Cyprus,5.5 u
Annual,Support service,Percentage,Czechia,5.7 u
Annual,Support service,Percentage,Germany,: u
Annual,Support service,Percentage,Denmark,: u
Annual,Support service,Percentage,Estonia,7.0
Annual,Support service,Percentage,Greece,5.0
Annual,Support service,Percentage,Spain,10.2
Annual,Support service,Percentage,European Union (aggregate changing according to the context),6.4 e
Annual,Support service,Percentage,Finland,6.0
Annual,Support service,Percentage,France,: u
Annual,Support service,Percentage,Croatia,5.1 u
Annual,Support service,Percentage,Hungary,2.8 u
Annual,Support service,Percentage,Ireland,9.2 u
Annual,Support service,Percentage,Lithuania,5.3 u
Annual,Support service,Percentage,Luxembourg,6.0
Annual,Support service,Percentage,Latvia,5.1 u
Annual,Support service,Percentage,Montenegro,: u
Annual,Support service,Percentage,Malta,18.0
Annual,Support service,Percentage,Netherlands,7.4
Annual,Support service,Percentage,Poland,10.1
Annual,Support service,Percentage,Portugal,6.2
Annual,Support service,Percentage,Romania,4.0 u
Annual,Support service,Percentage,Serbia,6.5 u
Annual,Support service,Percentage,Sweden,7.8
Annual,Support service,Percentage,Slovenia,: u
Annual,Support service,Percentage,Slovakia,: u
Annual,Support service,Percentage,Kosovo*,: u
