Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Siilinjarvi - Viinijarvi,Goods trains,651.0
Annual,Number,Siilinjarvi - Viinijarvi,Passenger trains,0.0
Annual,Number,Kontiomaki - Vartius,Goods trains,925.0
Annual,Number,Kontiomaki - Vartius,Passenger trains,0.0
Annual,Number,Iisalmi - Haapajarvi,Goods trains,774.0
Annual,Number,Iisalmi - Haapajarvi,Passenger trains,635.0
Annual,Number,Haapajarvi - Ylivieska,Goods trains,983.0
Annual,Number,Haapajarvi - Ylivieska,Passenger trains,635.0
Annual,Number,Tampere - Orivesi,Goods trains,4134.0
Annual,Number,Tampere - Orivesi,Passenger trains,4378.0
Annual,Number,Orivesi - Jamsankoski,Goods trains,2490.0
Annual,Number,Orivesi - Jamsankoski,Passenger trains,3346.0
Annual,Number,Jamsankoski - Jyvaskyla,Goods trains,1707.0
Annual,Number,Jamsankoski - Jyvaskyla,Passenger trains,3347.0
Annual,Number,Jyvaskyla - Pieksamaki,Goods trains,1460.0
Annual,Number,Jyvaskyla - Pieksamaki,Passenger trains,2336.0
Annual,Number,Kerava - Skoldvik,Goods trains,864.0
Annual,Number,Kerava - Skoldvik,Passenger trains,0.0
Annual,Number,Kontiomaki - Oulu,Goods trains,2347.0
Annual,Number,Kontiomaki - Oulu,Passenger trains,1451.0
Annual,Number,Imatrankoski - Imatra,Goods trains,3186.0
Annual,Number,Imatrankoski - Imatra,Passenger trains,0.0
Annual,Number,Kerava - Lahti,Goods trains,0.0
Annual,Number,Kerava - Lahti,Passenger trains,0.0
Annual,Number,Pasila - Helsinki,Goods trains,0.0
Annual,Number,Pasila - Helsinki,Passenger trains,160187.0
Annual,Number,Huopalahti - Pasila,Goods trains,71.0
Annual,Number,Huopalahti - Pasila,Passenger trains,86014.0
Annual,Number,Leppavaara - Huopalahti,Goods trains,71.0
Annual,Number,Leppavaara - Huopalahti,Passenger trains,51747.0
Annual,Number,Espoo - Leppavaara,Goods trains,71.0
Annual,Number,Espoo - Leppavaara,Passenger trains,28882.0
Annual,Number,Kirkkonummi - Espoo,Goods trains,71.0
Annual,Number,Kirkkonummi - Espoo,Passenger trains,21672.0
Annual,Number,Karjaa - Kirkkonummi,Goods trains,55.0
Annual,Number,Karjaa - Kirkkonummi,Passenger trains,8071.0
Annual,Number,Turku - Karjaa,Goods trains,228.0
Annual,Number,Turku - Karjaa,Passenger trains,5815.0
Annual,Number,Hanko - Karjaa,Goods trains,1214.0
Annual,Number,Hanko - Karjaa,Passenger trains,2555.0
Annual,Number,Hyvinkaa - Karjaa,Goods trains,1462.0
Annual,Number,Hyvinkaa - Karjaa,Passenger trains,0.0
Annual,Number,Tikkurila - Pasila,Goods trains,1931.0
Annual,Number,Tikkurila - Pasila,Passenger trains,74174.0
Annual,Number,Kerava - Tikkurila,Goods trains,1931.0
Annual,Number,Kerava - Tikkurila,Passenger trains,53273.0
Annual,Number,Hyvinkaa - Kerava,Goods trains,2383.0
Annual,Number,Hyvinkaa - Kerava,Passenger trains,32391.0
Annual,Number,Riihimaki - Hyvinkaa,Goods trains,3921.0
Annual,Number,Riihimaki - Hyvinkaa,Passenger trains,32183.0
Annual,Number,Toijala - Riihimaki,Goods trains,4859.0
Annual,Number,Toijala - Riihimaki,Passenger trains,12160.0
Annual,Number,Tampere - Toijala,Goods trains,7356.0
Annual,Number,Tampere - Toijala,Passenger trains,14941.0
Annual,Number,Lielahti - Tampere,Goods trains,6798.0
Annual,Number,Lielahti - Tampere,Passenger trains,6564.0
Annual,Number,Parkano - Lielahti,Goods trains,3020.0
Annual,Number,Parkano - Lielahti,Passenger trains,4494.0
Annual,Number,Seinajoki - Parkano,Goods trains,2913.0
Annual,Number,Seinajoki - Parkano,Passenger trains,4493.0
Annual,Number,Kokkola - Seinajoki,Goods trains,2564.0
Annual,Number,Kokkola - Seinajoki,Passenger trains,4134.0
Annual,Number,Ylivieska - Kokkola,Goods trains,3555.0
Annual,Number,Ylivieska - Kokkola,Passenger trains,3874.0
Annual,Number,Tuomioja - Ylivieska,Goods trains,2820.0
Annual,Number,Tuomioja - Ylivieska,Passenger trains,3874.0
Annual,Number,Oulu - Tuomioja,Goods trains,2400.0
Annual,Number,Oulu - Tuomioja,Passenger trains,3874.0
Annual,Number,Kemi - Oulu,Goods trains,1682.0
Annual,Number,Kemi - Oulu,Passenger trains,2465.0
Annual,Number,Laurila - Kemi,Goods trains,2087.0
Annual,Number,Laurila - Kemi,Passenger trains,2464.0
Annual,Number,Rovaniemi - Laurila,Goods trains,694.0
Annual,Number,Rovaniemi - Laurila,Passenger trains,2213.0
Annual,Number,Toijala - Turku,Goods trains,1599.0
Annual,Number,Toijala - Turku,Passenger trains,3167.0
Annual,Number,Kokemaki - Lielahti,Goods trains,3347.0
Annual,Number,Kokemaki - Lielahti,Passenger trains,2070.0
Annual,Number,Pori - Kokemaki,Goods trains,1538.0
Annual,Number,Pori - Kokemaki,Passenger trains,2070.0
Annual,Number,Rauma - Kokemaki,Goods trains,2157.0
Annual,Number,Rauma - Kokemaki,Passenger trains,0.0
Annual,Number,Raahe - Tuomioja,Goods trains,1495.0
Annual,Number,Raahe - Tuomioja,Passenger trains,0.0
Annual,Number,Tornio - Laurila,Goods trains,1387.0
Annual,Number,Tornio - Laurila,Passenger trains,251.0
Annual,Number,Lahti - Riihimaki,Goods trains,3646.0
Annual,Number,Lahti - Riihimaki,Passenger trains,9667.0
Annual,Number,Kouvola - Lahti,Goods trains,4193.0
Annual,Number,Kouvola - Lahti,Passenger trains,7421.0
Annual,Number,Luumaki - Kouvola,Goods trains,7679.0
Annual,Number,Luumaki - Kouvola,Passenger trains,3337.0
Annual,Number,Lappeenranta - Luumaki,Goods trains,3834.0
Annual,Number,Lappeenranta - Luumaki,Passenger trains,2237.0
Annual,Number,Imatra - Lappeenranta,Goods trains,4494.0
Annual,Number,Imatra - Lappeenranta,Passenger trains,2237.0
Annual,Number,Parikkala - Imatra,Goods trains,2039.0
Annual,Number,Parikkala - Imatra,Passenger trains,1811.0
Annual,Number,Sakaniemi - Parikkala,Goods trains,1527.0
Annual,Number,Sakaniemi - Parikkala,Passenger trains,1812.0
Annual,Number,Niirala - Sakaniemi,Goods trains,2188.0
Annual,Number,Niirala - Sakaniemi,Passenger trains,0.0
Annual,Number,Joensuu - Sakaniemi,Goods trains,3197.0
Annual,Number,Joensuu - Sakaniemi,Passenger trains,1812.0
Annual,Number,Mikkeli - Kouvola,Goods trains,1731.0
Annual,Number,Mikkeli - Kouvola,Passenger trains,2235.0
Annual,Number,Pieksamaki - Mikkeli,Goods trains,1497.0
Annual,Number,Pieksamaki - Mikkeli,Passenger trains,2234.0
Annual,Number,Kuopio - Pieksamaki,Goods trains,1782.0
Annual,Number,Kuopio - Pieksamaki,Passenger trains,3108.0
Annual,Number,Siilinjarvi - Kuopio,Goods trains,1844.0
Annual,Number,Siilinjarvi - Kuopio,Passenger trains,2379.0
Annual,Number,Iisalmi - Siilinjarvi,Goods trains,1849.0
Annual,Number,Iisalmi - Siilinjarvi,Passenger trains,2379.0
Annual,Number,Kontiomaki - Iisalmi,Goods trains,881.0
Annual,Number,Kontiomaki - Iisalmi,Passenger trains,1731.0
Annual,Number,Kouvola - Juurikorpi,Goods trains,5954.0
Annual,Number,Kouvola - Juurikorpi,Passenger trains,2080.0
Annual,Number,Juurikorpi - Kotka,Goods trains,3488.0
Annual,Number,Juurikorpi - Kotka,Passenger trains,2079.0
Annual,Number,Hamina - Juurikorpi,Goods trains,2014.0
Annual,Number,Hamina - Juurikorpi,Passenger trains,0.0
Annual,Number,Vainikkala - Luumaki,Goods trains,3551.0
Annual,Number,Vainikkala - Luumaki,Passenger trains,1100.0
Annual,Number,Joensuu - Viinijarvi,Goods trains,1560.0
Annual,Number,Joensuu - Viinijarvi,Passenger trains,1131.0
Annual,Number,Viinijarvi - Siilinjarvi,Goods trains,873.0
Annual,Number,Viinijarvi - Siilinjarvi,Passenger trains,0.0
Annual,Number,Vartius - Kontiomaki,Goods trains,854.0
Annual,Number,Vartius - Kontiomaki,Passenger trains,0.0
Annual,Number,Haapajarvi - Iisalmi,Goods trains,900.0
Annual,Number,Haapajarvi - Iisalmi,Passenger trains,634.0
Annual,Number,Ylivieska - Haapajarvi,Goods trains,1072.0
Annual,Number,Ylivieska - Haapajarvi,Passenger trains,634.0
Annual,Number,Orivesi - Tampere,Goods trains,4699.0
Annual,Number,Orivesi - Tampere,Passenger trains,4865.0
Annual,Number,Jamsankoski - Orivesi,Goods trains,2830.0
Annual,Number,Jamsankoski - Orivesi,Passenger trains,3832.0
Annual,Number,Jyvaskyla - Jamsankoski,Goods trains,1998.0
Annual,Number,Jyvaskyla - Jamsankoski,Passenger trains,3832.0
Annual,Number,Pieksamaki - Jyvaskyla,Goods trains,1798.0
Annual,Number,Pieksamaki - Jyvaskyla,Passenger trains,2592.0
Annual,Number,Skoldvik - Kerava,Goods trains,805.0
Annual,Number,Skoldvik - Kerava,Passenger trains,0.0
Annual,Number,Oulu - Kontiomaki,Goods trains,1994.0
Annual,Number,Oulu - Kontiomaki,Passenger trains,1370.0
Annual,Number,Imatra - Imatrankoski,Goods trains,3274.0
Annual,Number,Imatra - Imatrankoski,Passenger trains,0.0
Annual,Number,Lahti - Kerava,Goods trains,0.0
Annual,Number,Lahti - Kerava,Passenger trains,0.0
