Time frequency,Sex,International Standard Classification of Education (ISCED 2011),ISCED Fields of education and training (ISCED-F 2013),Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Albania,:,:,:,:,:,:,42.9,44.8
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Austria,25.3,25.9,26.3,26.4,27.1,26.3,28.0,28.0
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Belgium,26.6,27.5,25.8,25.6,26.2 d,26.4 d,27.4 d,27.5
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Bulgaria,37.5,38.3,36.9,36.8,35.4,36.4,36.7,36.1
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Switzerland,22.7,22.1,22.3,22.8,23.3,24.7,24.3,:
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Cyprus,41.0,42.2,38.3,36.9,36.2,34.8,32.8,32.6
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Czechia,34.5,35.4,35.6,36.4,36.9,36.5,36.6,36.3
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Germany,26.8 d,27.1 d,27.6,28.0,25.8,26.8,27.7,27.8
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Denmark,32.2,33.7,34.2,32.4,33.8,32.8,34.4,34.4
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Estonia,40.5,38.3,38.4,39.6,40.2,41.4,37.3,40.1
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Greece,38.4,39.8,40.1,40.5,41.2,41.4,40.9,40.7
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Spain,29.3,29.7,29.6,29.0,28.0,29.0,27.7,27.6
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,European Union - 27 countries (from 2020),33.2 d,33.4 d,33.4,33.3 d,32.3,32.5,32.8,35.4
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Finland,27.6,27.1,27.4,27.4,27.2,29.6,30.2,32.2
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,France,31.5,31.8,32.3,31.6 d,31.4,31.3,32.0,42.6
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Croatia,35.2,37.9,38.9,37.3,36.7,38.6,37.9,38.3
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Hungary,31.7,31.5,31.7,31.2,29.3,28.6 d,28.6,28.6
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Ireland,30.0,29.9,29.7,32.4 d,32.0 d,32.2 d,33.6 d,35.8 d
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Iceland,34.1,35.7,38.2,37.1,41.6,38.1,42.8,40.5
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Italy,40.5 d,39.5,39.4 d,38.9,38.9,38.9 p,39.0,39.0
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Liechtenstein,44.2,47.1,47.1,59.4,58.5,53.2,60.2,:
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Lithuania,30.8,29.8,29.6,31.7,30.5,30.7,29.9,31.4
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Luxembourg,23.5,27.6,23.6,21.5,25.4,29.6,31.4,31.0
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Latvia,31.4,31.9,31.1,31.3,31.0,30.9,31.8,33.1
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,North Macedonia,45.1,47.0,47.4,47.5,47.6,50.1,48.4,48.2
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Malta,29.9,26.4,27.8,32.0,29.2,29.3,28.8,29.2
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Netherlands,: d,:,29.3,30.7,30.6,31.3,32.0,33.1
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Norway,29.1,28.4,28.5,29.0,28.5,29.0,29.0,:
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Poland,43.6,44.1,43.4,43.3,42.5,42.0,41.5,41.1 de
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Portugal,39.0,39.1,37.8,37.3,36.6,36.0,37.7,36.3
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Romania,41.7,41.2,41.6,42.3,42.7,41.8,42.5,:
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Serbia,40.1,41.1,39.7,42.6,42.1,43.2,44.4,46.5
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Sweden,33.8,35.2,35.5,35.6,35.9,37.1,36.7,37.1
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Slovenia,33.3,29.8,33.3,34.4,32.7,32.9,31.8,:
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Slovakia,35.6,36.3,35.2,35.0,34.3,34.2,32.9,:
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,Türkiye,34.0,33.0,33.4,33.1,34.5,32.0,32.2,51.0
Annual,Females,Tertiary education (levels 5-8),"Natural sciences, mathematics and statistics; information and communication technologies; engineering, manufacturing and construction",Percentage,United Kingdom,38.0,37.8 d,38.4 d,39.3 d,40.5 d,:,:,:
