Time frequency,Activity and employment status,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Albania,:,:,:,:,:,17.9,16.6,14.7,12.8,12.7,:,:
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Austria,8.2,7.9,7.2,7.8,8.3,7.7,8.0,7.7,7.2,7.6,8.2,7.7
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Belgium,4.5,4.4,4.8,4.5,4.7,5.0,5.1,4.8 b,4.3,3.8,3.6,4.7
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Bulgaria,7.4,7.2,9.3,7.8,11.6,10.0,10.1,9.0,9.7,10.0,10.0,11.7
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Switzerland,8.5,7.6,6.2 b,8.1,7.3,8.2,7.4,7.7,8.0,7.4,8.2,8.8
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Cyprus,8.0,9.0,7.8,9.2,8.4,8.0,7.4,6.8,7.4,7.7,8.1,7.5
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Czechia,4.6,4.1,3.6,4.0,3.8,3.6,3.5,3.5,3.7,3.5,3.5,3.1
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Germany,7.7,8.6,9.9,9.6,9.5,9.0,9.0,7.9,8.5 b,8.6,7.1,6.5 b
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Denmark,5.3,5.4,4.8,5.1,5.3,5.4,6.1,6.3,6.1 b,5.6,5.4,5.9
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),8.6,8.7,9.4,9.4,9.5,9.4,9.2,8.8,8.7,8.9,:,:
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,:,9.4,9.4,9.5,9.3,9.2,8.8,8.6,8.8,8.4,8.1
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Estonia,8.5,7.7,11.8 b,10.3,9.9,9.7,9.5,10.3,10.5,10.2,10.7,10.6
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Greece,15.1,13.0,13.2,13.4,14.0,12.8,10.9,10.1,10.0,11.1,10.6,9.8
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Spain,10.8,10.6,12.6,13.2,13.1,13.1,13.0,12.8,11.8,12.7,11.8,11.3
Annual,Employed persons,Total,From 18 to 64 years,Percentage,European Union - 27 countries (2007-2013),8.9,9.0,9.6,9.5,9.6,9.4,9.4,9.2 e,:,:,:,:
Annual,Employed persons,Total,From 18 to 64 years,Percentage,European Union - 27 countries (from 2020),8.9 e,9.1 e,9.7 e,9.7 e,9.8 e,9.5 e,9.3 e,9.0 e,8.8,8.9,8.5,8.3
Annual,Employed persons,Total,From 18 to 64 years,Percentage,European Union - 28 countries (2013-2020),8.9,9.0,9.5,9.5,9.6,9.4,9.4,9.2 e,:,:,:,:
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Finland,3.8,3.8,3.7,3.5,3.1,2.7,3.1,2.9,3.2,2.8,2.5,2.8
Annual,Employed persons,Total,From 18 to 64 years,Percentage,France,8.0,7.8,8.0,7.5,8.0,7.3,7.1,7.4,7.4 b,6.7,7.4 b,7.8
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Croatia,6.1,6.2,5.7,5.8,5.5,5.8,5.2,5.0,5.1,4.9,4.7,6.2 b
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Hungary,5.7,7.0,6.7,9.3,9.7,10.2,8.5,8.5,7.8,7.5,7.0,7.0
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Ireland,5.4,5.0,5.6,4.9,5.1,5.2,4.8,6.3 b,5.6 b,4.6,5.5,5.6
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Iceland,5.4,6.2,4.7,6.7,6.7,7.3,7.3,6.6,:,:,:,:
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Italy,11.1,11.2,11.1,11.6,11.8,12.3,12.3,11.8,10.8,11.7,11.5,9.9
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Lithuania,7.7,9.2,8.4,10.2,8.7,8.8,8.3,8.1,8.1,7.6,7.8,8.1
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Luxembourg,10.3,11.2,11.1,11.6,10.9 b,10.8,11.5,12.0,11.8 b,13.5 b,12.9 b,14.8
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Latvia,8.9,9.1,8.3,9.4,8.5,9.0,8.2,8.7,8.4,9.9,9.6,9.5
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Montenegro,:,5.9,7.8,7.6,7.6,7.6,7.2,9.0,9.8,6.5,5.7,:
Annual,Employed persons,Total,From 18 to 64 years,Percentage,North Macedonia,11.0,11.1,9.7,8.8,8.9,8.9,8.7,8.4,7.8,:,:,:
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Malta,5.2,5.8,5.5,5.5,5.8,5.8,6.4,6.5,7.4,7.4,7.2,7.5
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Netherlands,4.6,4.5,5.3,5.1,5.6 b,6.1,6.1,5.4,5.5,5.1,5.0,5.1
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Norway,5.1,5.8,5.2,5.7,5.9,6.0,6.1,6.4,6.0,6.0 b,5.9,5.6 b
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Poland,10.4,10.8,10.7,11.3,10.9,9.9,9.7,9.9,9.6,9.0,9.3,9.1
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Portugal,9.9,10.4,10.7,10.9,10.8,10.7,9.6,10.7,9.5,11.3,10.2,10.0
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Romania,18.9,18.1,19.7,18.6,18.6,17.1,15.0,15.4,14.7,15.2,14.3,15.0
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Serbia,:,14.6,13.8,13.2,11.6,10.7,9.9,9.1,7.7,6.4,6.1,:
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Sweden,7.3,7.6,7.7,8.1,6.8,6.9,7.1,7.7,7.7,6.6,7.4,7.0
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Slovenia,6.5,7.1,6.4,6.7,6.1,6.6,6.0,4.5,5.0,4.8,4.8,5.8
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Slovakia,6.2,5.8,5.7,6.1,6.5,6.4,6.0,4.4,5.3,6.7,7.2,9.1
Annual,Employed persons,Total,From 18 to 64 years,Percentage,Türkiye,15.3,14.9,14.4,13.7,13.5,12.8,13.1,13.2,12.8,12.6,13.2,11.2
Annual,Employed persons,Total,From 18 to 64 years,Percentage,United Kingdom,8.7 b,8.2,8.8,8.2,8.6,9.0 b,10.4,:,:,:,:,:
