Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Less than 18 years,Females,Percentage,Albania,:,:,55.4,51.2,45.2,43.2,42.6,:,:
Annual,Less than 18 years,Females,Percentage,Austria,3.9,5.6,4.6,3.8,3.7,4.2,2.1,2.3,5.0
Annual,Less than 18 years,Females,Percentage,Belgium,9.8,12.1,9.9,8.9,7.3,7.4,8.8,8.0,7.6
Annual,Less than 18 years,Females,Percentage,Bulgaria,42.7,41.4,37.0,22.0,23.7,25.3,20.1,19.5,19.1
Annual,Less than 18 years,Females,Percentage,Switzerland,2.4,3.6,3.2,2.9,4.5,2.5,1.9,4.3,3.8
Annual,Less than 18 years,Females,Percentage,Cyprus,10.6,8.0,7.2,4.9,6.1,6.5,3.9,4.2,2.3
Annual,Less than 18 years,Females,Percentage,Czechia,7.5,4.6,3.3,2.6,2.4,2.6,2.9,3.3,5.1
Annual,Less than 18 years,Females,Percentage,Germany,6.8,6.0,4.2,3.5,3.7,5.8 b,5.2,8.1,8.8
Annual,Less than 18 years,Females,Percentage,Denmark,3.6,2.3,4.8,3.9,4.9,3.9,2.7,3.0,4.0
Annual,Less than 18 years,Females,Percentage,Euro area - 19 countries  (2015-2022),10.0,9.8,7.9,7.2,6.7,7.3,6.6,:,:
Annual,Less than 18 years,Females,Percentage,Euro area – 20 countries (from 2023),10.0,9.8,7.9,7.1,6.7,7.3,6.5,7.5,8.0
Annual,Less than 18 years,Females,Percentage,Estonia,3.2,2.1,3.2,2.4,2.2,2.2,2.2,2.8,3.9
Annual,Less than 18 years,Females,Percentage,Greece,23.9,23.9,24.0,20.6,18.0,18.0,15.6,15.0,14.9
Annual,Less than 18 years,Females,Percentage,Spain,10.1,12.5,11.9,10.6,10.7,10.7,10.7,10.5,12.3
Annual,Less than 18 years,Females,Percentage,European Union - 27 countries (from 2020),11.9,11.4,9.5,8.2,7.5,8.1,7.4,8.2,8.3
Annual,Less than 18 years,Females,Percentage,Finland,0.9,0.7,1.5,2.1,1.7,1.2,0.8,2.0,2.4
Annual,Less than 18 years,Females,Percentage,France,8.9,10.0,9.2,8.3,8.7,8.5 b,6.3,8.9 b,8.5
Annual,Less than 18 years,Females,Percentage,Croatia,7.3,6.7,6.5,5.8,2.9,3.0,3.0,3.9,1.8
Annual,Less than 18 years,Females,Percentage,Hungary,34.4,30.1,22.8,18.5,15.4,14.7,15.2,12.4,14.7
Annual,Less than 18 years,Females,Percentage,Ireland,13.7,11.8,9.4,9.9,7.4 b,8.3 b,6.2,6.2,8.6
Annual,Less than 18 years,Females,Percentage,Iceland,1.9,1.0,0.4,0.8,0.6,:,:,:,:
Annual,Less than 18 years,Females,Percentage,Italy,15.9,12.8,6.9,6.7,5.8,7.1,6.8,4.5,5.8
Annual,Less than 18 years,Females,Percentage,Lithuania,16.5,15.9,11.8,11.1,6.4,7.6,5.9,6.1,5.8
Annual,Less than 18 years,Females,Percentage,Luxembourg,3.4,2.6,2.6,1.3,1.0,1.1 b,2.2 b,3.5 b,4.4
Annual,Less than 18 years,Females,Percentage,Latvia,15.9,12.5,11.9,10.7,6.9,6.4,5.3,5.7,5.5
Annual,Less than 18 years,Females,Percentage,Montenegro,39.0,33.6,34.1,34.6,25.4,26.4,29.6,23.1,:
Annual,Less than 18 years,Females,Percentage,North Macedonia,31.6,32.8,30.4,27.4,24.0,19.8,:,:,:
Annual,Less than 18 years,Females,Percentage,Malta,11.0,5.6,5.7,7.4,6.6,7.5,7.0,5.5,5.1
Annual,Less than 18 years,Females,Percentage,Netherlands,2.8,1.8,2.4,2.9,1.9,2.0,1.6,2.6,3.3
Annual,Less than 18 years,Females,Percentage,Norway,1.8,:,3.0,1.4,2.4,3.5,3.0 b,3.2,2.8
Annual,Less than 18 years,Females,Percentage,Poland,7.9,5.0,4.8,4.1,2.9,2.6,2.9,2.6,2.9
Annual,Less than 18 years,Females,Percentage,Portugal,13.3,11.6,7.9,7.4,5.2,4.8,5.6,5.2,3.8
Annual,Less than 18 years,Females,Percentage,Romania,40.0,42.3,37.3,31.7,25.4,30.9,30.2,32.2,23.4
Annual,Less than 18 years,Females,Percentage,Serbia,23.3,:,19.2,16.1,15.1,12.9,13.1,13.4,:
Annual,Less than 18 years,Females,Percentage,Sweden,1.3,0.8,1.7,2.1,2.2,2.9,1.5,3.5,3.3
Annual,Less than 18 years,Females,Percentage,Slovenia,4.1,3.4,3.1,2.0,1.3,1.7,1.1,2.3,1.9
