Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Helsinki - Pasila,Goods trains,Number,0.0
Annual,Helsinki - Pasila,Passenger trains,Number,189566.0
Annual,Pasila - Huopalahti,Goods trains,Number,0.0
Annual,Pasila - Huopalahti,Passenger trains,Number,88073.0
Annual,Huopalahti - Leppävaara,Goods trains,Number,0.0
Annual,Huopalahti - Leppävaara,Passenger trains,Number,52521.0
Annual,Leppävaara - Espoo,Goods trains,Number,0.0
Annual,Leppävaara - Espoo,Passenger trains,Number,32440.0
Annual,Espoo - Kirkkonummi,Goods trains,Number,0.0
Annual,Espoo - Kirkkonummi,Passenger trains,Number,21371.0
Annual,Kirkkonummi - Karjaa,Goods trains,Number,0.0
Annual,Kirkkonummi - Karjaa,Passenger trains,Number,4426.0
Annual,Karjaa - Turku,Goods trains,Number,78.0
Annual,Karjaa - Turku,Passenger trains,Number,3990.0
Annual,Karjaa - Hanko,Goods trains,Number,914.0
Annual,Karjaa - Hanko,Passenger trains,Number,2073.0
Annual,Karjaa - Hyvinkää,Goods trains,Number,1248.0
Annual,Karjaa - Hyvinkää,Passenger trains,Number,27.0
Annual,Pasila - Tikkurila,Goods trains,Number,5.0
Annual,Pasila - Tikkurila,Passenger trains,Number,102520.0
Annual,Tikkurila - Kerava,Goods trains,Number,5.0
Annual,Tikkurila - Kerava,Passenger trains,Number,68627.0
Annual,Kerava - Hyvinkää,Goods trains,Number,1414.0
Annual,Kerava - Hyvinkää,Passenger trains,Number,23855.0
Annual,Hyvinkää - Riihimäki,Goods trains,Number,2662.0
Annual,Hyvinkää - Riihimäki,Passenger trains,Number,23870.0
Annual,Riihimäki - Toijala,Goods trains,Number,3570.0
Annual,Riihimäki - Toijala,Passenger trains,Number,13574.0
Annual,Toijala - Tampere,Goods trains,Number,4703.0
Annual,Toijala - Tampere,Passenger trains,Number,16327.0
Annual,Tampere - Lielahti,Goods trains,Number,3768.0
Annual,Tampere - Lielahti,Passenger trains,Number,9346.0
Annual,Lielahti - Parkano,Goods trains,Number,1367.0
Annual,Lielahti - Parkano,Passenger trains,Number,5206.0
Annual,Parkano - Seinäjoki,Goods trains,Number,1105.0
Annual,Parkano - Seinäjoki,Passenger trains,Number,5206.0
Annual,Seinäjoki - Kokkola,Goods trains,Number,1056.0
Annual,Seinäjoki - Kokkola,Passenger trains,Number,3610.0
Annual,Kokkola - Ylivieska,Goods trains,Number,3258.0
Annual,Kokkola - Ylivieska,Passenger trains,Number,3590.0
Annual,Ylivieska - Tuomioja,Goods trains,Number,1921.0
Annual,Ylivieska - Tuomioja,Passenger trains,Number,3280.0
Annual,Tuomioja - Oulu,Goods trains,Number,1786.0
Annual,Tuomioja - Oulu,Passenger trains,Number,3284.0
Annual,Oulu - Kemi,Goods trains,Number,909.0
Annual,Oulu - Kemi,Passenger trains,Number,1957.0
Annual,Kemi - Laurila,Goods trains,Number,1219.0
Annual,Kemi - Laurila,Passenger trains,Number,1957.0
Annual,Laurila - Rovaniemi,Goods trains,Number,867.0
Annual,Laurila - Rovaniemi,Passenger trains,Number,1778.0
Annual,Turku - Toijala,Goods trains,Number,798.0
Annual,Turku - Toijala,Passenger trains,Number,2246.0
Annual,Lielahti - Kokemäki,Goods trains,Number,2304.0
Annual,Lielahti - Kokemäki,Passenger trains,Number,2382.0
Annual,Kokemäki - Pori,Goods trains,Number,1374.0
Annual,Kokemäki - Pori,Passenger trains,Number,2378.0
Annual,Kokemäki - Rauma,Goods trains,Number,1837.0
Annual,Kokemäki - Rauma,Passenger trains,Number,0.0
Annual,Tuomioja - Raahe,Goods trains,Number,613.0
Annual,Tuomioja - Raahe,Passenger trains,Number,0.0
Annual,Laurila - Tornio,Goods trains,Number,323.0
Annual,Laurila - Tornio,Passenger trains,Number,178.0
Annual,Riihimäki - Lahti,Goods trains,Number,2225.0
