Time frequency,Unit of measure,nstr24,tra_cov,geo\TIME_PERIOD,2007.0
Annual,Million tonne-kilometre (TKM),6.0,INTL,CZ,0 n
Annual,Million tonne-kilometre (TKM),6.0,INTL_NLD,CZ,0 n
Annual,Million tonne-kilometre (TKM),6.0,NAT,RO,1.0
Annual,Million tonne-kilometre (TKM),6.0,TOTAL,CZ,0 n
Annual,Million tonne-kilometre (TKM),6.0,TOTAL,RO,1.0
Annual,Million tonne-kilometre (TKM),7.0,INTL,CZ,0 n
Annual,Million tonne-kilometre (TKM),7.0,INTL_LD,CZ,0 n
Annual,Million tonne-kilometre (TKM),7.0,TOTAL,CZ,0 n
Annual,Million tonne-kilometre (TKM),11.0,INTL,CZ,0 n
Annual,Million tonne-kilometre (TKM),11.0,INTL_LD,CZ,0 n
Annual,Million tonne-kilometre (TKM),11.0,INTL_NLD,CZ,0 n
Annual,Million tonne-kilometre (TKM),11.0,TOTAL,CZ,0 n
Annual,Million tonne-kilometre (TKM),13.0,INTL,CZ,0 n
Annual,Million tonne-kilometre (TKM),13.0,INTL_LD,CZ,0 n
Annual,Million tonne-kilometre (TKM),13.0,INTL_NLD,CZ,0 n
Annual,Million tonne-kilometre (TKM),13.0,TOTAL,CZ,0 n
Annual,Million tonne-kilometre (TKM),14.0,NAT,RO,0 n
Annual,Million tonne-kilometre (TKM),14.0,TOTAL,RO,0 n
Annual,Million tonne-kilometre (TKM),15.0,INTL,CZ,0 n
Annual,Million tonne-kilometre (TKM),15.0,INTL_LD,CZ,0 n
Annual,Million tonne-kilometre (TKM),15.0,INTL_NLD,CZ,0 n
Annual,Million tonne-kilometre (TKM),15.0,TOTAL,CZ,0 n
Annual,Million tonne-kilometre (TKM),20.0,INTL,AT,2.0
Annual,Million tonne-kilometre (TKM),20.0,INTL,RO,0 n
Annual,Million tonne-kilometre (TKM),20.0,INTL_LD,AT,0 n
Annual,Million tonne-kilometre (TKM),20.0,INTL_NLD,AT,2.0
Annual,Million tonne-kilometre (TKM),20.0,INTL_NLD,RO,0 n
Annual,Million tonne-kilometre (TKM),20.0,NAT,AT,0 n
Annual,Million tonne-kilometre (TKM),20.0,NAT,RO,2.0
Annual,Million tonne-kilometre (TKM),20.0,TOTAL,AT,2.0
Annual,Million tonne-kilometre (TKM),20.0,TOTAL,RO,2.0
Annual,Million tonne-kilometre (TKM),20.0,TRS,AT,0 n
Annual,Million tonne-kilometre (TKM),21.0,INTL,RO,0 n
Annual,Million tonne-kilometre (TKM),21.0,INTL_NLD,RO,0 n
Annual,Million tonne-kilometre (TKM),21.0,NAT,RO,5.0
Annual,Million tonne-kilometre (TKM),21.0,TOTAL,RO,5.0
Annual,Million tonne-kilometre (TKM),24.0,INTL,BG,0 n
Annual,Million tonne-kilometre (TKM),24.0,INTL,RO,28.0
Annual,Million tonne-kilometre (TKM),24.0,INTL,SK,0 n
Annual,Million tonne-kilometre (TKM),24.0,INTL_LD,BG,0 n
Annual,Million tonne-kilometre (TKM),24.0,INTL_LD,RO,17.0
Annual,Million tonne-kilometre (TKM),24.0,INTL_LD,SK,0 n
Annual,Million tonne-kilometre (TKM),24.0,INTL_NLD,BG,0 n
Annual,Million tonne-kilometre (TKM),24.0,INTL_NLD,RO,11.0
Annual,Million tonne-kilometre (TKM),24.0,INTL_NLD,SK,0 n
Annual,Million tonne-kilometre (TKM),24.0,NAT,RO,16.0
Annual,Million tonne-kilometre (TKM),24.0,TOTAL,BG,0 n
Annual,Million tonne-kilometre (TKM),24.0,TOTAL,RO,44.0
Annual,Million tonne-kilometre (TKM),24.0,TOTAL,SK,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL,AT,2.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,BE,440.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,BG,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL,CZ,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL,DE,4248.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,EU15,7193.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,EU25,7194.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,EU27_2007,7221.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,EU27_2020,7221.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,EU28,7221.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,FR,127.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,HR,0.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,HU,0.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,LU,0.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,NL,2377.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,RO,28.0
Annual,Million tonne-kilometre (TKM),25.0,INTL,SK,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,AT,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,BE,152.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,BG,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,CZ,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,DE,2816.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,EU15,4207.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,EU25,4207.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,EU27_2007,4224.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,EU27_2020,4224.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,EU28,4224.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,FR,85.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,HR,0.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,HU,0.0
