Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Industry (except construction),Hour,Austria,5.5
Annual,Industry (except construction),Hour,Belgium,9.3
Annual,Industry (except construction),Hour,Bulgaria,2.2
Annual,Industry (except construction),Hour,Cyprus,2.6
Annual,Industry (except construction),Hour,Czechia,7.9
Annual,Industry (except construction),Hour,Germany,6.4
Annual,Industry (except construction),Hour,Denmark,8.5
Annual,Industry (except construction),Hour,Estonia,2.6
Annual,Industry (except construction),Hour,Greece,1.8
Annual,Industry (except construction),Hour,Spain,4.9
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),5.7
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),5.3
Annual,Industry (except construction),Hour,Finland,6.7
Annual,Industry (except construction),Hour,France,8.4
Annual,Industry (except construction),Hour,Hungary,3.3
Annual,Industry (except construction),Hour,Ireland,7.4
Annual,Industry (except construction),Hour,Italy,3.6
Annual,Industry (except construction),Hour,Lithuania,3.0
Annual,Industry (except construction),Hour,Luxembourg,12.4
Annual,Industry (except construction),Hour,Latvia,2.3
Annual,Industry (except construction),Hour,Malta,8.9
Annual,Industry (except construction),Hour,Netherlands,8.0
Annual,Industry (except construction),Hour,Norway,7.6
Annual,Industry (except construction),Hour,Poland,3.3
Annual,Industry (except construction),Hour,Portugal,3.8
Annual,Industry (except construction),Hour,Romania,3.3
Annual,Industry (except construction),Hour,Sweden,13.8
Annual,Industry (except construction),Hour,Slovenia,9.0
Annual,Industry (except construction),Hour,Slovakia,8.0
Annual,Industry (except construction),Hour,United Kingdom,2.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Austria,5.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Belgium,8.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Bulgaria,2.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Cyprus,3.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Czechia,8.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Germany,5.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Denmark,9.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Estonia,3.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Greece,2.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Spain,5.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 27 countries (from 2020),5.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 28 countries (2013-2020),5.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Finland,6.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,France,8.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Hungary,3.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Ireland,6.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Italy,4.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Lithuania,2.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Luxembourg,9.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Latvia,2.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Malta,6.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Netherlands,8.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Norway,6.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Poland,3.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Portugal,4.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Romania,3.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Sweden,10.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovenia,8.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovakia,7.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,United Kingdom,3.1
Annual,Construction,Hour,Austria,2.1
Annual,Construction,Hour,Belgium,3.2
Annual,Construction,Hour,Bulgaria,1.6
Annual,Construction,Hour,Cyprus,1.4
Annual,Construction,Hour,Czechia,7.7
Annual,Construction,Hour,Germany,2.6
Annual,Construction,Hour,Denmark,6.7
