Time frequency,Income and living conditions indicator,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,:,17.8,18.5,18.6,17.1,16.8,16.5,16.8,16.1,15.9,16.6,16.4,16.7,16.6,17.4,17.8 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.1,16.4,15.9,15.7,16.3 e,15.9 e,16.1 e,16.8 e,16.9 e,17.4 e,18.3,18.2,18.1,17.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.6,16.9,16.3,16.0,16.7,16.5,16.8,16.7,17.5,17.9 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Finland,:,8.0,10.0,10.0,11.0,10.0,10 b,10.0,:,9.7 b,10.3,11.3,10.2,11.4,10.9,10.6,9.6,11.3,11.3,10.1,9.2,8.9,9.0,10.1,10.4,11.1,11.2,9.5,8.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,France,20.0,21.0,21.0,19.0,19.0,17.0,11 b,10.0,:,11.0 b,14.7,19.2,18.1,8.1 b,14.1,12.0,13.6,13.5,12.0,12.0,11.6,11.0,10.8,12.1,13.0,14.4 b,12.0,14.0 b,14.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,25.0,24.6,25.0,24.1,24.2,21.5,25.1,23.0,27.6,26.2,26.9,25.4,26.3,28.4 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Hungary,:,:,:,:,:,17.0,15.0,11.0,:,:,9.4 b,17.0,13.3,10.2,12.7,11.0,10.2,11.6,11.2,11.6,15.3,14.3,14.7,12.6,9.6,9.0,8.0,13.4,14.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Ireland,8.0,9.0,12.0,13.0,14.0,16.0,19.0,:,12.7 b,11.0,10.6,8.4,10.1,7.6,13.9,25.2,29.7,22.3,27.1,27.8,12.6,11.2,7.6,8.1,8.4 b,10.8 b,11.8,12.2,8.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Iceland,:,:,:,:,:,:,:,:,:,8.4,10.6,7.5,7.7,12.0,8.7,10.7 u,31.5 u,13.3 u,14.0 u,5.3 u,7.8 u,5.3 u,7.9,21.8 u,23.3,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Italy,19.0,22.0,20.0,20.0,21.0,18.0,21.0,:,:,16.2 b,17.5,18.0,19.2,19.3,17.5,16.4,15.8,15.3,14.8,14.5,15.1,16.5,16.6,16.5,18.3,19.5,18.9,20.5,21.4
