Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Rate,Females,Algeria,83.6,87.1,100.1 b,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,Egypt,85.0 d,86.6 d,86.6 d,86.1 d,87.4 d,91.4 d,89.3 d,93.9 d,94.1 d,94.8 d,89.9 d,95.0 d,99.1 d,99.6 d,100.3,100.6,:,:,:
Annual,Rate,Females,Israel,100.0 e,100.0 e,100.0 e,86.7,100.0,100.0,96.8,100.1,96.9,96.1,100.2,95.7,98.4,95.2,95.6,99.3,95.3,95.2,:
Annual,Rate,Females,Jordan,:,99.7,:,:,:,:,:,:,:,:,:,97.9,99.0,97.9,:,:,:,:,:
Annual,Rate,Females,Lebanon,88.2,93.5,91.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Females,Morocco,:,:,:,73.8,77.5,83.7,86.8,86.2,90.8,88.3,85.7,95.0,95.0,95.1,91.5,93.2,91.4,94.8,:
Annual,Rate,Females,Palestine*,99.4,99.4,99.3,98.5,98.6,98.2,99.9,99.9,99.6,99.6,99.2,99.1,98.1,96.9,98.6,:,:,:,:
Annual,Rate,Females,Tunisia,87.8,88.7,89.7,:,:,:,:,:,:,:,:,:,:,95.5,:,:,:,:,:
Annual,Rate,Males,Algeria,83.7,88.3,103.1 b,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Males,Egypt,81.8 d,81.8 d,83.8 d,82.3 d,84.4 d,89.5 d,89.3 d,89.9 d,90.6 d,91.6 d,88.7 d,91.4 d,94.8 d,98.3 d,99.2,99.2,:,:,:
Annual,Rate,Males,Israel,100.0 e,100.0 e,100.0 e,86.3,100.0,100.0,96.9,99.3,97.4,97.2,99.6,96.6,96.1,95.0,95.5,97.8,94.2,94.6,:
Annual,Rate,Males,Jordan,:,97.5,:,:,:,:,:,:,:,:,:,96.3,96.5,97.9,:,:,:,:,:
Annual,Rate,Males,Lebanon,76.2,87.2,81.7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Males,Morocco,:,:,:,71.2,73.8,81.0,85.9,86.0,89.3,86.9,87.2,90.2,90.2,90.0,87.5,89.2,89.3,89.9,:
Annual,Rate,Males,Palestine*,99.6,99.6,99.2,98.3,98.4,97.9,99.9,99.3,99.6,99.5,97.6,98.7,98.4,99.1,98.0,:,:,:,:
Annual,Rate,Males,Tunisia,81.7,83.2,85.2,:,:,:,:,:,:,:,:,:,:,91.9,:,:,:,:,:
Annual,Rate,Total,Algeria,83.7,87.7,101.6 b,:,:,:,:,:,:,:,:,:,92.2 de,92.2 de,92.9 de,92.6 de,92.4 de,92.2 de,93.8 de
Annual,Rate,Total,Egypt,83.3 d,84.1 d,85.2 d,84.1 d,86.0 d,90.4 d,89.3 d,91.9 d,92.3 d,93.1 d,89.3 d,93.1 d,96.8 d,99.0 d,99.8,99.9,:,:,:
Annual,Rate,Total,Israel,100.0 e,100.0 e,100.0 e,86.5,100.0,100.0,96.9,99.7,97.2,96.7,99.9,96.2,97.2,95.1,95.5,98.6,94.7,94.9,:
Annual,Rate,Total,Jordan,96.0,95.9,:,:,:,:,:,:,:,:,:,97.1,97.7,97.9,:,:,:,:,:
Annual,Rate,Total,Lebanon,80.9,91.4,86.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Total,Morocco,68.6,71.0,73.0,72.6,75.8,82.5,86.5,86.2,90.2,87.8,86.7,:,93.0,92.8,89.7,91.4,90.4,92.7,:
Annual,Rate,Total,Palestine*,99.5,99.5,99.2,98.4,98.5,98.1,99.9,99.5,99.6,99.6,98.3,98.9,98.2,98.2,98.3,:,:,:,:
Annual,Rate,Total,Tunisia,84.7,85.9,87.5,:,:,:,:,:,:,:,:,:,:,93.8,93.5,:,:,93.5,93.5
