Time frequency,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Austria,95.8
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Belgium,92.2
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Bulgaria,95.3
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Switzerland,95.7
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Cyprus,97.0
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Czechia,98.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Germany,96.7
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Denmark,95.5
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Estonia,92.8
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Greece,96.2
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Spain,96.9
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),94.2 e
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Finland,98.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,France,93.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Croatia,94.5
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Hungary,97.2
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Ireland,96.2 u
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Iceland,96.4
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Italy,86.8
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Lithuania,96.8
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Luxembourg,87.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Latvia,91.8
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,North Macedonia,89.4
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Malta,96.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Netherlands,90.9
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Norway,97.1
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Poland,95.9 u
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Portugal,90.4
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Romania,95.6
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Serbia,94.0
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Sweden,97.3
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovenia,96.4
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,Slovakia,97.9
Annual,All ISCED 2011 levels,16 years or over,Total,Percentage,United Kingdom,93.1 u
