Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Percentage,Austria,12.1
Annual,Percentage,Belgium,19.2
Annual,Percentage,Bulgaria,13.8
Annual,Percentage,Switzerland,11.0
Annual,Percentage,Cyprus,9.7
Annual,Percentage,Czechia,: u
Annual,Percentage,Germany,: u
Annual,Percentage,Denmark,20.0
Annual,Percentage,Euro area – 20 countries (from 2023),13.3 u
Annual,Percentage,Estonia,14.8
Annual,Percentage,Greece,4.8
Annual,Percentage,Spain,13.4
Annual,Percentage,European Union - 27 countries (from 2020),12.7 u
Annual,Percentage,Finland,19.8
Annual,Percentage,France,15.3
Annual,Percentage,Croatia,3.3
Annual,Percentage,Hungary,12.1
Annual,Percentage,Ireland,12.5
Annual,Percentage,Italy,11.7
Annual,Percentage,Lithuania,13.1
Annual,Percentage,Luxembourg,19.3
Annual,Percentage,Latvia,17.1
Annual,Percentage,Montenegro,3.8
Annual,Percentage,Malta,22.7
Annual,Percentage,Netherlands,9.1
Annual,Percentage,Poland,8.5
Annual,Percentage,Portugal,17.2
Annual,Percentage,Romania,5.5
Annual,Percentage,Serbia,6.3
Annual,Percentage,Sweden,12.3
Annual,Percentage,Slovenia,7.7
Annual,Percentage,Slovakia,6.7
