Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),Armenia,2.7 di,2.7 di,3.0 di,2.9 di,3.4 di,2.8 di,2.8 di,2.4 di,2.3 di,2.4 di,2.4 di,2.4 di,2.2 di,2.0 di,2.0 i,2.3 i,2.1 i,1.9 i
Annual,Percentage of gross domestic product (GDP),Azerbaijan,3.1 di,3.0 di,3.1 di,3.2 di,3.6 di,3.2 di,2.8 di,3.9 di,3.1 di,3.4 dip,3.4 di,3.3 di,2.8 di,2.7 di,3.1 di,4.3 di,3.7 di,3.1 di
Annual,Percentage of gross domestic product (GDP),Belarus,6.4 di,6.2 di,5.9 di,5.5 di,4.9 i,5.1 i,3.7 i,4.9 i,5.0 i,4.9 i,4.7 i,4.9 i,4.8 i,4.8 i,5.0 i,5.0 ip,:,:
Annual,Percentage of gross domestic product (GDP),Georgia,2.5 di,3.0 di,2.7 di,2.9 di,3.2 di,2.8 di,2.6 di,2.8 di,2.9 di,3.0 di,3.2 di,3.6 di,3.6 di,3.5 di,3.9 di,3.8 di,3.6 di,3.3 di
Annual,Percentage of gross domestic product (GDP),Moldova,7.4 di,7.9 di,8.1 di,8.5 di,8.7 di,7.7 bdi,7.0 di,6.8 di,5.6 di,6.0 bdi,5.3 di,5.4 di,5.5 i,5.6 di,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Ukraine,:,:,5.4 i,5.6 i,6.5 i,6.6 i,5.9 i,6.4 i,6.4 i,5.9 di,5.3 di,5.0 di,5.4 di,5.3 di,5.4 di,5.4 di,5.1 di,:
Annual,Percentage of total public expenditure,Armenia,12.4 di,12.7 di,12.7 di,12.5 di,11.3 di,10.0 di,10.5 di,9.9 di,8.8 di,9.1 di,8.5 di,8.2 di,8.1 di,8.2 di,7.8 i,7.5 i,7.2 i,7.1 i
Annual,Percentage of total public expenditure,Azerbaijan,17.9 di,14.7 di,14.6 di,11.9 di,12.2 di,11.5 di,9.4 di,12.4 di,9.5 di,10.8 di,10.4 di,11.2 di,11.1 di,9.4 di,10.4 di,11.9 di,12.6 di,12.7 di
Annual,Percentage of total public expenditure,Belarus,13.3 di,13.2 di,12.1 di,11.2 di,11.0 di,12.3 di,11.6 di,12.8 di,12.6 di,13.1 di,12.1 di,12.5 di,12.7 di,12.9 di,13.3 di,13.3 di,:,:
Annual,Percentage of total public expenditure,Georgia,11.9 di,13.9 di,10.5 di,10.2 di,10.7 di,11.2 di,11.3 di,11.7 di,12.3 di,12.1 di,13.1 di,14.1 di,15.1 di,16.4 di,17.6 di,14.2 di,14.2 i,14.1 i
Annual,Percentage of total public expenditure,Moldova,20.0 i,19.6 i,19.3 i,20.5 i,19.1 i,22.5 i,21.6 i,20.3 i,17.4 i,17.9 i,16.9 i,17.6 i,17.8 i,17.6 i,:,:,:,:
Annual,Percentage of total public expenditure,Ukraine,:,:,13.2 di,13.1 di,14.1 di,14.3 di,13.6 di,13.8 di,14.0 di,13.1 di,12.5 di,12.4 di,13.1 di,12.8 di,13.2 di,12.0 di,12.8 di,:
