Time frequency,Duration,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Austria,90.2,87.8,86.8 b,86.4,88.2,90.0,85.9,87.4,88.8,85.2 b,86.6,87.6
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,51.1,54.4,54.9
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Belgium,79.7,79.1,80.2 b,80.9,82.2,82.5 b,84.2,84.0,81.6,82.5 b,84.9,88.3
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Bulgaria,67.3,69.1,66.4 b,73.9,68.9,77.5,74.6,76.4 b,76.7,72.2 b,76.2,87.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Switzerland,87.5,86.4,89.0 b,85.3,84.6,89.9,88.6,87.9,90.6,88.3 b,85.2,86.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Cyprus,71.6,61.7,68.9 b,69.8,74.2,73.8,82.5,77.5,80.2,83.1 b,79.3,83.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Czechia,77.2,73.1 b,74.7 b,75.0,79.3,85.5,83.3,79.5,81.0,75.3 b,76.1 b,76.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Germany,87.1,88.0,88.3 b,88.6,88.2,88.9,90.0,90.9,87.2 b,89.2 b,91.2,89.9
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Denmark,80.6,76.9,78.8 b,77.4,80.0 b,78.1 b,81.7,82.4,81.3,81.4 b,83.0,83.9
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Euro area – 20 countries (from 2023),73.6,72.3,73.3 b,73.4,74.6,76.4,78.5,78.2,76.4,78.5 b,81.6,81.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Estonia,66.8,69.7,79.1 b,76.0,69.2,74.7,77.3,76.4,76.5,81.3 b,83.9,86.3
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Greece,40.6,37.9,42.2 b,44.1,46.8,51.6,53.0,59.8,56.0,58.5 b,66.5,71.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Spain,65.0,59.4,66.9 b,65.2,65.5,73.3,75.0,72.2,69.4,72.7 bd,77.2 d,75.5 d
