Time frequency,Unit of measure,Quantile,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,First quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,35.3,25.1,21.7,14.6,12.3,:,:
Annual,Percentage,First quintile,Austria,:,27.7 u,19.3,20.5,22.0,32.6 bu,33.1 u,30.0 u,29.4 u,29.7,30.5,28.2,26.7,29.5,30.9,28.4,29.8,28.2,24.8,32.3,26.5
Annual,Percentage,First quintile,Belgium,:,41.5,28.3,35.3,33.4,37.9,31.5,32.9,36.9,38.5,33.4,36.7,32.1,34.3,32.4,32.9,29.2 b,28.2,27.4,27.1,27.3
Annual,Percentage,First quintile,Bulgaria,:,:,:,47.8,59.2,33.7,24.0,20.6,28.0,46.9,38.9,42.4,46.3,57.4 b,52.5,52.3,50.9,44.5,38.8,53.2,40.0
Annual,Percentage,First quintile,Switzerland,:,:,:,:,:,:,46.0,45.2,45.7,44.0,37.8,38.5 b,39.6,39.6,45.1,42.1,49.7,45.9,50.8,46.8,47.7
Annual,Percentage,First quintile,Cyprus,:,:,22.8,10.5,6.3,5.3 b,8.2,9.6,8.7,11.2,9.3,11.2,11.5,10.8,8.4,6.1,8.4,5.8,8.1,8.8,7.1
Annual,Percentage,First quintile,Czechia,:,:,28.8,28.5,28.5,32.4,28.1,31.9,29.3,32.7,37.7,32.9,34.8,31.6,29.8,27.2,24.1,23.7,22.5,25.0,31.9
Annual,Percentage,First quintile,Germany,:,:,:,:,:,:,:,38.9,42.1,46.7,44.4,49.9,48.3,45.6,44.4,44.6,40.9,34.1 b,36.4,35.4,36.6
Annual,Percentage,First quintile,Denmark,:,:,44.6,52.0,45.4,47.6,60.4,57.9,57.9 b,55.2,58.6,53.9,50.6,54.4,57.8,53.3,58.7,53.4 b,56.0,53.9,52.9
Annual,Percentage,First quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,26.0 e,26.1 e,30.6 e,33.2 e,35.4 e,34.9 e,36.7 e,36.2 e,35.5 e,34.0 e,32.9 e,32.4,29.0,30.6 e,:,:
