Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,2022.0,2023.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Austria,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Belgium,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Bulgaria,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Switzerland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Cyprus,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Czechia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Germany,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Denmark,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Estonia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Greece,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Spain,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Finland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,France,0 d,0 d
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Croatia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Ireland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Iceland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Italy,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Liechtenstein,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Lithuania,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Luxembourg,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Latvia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Malta,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Netherlands,15.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Norway,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Poland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Portugal,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Romania,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Sweden,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Slovenia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,From 14 to 17 years,Slovakia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Austria,5.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Belgium,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Bulgaria,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Switzerland,5.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Cyprus,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Czechia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Germany,15.0,5.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Denmark,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Estonia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Greece,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Spain,10.0,10.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Finland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,France,0 d,0 d
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Croatia,0.0,0.0
