Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,81.9
Annual,Percentage,From 15 to 24 years,Females,Belgium,85.0
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,86.3 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,90.5
Annual,Percentage,From 15 to 24 years,Females,Czechia,80.1 u
Annual,Percentage,From 15 to 24 years,Females,Germany,88.4
Annual,Percentage,From 15 to 24 years,Females,Denmark,69.3
Annual,Percentage,From 15 to 24 years,Females,Estonia,80.7 u
Annual,Percentage,From 15 to 24 years,Females,Greece,69.9 u
Annual,Percentage,From 15 to 24 years,Females,Spain,74.1
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),79.2
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),78.4
Annual,Percentage,From 15 to 24 years,Females,Finland,72.2 u
Annual,Percentage,From 15 to 24 years,Females,France,91.2
Annual,Percentage,From 15 to 24 years,Females,Croatia,88.2 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,60.5 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,83.3
Annual,Percentage,From 15 to 24 years,Females,Italy,48.8 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,66.1 u
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,80.6 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,76.8 u
Annual,Percentage,From 15 to 24 years,Females,Malta,79.4
Annual,Percentage,From 15 to 24 years,Females,Netherlands,71.9
Annual,Percentage,From 15 to 24 years,Females,Poland,78.0
Annual,Percentage,From 15 to 24 years,Females,Portugal,84.3 u
Annual,Percentage,From 15 to 24 years,Females,Romania,63.1 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,56.6
Annual,Percentage,From 15 to 24 years,Females,Slovenia,79.6 u
Annual,Percentage,From 15 to 24 years,Females,Slovakia,94.6 u
Annual,Percentage,From 15 to 24 years,Females,United Kingdom,75.4
Annual,Percentage,From 15 to 24 years,Males,Austria,60.8
Annual,Percentage,From 15 to 24 years,Males,Belgium,70.8
Annual,Percentage,From 15 to 24 years,Males,Bulgaria,82.8 u
Annual,Percentage,From 15 to 24 years,Males,Cyprus,80.4
Annual,Percentage,From 15 to 24 years,Males,Czechia,90.8 u
Annual,Percentage,From 15 to 24 years,Males,Germany,74.4
Annual,Percentage,From 15 to 24 years,Males,Denmark,89.3
Annual,Percentage,From 15 to 24 years,Males,Estonia,59.5 u
Annual,Percentage,From 15 to 24 years,Males,Greece,87.3 u
Annual,Percentage,From 15 to 24 years,Males,Spain,78.9
Annual,Percentage,From 15 to 24 years,Males,European Union - 27 countries (from 2020),76.6
Annual,Percentage,From 15 to 24 years,Males,European Union - 28 countries (2013-2020),76.7
