Time frequency,Unit of measure,Level of activity limitation,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,16 years or over,Total,Albania,:,:,:,38.7,33.4,36.6,35.4,37.3,:,:
Annual,Percentage,Total,16 years or over,Total,Austria,3.0,2.6,2.6,2.4,1.7,1.8,1.4,1.6,2.7,3.8
Annual,Percentage,Total,16 years or over,Total,Belgium,5.4,4.9,4.7,5.6,4.9,3.8 b,3.9,3.3,4.9,5.8
Annual,Percentage,Total,16 years or over,Total,Bulgaria,40.6,39.7,39.2,37.1,34.4,30.6,27.9,24.6,23.1,21.1
Annual,Percentage,Total,16 years or over,Total,Switzerland,0.6,0.6,0.6,0.4,0.5,0.3,0.2,0.5,0.4,0.5
Annual,Percentage,Total,16 years or over,Total,Cyprus,28.1,28.2,24.3,22.9,21.7,20.6,20.4,18.3,18.5,16.7
Annual,Percentage,Total,16 years or over,Total,Czechia,6.2,5.5,4.3,3.8,3.2,3.1,2.5,2.3,3.0,6.2
Annual,Percentage,Total,16 years or over,Total,Germany,4.7,4.2,3.9,3.6,3.0,2.7,5.3 b,2.9,5.8,8.0 e
Annual,Percentage,Total,16 years or over,Total,Denmark,3.1,3.5,2.6,2.5,2.9,2.7,2.8,2.6,5.1,6.9
Annual,Percentage,Total,16 years or over,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",10.1 e,9.4 e,8.8 e,8.1 e,7.7 e,6.9,7.9,7.9,:,:
Annual,Percentage,Total,16 years or over,Total,Euro area - 18 countries (2014),10.1,9.2,8.6,7.9,7.5,6.7,7.7,:,:,:
Annual,Percentage,Total,16 years or over,Total,Euro area - 19 countries  (2015-2022),10.2,9.4,8.8,8.1,7.7,6.9,7.9,7.9,:,:
Annual,Percentage,Total,16 years or over,Total,Euro area – 20 countries (from 2023),10.1,9.4,8.8,8.1,7.7,6.9,7.9,7.9,10.1,11.3
Annual,Percentage,Total,16 years or over,Total,Estonia,1.7,2.2,2.9,3.0,2.6,2.7,2.8,2.1,3.4,4.3
Annual,Percentage,Total,16 years or over,Total,Greece,33.6,29.3,29.4,26.0,22.7,18.2,17.4,17.6,19.2,19.4
Annual,Percentage,Total,16 years or over,Total,Spain,11.0,10.4,9.9,7.9,9.1,7.3,10.8,14.5,17.2,20.8
Annual,Percentage,Total,16 years or over,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",10.3,9.4,8.8,8.0,7.5,6.7 e,:,:,:,:
Annual,Percentage,Total,16 years or over,Total,European Union - 27 countries (2007-2013),10.3,9.4,8.8,8.0,7.5,6.7 e,:,:,:,:
Annual,Percentage,Total,16 years or over,Total,European Union - 27 countries (from 2020),10.4 e,9.6 e,9.1 e,8.3 e,7.8 e,6.9 e,7.5,7.5,9.6,10.7
Annual,Percentage,Total,16 years or over,Total,European Union - 28 countries (2013-2020),10.3,9.4,8.8,8.0,7.5,6.7 e,:,:,:,:
Annual,Percentage,Total,16 years or over,Total,Finland,1.6,1.7,1.9,2.0,1.6,1.8,1.9,1.4,1.4,2.6
Annual,Percentage,Total,16 years or over,Total,France,6.1,5.7,5.1,5.0,4.9,6.1,6.4 b,6.1,10.7 b,12.0
Annual,Percentage,Total,16 years or over,Total,Croatia,9.9,10.2,9.7,7.6,8.1,7.2,6.1,6.1,7.6,6.6 b
Annual,Percentage,Total,16 years or over,Total,Hungary,11.5,9.6,9.1,6.8,6.1,4.9,3.8,5.2,4.7,7.3
Annual,Percentage,Total,16 years or over,Total,Ireland,8.6,8.6,5.7,4.4,4.3,4.8 b,3.4 b,3.4,6.9,6.7
Annual,Percentage,Total,16 years or over,Total,Iceland,1.6,1.4,1.6,1.1,0.8,1.2,:,:,:,:
Annual,Percentage,Total,16 years or over,Total,Italy,17.8,16.7,15.8,15.3,14.1,11.0,8.8,8.5,8.8,9.5
Annual,Percentage,Total,16 years or over,Total,Lithuania,26.5,31.9,29.9,28.8,28.5,27.2,23.6,23.3,18.6,21.4
Annual,Percentage,Total,16 years or over,Total,Luxembourg,0.5,0.9,1.8,2.0,2.2,2.3,3.8 b,2.4 b,1.9 b,2.0
Annual,Percentage,Total,16 years or over,Total,Latvia,16.7,14.7,10.7,10.0,7.7,8.2,6.5,5.5,7.3,7.0
Annual,Percentage,Total,16 years or over,Total,Montenegro,8.6,8.4,5.8,3.8,10.2,9.7,12.5,17.6,13.9,:
Annual,Percentage,Total,16 years or over,Total,North Macedonia,25.7,22.7,25.5,24.0,24.3,32.7,23.4,:,:,:
Annual,Percentage,Total,16 years or over,Total,Malta,22.5,14.1,6.8,6.5,7.9,7.9,7.5,8.0,7.6,6.7
